Higher Topic,Focus Area Code,Focus Area name,Content
Aeronautics Research,Topic A1,Aviation Safety,"The Aviation Safety Program conducts fundamental research and technology development of known and predicted safety concerns as the nation transitions to the Next Generation Air Transportation System (NextGen). Future challenges to maintaining aviation safety arise from expected significant increases in air traffic, continued operation of legacy vehicles, introduction of new vehicle concepts, increased reliance on automation, and increased operating complexity. Further design challenges also exist where safety barriers may prevent the technical innovations necessary to achieve NextGen capacity and efficiency goals. The program seeks capabilities furthering the practice of proactive safety management and design methodologies and solutions to predict and prevent safety issues, to monitor for them in-flight and mitigate against them should they occur, to analyze and design them out of complex system behaviors, and to constantly analyze designs and operational data for potential hazards. AvSP's top ten technical challenges are:Assurance of Flight Critical Systems.Discovery of Precursors to Safety Incidents.Assuring Safe Human-Systems Integration.Prognostic Algorithm Design for Safety Assurance.Vehicle Health Assurance.Crew-System Interactions and Decisions.Loss of Control Prevention, Mitigation, and Recovery.Engine Icing.Airframe Icing.Atmospheric Hazard Sensing & Mitigation. AvSP includes three research projects:The System-wide Safety Assurance Technologies Project provides knowledge.Concepts and methods to proactively manage increasing complexity in the design and operation of vehicles.Air transportation systems, including advanced approaches to enable improved and cost-effective verification and validation of flight-critical systems. The Vehicle Systems Safety Technologies Project identifies risks and provides knowledge to avoid, detect, mitigate, and recover from hazardous flight conditions, and to maintain vehicle airworthiness and health. The Atmospheric Environment Safety Technologies Project investigates sources of risk and provides technology needed to help ensure safe flight in and around atmospheric hazards. NASA seeks highly innovative proposals that will complement its work in science and technologies that build upon and advance the Agency's unique safety-related research capabilities vital to aviation safety. Additional information is available at (http://www.aeronautics.nasa.gov/programs_avsafe.htm)."
Aeronautics Research,Topic A2,Air Traffic Management Research and Development (ATM R&D),"
 Air Traffic Management Research and Development (ATM R&D) NASA has two Programs conducting ATM R&D. The Airspace Systems Program (ASP) is investing in the development, validation and transfer of advanced innovative concepts, technologies and procedures to support the development of the Next Generation Air Transportation System (NextGen). The Integrated Systems Research Program (ISRP) is conducting research at an integrated system-level on promising concepts and technologies and exploring, assessing or demonstrating their benefits in a relevant environment. All the investments include coordination with other NASA Programs and partnerships with other government agencies and joint activities with the U.S. aeronautics industry and academia. 

 ASP develops and demonstrates future concepts, capabilities, and technologies that will enable major increases in air traffic management effectiveness, flexibility, and efficiency, while maintaining safety, to meet capacity and mobility requirements of NextGen. ISRP explores and assesses new vehicle concepts and enabling technologies through system-level experimentation and focuses specifically on maturing and integrating technologies in major vehicle systems/subsystems for accelerated transition to practical application. One of ISRP's projects is the Unmanned Aircraft Systems (UAS) Integration in the National Airspace System (NAS). The project's primary goal is to address technology development in five areas to reduce the technical barriers related to the safety and operational challenges of routine UAS operations in the NAS. These areas include seamless integration of separation assurance/sense and avoid interoperability, evaluating the workload impact to human UAS operators, demonstration of secure UAS command and control datalink, document requirements for and to create an appropriate test environment for evaluating UAS concepts. 

 The A2 topic area solicits concepts that can reduce the technical barriers related to the safety and operational challenges of routine UAS operations in the NAS. 

 Proposers interested in developing and validating innovative ATM concepts, technologies, and procedures to support the Next Generation Air Transportation System (NextGen) should refer to Select Topic E2.01, Air Traffic Management Research and Development."
Aeronautics Research,Topic A3,Air Vehicle Technologies,"
 The Vehicle Systems Technology topic solicits cutting-edge research in aeronautics to overcome technology barriers and challenges in developing highly efficient aircraft systems of the future, with limited impact to the environment. The primary objective is the development of innovative design tools, capabilities and technologies that provide design and system solutions and capabilities to meet the national goals in cleaner environment, reduced noise and highly energy efficient and revolutionary aircraft for the next generation (NextGen) air transportation system. 

 This topic solicits physics-based, multidisciplinary design, analysis and optimization tools and capabilities to facilitate assessment of new vehicle designs and their potential performance characteristics. These tools and capabilities will enable the best design solutions to meet the performance and environmental requirements and challenges, and technology innovations of future air vehicles. It also solicits research in revolutionary aircraft concepts; lightweight high strength structures and materials; more efficient propulsion systems; advanced concepts for high lift and low drag aircraft that meet the performance, efficiency and environmental requirements of future aircraft, and the goals of NextGen. 

 Beginning in FY12, this topic covers aircraft technologies formerly covered by the Fundamental Aeronautics topic as well as ground and flight test technologies formerly covered by the Aeronautics Test topic. The re-structuring will emphasize development of tools, technologies, test techniques, and knowledge to meet metrics derived from a definitive set of Technical Challenges responsive to the goals of the National Aeronautics Research and Development Plan (2010) and the NASA Strategic Plan (2011). 

  Fixed Wing Vehicles - Technologies and concepts for subsonic transport aircraft, propulsion system energy efficiency and environmental compatibility supported by enabling tools and methods. Targeted challenges include drag and weight reduction for fuselages and high aspect ratio wings, quiet high performance high-lift and propulsion systems, high performance clean, alternative-fuel burning gas generators, paradigm-changing hybrid-electric propulsion systems, innovative propulsion-airframe integration concepts. 
 Rotary Wing Vehicles - Advanced Efficient Propulsion (multi-speed lightweight rotorcraft drive trains and variable speed efficient engines), Advanced Concepts and Configurations (aerodynamically efficient rotorcraft, NextGen configurations, and multi-fidelity design and analysis tools), and Community and Passenger Acceptance (NextGen operations and standards, and comfort and safety). 
 High Speed - Focused on supersonic research, design, and boom mitigation techniques to achieve low boom strength and other elements that will help enable a low-boom experimental aircraft; System Integration Assessment; Supersonic Cruise Efficiency - Propulsion; Supersonic Cruise Efficiency-Airframe; Sonic Boom Modeling; and Jet Noise Research. 
 Aeronautical Sciences - Broad, cross-cutting discipline research (e.g., some CFD and structures & materials research) that is pervasive across flight regimes, helps develop some low-level concepts and ideas, and provides program-level systems analysis capability to assess balance and impact of program-wide investments. 
 Aeronautics Test Technologies - Focused on instrumentation, test measurement technology, test techniques, and facility development that apply to NASA aeronautics facilities to help in sustaining and improving our test capabilities at four NASA Centers: Ames Research Center, Dryden Flight Research Center, Glenn Research Center, and Langley Research Center. Classes of facilities include low speed, transonic, and supersonic wind tunnels, air-breathing engine test facilities, the Western Aeronautical Test Range (WATR), support and test bed aircraft, and simulation and loads laboratories.

"
Science,Topic S1,"Sensors, Detectors and Instruments","
 NASA's Science Mission Directorate (SMD) (http://nasascience.nasa.gov/) encompasses research in the areas of Astrophysics, Earth Science, Heliophysics and Planetary Science. The National Academy of Science has provided NASA with recently updated Decadal surveys that are useful to identify technologies that are of interest to the above science divisions. Those documents are available at the following locations: 

   Astrophysics - (http://sites.nationalacademies.org/bpa/BPA_049810(link is external)). 
 Planetary - (http://solarsystem.nasa.gov/2013decadal/index.cfm). 
 Earth Science - (http://science.nasa.gov/earth-science/decadal-surveys/). 
 Heliophysics - The 2009 technology roadmap can be downloaded here (http://science.nasa.gov/heliophysics/). 


 A major objective of SMD instrument development programs is to implement science measurement capabilities with smaller or more affordable spacecraft so development programs can meet multiple mission needs and therefore make the best use of limited resources. The rapid development of small, low-cost remote sensing and in situ instruments is essential to achieving this objective. For Earth Science needs, in particular, the subtopics reflect a focus on instrument development for airborne and Unmanned Aerial Vehicle (UAV) platforms. Astrophysics has a critical need for sensitive detector arrays with imaging, spectroscopy, and polarimetric capabilities, which can be demonstrated on ground, airborne, balloon, or suborbital rocket instruments. Heliophysics, which focuses on measurements of the sun and its interaction with the Earth and the other planets in the solar system, needs a significant reduction in the size, mass, power, and cost for instruments to fly on smaller spacecraft. Planetary Science has a critical need for miniaturized instruments with in situ sensors that can be deployed on surface landers, rovers, and airborne platforms. For the 2012 program year, we are restructuring the Sensors, Detectors and Instruments Topic, rotating out, combining and retiring some of the subtopics. Please read each subtopic of interest carefully. One new subtopic, S1.09 Surface and Sub-surface Measurement Systems was added this year. This new subtopic solicits proposals that are for ground-based surface vehicles, and submerged systems. Systems that will provide near-term benefit in a ground-based application but that are ultimately intended for flight or mobile platforms are in scope. A key objective of this SBIR topic is to develop and demonstrate instrument component and subsystem technologies that reduce the risk, cost, size, and development time of SMD observing instruments and to enable new measurements. Proposals are sought for development of components, subsystems and systems that can be used in planned missions or a current technology program. Research should be conducted to demonstrate feasibility during Phase I and show a path towards a Phase II prototype demonstration. The following subtopics are concomitant with these objectives and are organized by technology."
Science,Topic S2,Advanced Telescope Systems,"
 The NASA Science Missions Directorate seeks technology for cost-effective high-performance advanced space telescopes for astrophysics and Earth science. Astrophysics applications require large aperture light-weight highly reflecting mirrors, deployable large structures and innovative metrology, control of unwanted radiation for high-contrast optics, precision formation flying for synthetic aperture telescopes, and cryogenic optics to enable far infrared telescopes. A few of the new astrophysics telescopes and their subsystems will require operation at cryogenic temperatures as cold a 4-degrees Kelvin. This topic will consider technologies necessary to enable future telescopes and observatories collecting electromagnetic bands, ranging from UV to millimeter waves, and also include gravity waves. The subtopics will consider all technologies associated with the collection and combination of observable signals. Earth science requires modest apertures in the 2 to 4 meter size category that are cost effective. New technologies in innovative mirror materials, such as silicon, silicon carbide and nanolaminates, innovative structures, including nanotechnology, and wavefront sensing and control are needed to build telescopes for Earth science."
Science,Topic S3,Spacecraft and Platform Subsystems,"
 The Science Mission Directorate will carry out the scientific exploration of our Earth, the planets, moons, comets, and asteroids of our solar system and the universe beyond. SMDs future direction will be moving away from exploratory missions (orbiters and flybys) into more detailed/specific exploration missions that are at or near the surface (landers, rovers, and sample returns) or at more optimal observation points in space. These future destinations will require new vantage points, or would need to integrate or distribute capabilities across multiple assets. Future destinations will also be more challenging to get to, have more extreme environmental conditions and challenges once the spacecraft gets there, and may be a challenge to get a spacecraft or data back from. A major objective of the NASA science spacecraft and platform subsystems development efforts are to enable science measurement capabilities using smaller and lower cost spacecraft to meet multiple mission requirements thus making the best use of our limited resources. To accomplish this objective, NASA is seeking innovations to significantly improve spacecraft and platform subsystem capabilities while reducing the mass and cost, which would in turn enable increased scientific return for future NASA missions. A spacecraft bus is made up of many subsystems like:

Propulsion. 
Thermal control. 
Power and power distribution. 
Attitude control.
Telemetry command and control.
Transmitters/antenna. 
Computers/on-board processing/software. 
Structural elements. 


Science platforms of interest could include unmanned aerial vehicles, sounding rockets, or balloons that carry scientific instruments/payloads, to planetary ascent vehicles or Earth return vehicles that bring samples back to Earth for analysis. This topic area addresses the future needs in many of these sub-system areas, as well as their application to specific spacecraft and platform needs. For planetary missions, planetary protection requirements vary by planetary destination, and additional backward contamination requirements apply to hardware with the potential to return to Earth (e.g., as part of a sample return mission). Technologies intended for use at/around Mars, Europa (Jupiter), and Enceladus (Saturn) must be developed so as to ensure compliance with relevant planetary protection requirements. Constraints could include surface cleaning with alcohol or water, and/or sterilization treatments such as dry heat (approved specification in NPR 8020.12; exposure of hours at 115 °C or higher, non-functioning); penetrating radiation (requirements not yet established); or vapor-phase hydrogen peroxide (specification pending). Innovations for 2012 are sought in the areas of: 

Command and Data Handling, and Instrument Electronics. 
Power Generation and Conversion - Propulsion Systems. 
Power Electronics and Management, and Energy Storage. 
Unmanned Aircraft and Sounding Rocket Technologies.


Significant changes to the S3 Topic for 2011 are that the following areas will not be solicited in 2012, but may be solicited again in the 2013:

Thermal Control Systems - Guidance, Navigation and Control. 
Terrestrial and Planetary Balloons. 


The following references discuss some of NASAs science mission and technology needs:

The Astrophysics Roadmap: (http://nasascience.nasa.gov/about-us/science-strategy). 
Astrophysics Decadal Survey - ""New Worlds, New Horizons: in Astronomy and Astrophysics"": (http://www.nap.edu/catalog.php?record_id=12951(link is external)). 
The Earth Science Decadal Survey: (http://books.nap.edu/catalog.php?record_id=11820(link is external)). 
The Heliophysics roadmap: ""The Solar and Space Physics of a New Era: Recommended Roadmap for Science and Technology 2009­2030"": (http://sec.gsfc.nasa.gov/2009_Roadmap.pdf).
The 2011 Planetary Science Decadal Survey was released March 2011. This decadal survey is considering technology needs. (http://sites.nationalacademies.org/SSB/currentprojects/SSB_052412(link is external))."
Science,Topic S4,Robotic Exploration Technologies,"
 NASA is pursuing technologies to enable robotic exploration of the Solar System including its planets, their moons, and small bodies. NASA has a development program that includes technologies for the atmospheric entry, descent, and landing, mobility systems, extreme environments technology, sample acquisition and preparation for in situ experiments, and in situ planetary science instruments. Robotic exploration missions that are planned include a Europa Jupiter System mission, Titan Saturn System mission, Venus In Situ Explorer, sample return from Comet or Asteroid and lunar south polar basin and continued Mars exploration missions launching every 26 months including a network lander mission, an Astrobiology Field Laboratory, a Mars Sample Return mission and other rover missions. Numerous new technologies will be required to enable such ambitious missions. The solicitation for in situ planetary instruments can be found in the in situ instruments section of this solicitation. See URL: (http://solarsystem.nasa.gov/missions/index.cfm) for mission information. Planetary protection requirements vary by planetary destination, and additional backward contamination requirements apply to hardware with the potential to return to Earth (e.g., as part of a sample return mission). Technologies intended for use at/around Mars, Europa (Jupiter), and Enceladus (Saturn) must be developed so as to ensure compliance with relevant planetary protection requirements. Constraints could include surface cleaning with alcohol or water, and/or sterilization treatments such as dry heat (approved specification in NPR 8020.12; exposure of hours at 115 °C or higher, non-functioning); penetrating radiation (requirements not yet established); or vapor-phase hydrogen peroxide (specification pending)."
Science,Topic S5,Information Technologies,"
 NASA Missions and Programs create a wealth of science data and information that are essential to understanding our earth, our solar system and the universe. Advancements in information technology will allow many people within and beyond the Agency to more effectively analyze and apply these data and information to create knowledge. For example, modeling and simulation are being used more pervasively throughout NASA, for both engineering and science pursuits, than ever before. These are tools that allow high fidelity simulations of systems in environments that are difficult or impossible to create on Earth, allow removal of humans from experiments in dangerous situations, provide visualizations of datasets that are extremely large and complicated, and aid in the design of systems and missions. In many of these situations, assimilation of real data into a highly sophisticated physics model is needed. Information technology is also being used to allow better access to science data, more effective and robust tools for analyzing and manipulating data, and better methods for collaboration between scientists or other interested parties. The desired end result is to see that NASA data and science information are used to generate the maximum possible impact to the nation: to advance scientific knowledge and technological capabilities, to inspire and motivate the nation's students and teachers, and to engage and educate the public."
Human Exploration and Operations,Topic H1,In-Situ Resource Utilization,"
 The purpose of In-Situ Resource Utilization (ISRU) is to harness and utilize resources (both natural and discarded material) at the site of exploration to create products and services which can enable and significantly reduce the mass, cost, and risk of near-term and long-term space exploration. The ability to make propellants, life support consumables, fuel cell reagents, and radiation shielding from in-situ resources can significantly reduce the cost, mass, and risk of sustained human activities beyond Earth. Since ISRU may be performed wherever resources exist, ISRU systems need to operate in a variety of environments and gravities. Also, because ISRU systems and operations have never been demonstrated before in missions, it is important that ISRU concepts and technologies be evaluated under relevant conditions (gravity, environment, and vacuum) as well as anchored through modeling to regolith/soil, atmosphere, and environmental conditions. While the discipline of ISRU can encompass a large variety of different concept areas, resources, and products, the ISRU Topic will focus on technologies and capabilities associated with atmospheric and trash/waste resource collection, transfer, and processing."
Human Exploration and Operations,Topic H2,Space Transportation,"Achieving space flight remains a challenging enterprise. It is an undertaking of great complexity, requiring numerous technological and engineering disciplines and a high level of organizational skill. Human Exploration requires advances in operations, testing, and propulsion for transport to the earth orbit, the moon, Mars, and beyond. NASA is interested in making space transportation systems more capable and less expensive. NASA is interested in technologies for advanced in-space propulsion systems to support exploration, reduce travel time, reduce acquisition costs, and reduce operational costs. The goal is a breakthrough in cost and reliability for a wide range of payload sizes and types (including passenger transportation) supporting future orbital flight vehicles. Lower cost and reliable space access will provide significant benefits to civil space (human and robotic exploration beyond Earth as well as Earth science), to commercial industry, to educational institutions, for support to the International Space Station National Laboratory, and to national security. While other strategies can support frequent, low-cost and reliable space access, this topic focuses on the technologies that dramatically alter acquisition, reusability, reliability, and operability of space transportation systems."
