Higher Topic,Focus Area Code,Focus Area name,Content
Space Operations,Topic O1,Space Communications,"
 NASA's communications capability is based on the premise that communications shall enable and not constrain missions. Communications must be robust to support the numerous missions for space science, Earth science and exploration of the universe. Technologies such as optical communications, RF including antennas and ground based Earth stations, surface networks, access links, reprogrammable communications systems, communications systems for EVAs, advanced antenna technology, transmit array concepts and communications in support of launch services including space based assets are very important to the future of exploration and science activities of the Agency. Emphasis is placed on size, weight and power improvements. Even greater emphasis is placed on these attributes as small satellites (e.g., micro and nano satellite) technology matures. Innovative solutions are needed which are centered on operational issues associated with the communication capability. Communication technologies enabling acquisition of range safety data from sensitive instruments is imperative. All technologies developed under this topic area to be aligned with the Architecture Definition Document and technical direction as established by the NASA Office of Space Communications and Navigation (SCaN). For more details, see:

https://www.spacecomm.nasa.gov/spacecomm/
https://www.spacecomm.nasa.gov/spacecomm/programs/default.cfm
https://www.spacecomm.nasa.gov/spacecomm/programs/technology/default.cfm
https://www.spacecomm.nasa.gov/spacecomm/programs/technology/sbir/default.cfm  

 A typical approach for flight hardware would include: Phase 1 - Research to identify and evaluate candidate telecommunications technology applications to demonstrate the technical feasibility and show a path towards a hardware/software demonstration. Bench or lab-level demonstrations are desirable. Phase 2 - Emphasis should be placed on developing and demonstrating the technology under simulated flight conditions. The proposal shall outline a path showing how the technology could be developed into space-worthy systems. The contract should deliver a demonstration unit for functional and environmental testing at the completion of the Phase 2 contract. 

 Some of the subtopics in this topic could result in products that may be included in a future flight opportunity. Please see the following for more details: 

   SMD Topic S4 for more details concerning requirements for Small Satellite flight opportunities. 
 Facilitated Access to the Space Environment for Technology Development and Training (FAST):   http://ipp.nasa.gov/ii_fast.htm 
 International Space Station payload opportunities:http://www.nasa.gov/mission_pages/station/science/experiements/Discipline.html
 Terrestrial analogs (Desert Rats, Haughton Field): http://science.ksc.nasa.gov/d-rats/, http://ti.arc.nasa.gov/projects/haughton_field


 NOTE: Communications technologies for space-based range must be highly integrated with required navigation components; hence, space-based range technologies are solicited in Navigation Subtopic O4.05."
Space Operations,Topic O2,Space Transportation,"
 Achieving space flight can be astonishing. It is an undertaking of great complexity, requiring numerous technological and engineering disciplines and a high level of organizational skill. Overcoming Earth's gravity to achieve orbit demands collections of quality data to maintain the security required of the range. The harsh environment of space puts tight constraints on the equipment needed to perform the necessary functions. Not only is there a concern for safety but the 2004 Space Transportation Policy directive states that the U.S. must maintain robust transportation capabilities to assure access to space. Given this backdrop, this topic is designed to address technologies to enable a safer and more reliable space transportation capability. Automated collection of range data, acquisition of specialized weather data, and instrumentation for space transportation system testing are all required. The following subtopics are required to secure technologies for these capabilities."
Space Operations,Topic O3,Processing and Operations,"
 The Space Operations Mission Directorate (SOMD) is responsible for providing mission critical space exploration services to both NASA customers and to other partners within the U.S. and throughout the world: from flying the Space Shuttle, to assembling the International Space Station; ensuring safe and reliable access to space; maintaining secure and dependable communications between platforms across the solar system; and ensuring the health and safety of our Nation's astronauts. Each of the activities includes both ground-based and in-flight processing and operations tasks. Support for these tasks that ensures they are accomplished efficiently and accurately enables successful missions and healthy crew."
Space Operations,Topic O4,Navigation,"
 NASA is seeking innovative research in the areas of positioning, navigation, and timing (PNT) that have relevance to Space Communications and Navigation programs and goals, as described at http://www.spacecomm.nasa.gov. NASA's Space Communication and Navigation Office considers the three elements of PNT to represent distinct, constituent capabilities: (1) positioning, by which we mean accurate and precise determination of an asset's location and orientation referenced to a coordinate system; (2) navigation, by which we mean determining an asset's current and/or desired absolute or relative position and velocity state, and applying corrections to course, orientation, and velocity to attain achieve the desired state; and (3) timing, by which we mean an asset's acquiring from a standard, maintaining within user-defined parameters, and transferring where required, an accurate and precise representation of time. NASA has divided its PNT interests into six focus areas: (1) Global Positioning System (GPS) (2) Distress Alerting Satellite System (DASS) (3) Flight Dynamics (4) Tracking and Data Relay Satellite System (TDRSS) (5) TDRSS Augmentation Service for Satellites (TASS) (6) Geodesy. This year, NASA seeks technology in focus areas (1), (3), (4), and (5), and related areas that provides PNT support and services for NASA's current tracking and communications networks and systems-including tracking during launch and landing operations, and research and technology relevant to the planning and development of PNT support and services for NASA's Project Constellation, including lunar surface operations, and other Exploration and Science Programs that NASA may undertake over the next two decades. Some of the subtopics in this topic could result in products that may be included in future flight opportunities. Please see the Science MD Topic S4 for more details as to the requirements for small satellite flight opportunities, and the Facilitated Access to the Space Environment for Technology Development and Training (FAST) website at http://ipp.nasa.gov/ii_fast.htm."
Aeronautics Research,Topic A1,Aviation Safety,"
 The Aviation Safety Program focuses on the Nation's future aviation safety challenges. This vigilance for safety must continue in order to meet the projected increases in air traffic capacity and realize the new capabilities envisioned for the Next Generation Air Transportation System (NextGen). The Aviation Safety Program will conduct research to improve the intrinsic safety attributes of legacy and future aircraft and their operations in the Next Generation Air Transportation system, and to eliminate safety-related technology barriers. 

 The program has focused on furthering our understanding of the fundamental questions that need to be addressed for mid- and long-term improvements to aviation safety through engineering analysis and technology design. The results at the fundamental level will be integrated at the discipline and multi-discipline levels to ultimately yield system-level integrated capabilities, methods, and tools for analysis, optimization, prediction, and design that will enable improved safety for a range of operating concepts, vehicle classes, and crew configurations. The Aviation Safety Program is divided into four complementary and highly interlinked projects: 

   The Aircraft Aging and Durability Project performs foundational research in aging science that will ultimately yield multi-disciplinary analysis and optimization capabilities that will enable system-level integrated methods for the detection, prediction, and mitigation/management of aging-related hazards for future civilian and military aircraft. 
 The Integrated Intelligent Flight Deck Project develops tools, methods, principles, guidelines, and technologies for revolutionary flight deck systems that enable transformations toward safer operations. 
 The Integrated Resilient Aircraft Control Project conducts research to advance the state of aircraft flight control to provide onboard control resilience for ensuring safe flight in the presence of adverse conditions. 
 The Integrated Vehicle Health Management Project develops validated tools, technologies and techniques for automated detection, diagnosis and prognosis that enable mitigation of adverse events during flight. 


 Examples areas of program interest include research directed at fundamental knowledge of legacy and future aircraft structures and systems durability; on-board detection, diagnosis, prognosis, prediction and mitigation of system failures and faults; monitoring vehicle and airspace issues to identify problems before they become accidents; understanding aircraft dynamics of current and future vehicles in damaged and upset conditions; robust control systems; aircraft guidance for emergency operation; airborne sensors and sensor systems for the detection and monitoring of external hazards to aircraft (e.g., in-flight icing conditions, wake vortices); design of robust collaborative work environments; effective and robust human-automation systems; and information management for effective decision making. In addition, general methods for dramatically advancing the community's capability for thorough, cost-effective and time-effective verification and validation of safety-critical systems are of interest to the program as a whole, including rigorous methods for validating design requirements for vehicles and aviation operations, verifying integrated and distributed aircraft and air traffic systems (including assumptions about human performance), and verifying software-intensive systems. 

 NASA seeks highly innovative proposals that will complement its work in science and technologies that build upon and advance the Agency's unique safety-related research capabilities vital to aviation safety. Additional information is available at http://www.aeronautics.nasa.gov/programs_avsafe.htm."
Aeronautics Research,Topic A2,Fundamental Aeronautics,"
 The Fundamental Aeronautics Program (FAP) encompasses the principles of flight in any atmosphere, and at any speed. The program develops focused technological capabilities, starting with the most basic knowledge of underlying phenomena through validation and verification of advanced concepts and technologies at the component and systems level. Physics-based, multidisciplinary design, analysis, and optimization (MDAO) tools will be developed that make it possible to evaluate radically new vehicle designs and to assess, with known uncertainties, the potential impact of innovative technologies and concepts on a vehicle's overall performance. The development of advanced component technologies will realize revolutionary improvements in noise, emissions, and performance. The program also supports NASA's human and robotic exploration missions by advancing knowledge in aeronautical areas critical to planetary Entry, Descent, and Landing. NASA has defined a four-level approach to technology development: conduct foundational research to further our fundamental understanding of the underlying physics and our ability model that physics; leverage the foundational research to develop technologies and analytical tools focused on discipline-based solutions; integrate methods and technologies to develop multi-disciplinary solutions; and solve the aeronautics challenges for a broad range of air vehicles with system-level optimization, assessment and technology integration. 

 Structurally, the FAP is composed of four projects: hypersonic flight, supersonic flight, subsonic fixed-wing aircraft and subsonic rotary-wing aircraft. 

 Hypersonics 
   Fundamental research in all disciplines to enable very-high speed flight (for airbreathing launch vehicles) and re-entry into planetary atmospheres; 
 High-temperature materials, thermal protection systems, air-breathing propulsion, aero-thermodynamics, multi-disciplinary analysis and design, GNC, experimental capabilities. 


 Supersonics 
   Eliminate environmental and performance barriers that prevent practical supersonic vehicles (cruise efficiency, noise and emissions, vehicle integration and control); 
 Supersonic deceleration technology for Entry, Descent, and Landing into Mars. 


 Subsonic Fixed Wing (SFW) 
   Develop revolutionary technologies and aircraft concepts with highly improved performance while satisfying strict noise and emission constraints; 
 Focus on enabling technologies: acoustics predictions, propulsion/combustion, system integration, high-lift concepts, lightweight and strong materials, GNC. 


 Subsonic Rotary Wing (SRW) 
   Improve civil potential of rotary wing vehicles (vs. fixed wing) while maintaining their unique benefits; 
 Key advances in multiple areas through innovation in materials, aeromechanics, flow control, propulsion. 


 Each project addresses specific discipline, multi-discipline, sub-system and system level technology issues relevant to that flight regime. A key aspect of the Fundamental Aeronautics Program is that many technical issues are common across multiple flight regimes and may be best resolved in an integrated coordinated manner. As such, the FAP subtopics are organized by discipline, not by flight regime, with a special subtopic for rotary-wing issues. 

 Additional information: http://www.aeronautics.nasa.gov/fap/index.html"
Aeronautics Research,Topic A3,Airspace Systems,"
 NASA's Airspace Systems (AS) Program is investing in the development of innovative concepts and technologies to support the development of the Next Generation Air Transportation System (NGATS is also commonly known as NextGen). NASA is working to develop, validate and transfer advanced concepts, technologies, and procedures through partnership with the Federal Aviation Administration (FAA) and other government agencies represented in the Joint Planning and Development Office (JPDO), and in cooperation with the U.S. aeronautics industry and academia. As such, the AS Program will develop and demonstrate future concepts, capabilities, and technologies that will enable major increases in air traffic management effectiveness, flexibility, and efficiency, while maintaining safety, to meet capacity and mobility requirements of NextGen. The AS Program integrates the two projects, NextGen Airspace and NextGen Airportal, to directly address the fundamental research needs of NextGen vision in partnership with the member agencies of the JPDO. The NextGen Airspace Project develops and explores fundamental concepts and integrated solutions that address the optimal allocation of ground and air automation technologies necessary for NextGen. The project will focus NASA's technical expertise and world-class facilities to address the question of where, when, how and the extent to which automation can be applied to moving aircraft safely and efficiently through the NAS. The NextGen Airportal Project develops and validates algorithms, concepts, and technologies to increase throughput of the runway complex and achieve high efficiency in the use of airportal resources such as gates, taxiways, runways, and final approach airspace. NASA research in this project will lead to development of solutions that safely integrate surface and terminal area air traffic optimization tools and systems with 4-D trajectory operations. Ultimately, the roles and responsibilities of humans and automation influence in the ATM will be addressed by both projects. Key objectives of NASA's AS Program are to: 

   Improve mobility, capacity, efficiency and access of the airspace system; 
 Improve collaboration, predictability, and flexibility for the airspace users; 
 Enable accurate modeling and simulation of air transportation systems; 
 Accommodate operations of all classes of aircraft; and 
 Maintain system safety and environmental protection. 


 Additional information is available at http://www.aeronautics.nasa.gov/programs_asp.htm."
Aeronautics Research,Topic A4,Aeronautics Test Technologies,"


 NASA has implemented the Aeronautics Test Program (ATP) within its Aeronautics Research Mission Directorate (ARMD). The purpose of the ATP is to ensure the long term availability and health of NASA's major wind tunnels/ground test facilities and flight operations/test infrastructure that support NASA, DoD and U.S. industry research and development (R&D) and test and evaluation (T&E) needs. Furthermore, ATP provides rate stability to the aforementioned user community. The ATP facilities are located at the NASA Research Centers, including at Ames Research Center, Dryden Flight Research Center, Glenn Research Center and Langley Research Center. Classes of facilities within the ATP include low speed wind tunnels, transonic wind tunnels, supersonic wind tunnels, hypersonic wind tunnels, hypersonic propulsion integration test facilities, air-breathing engine test facilities, the Western Aeronautical Test Range (WATR), support aircraft, test bed aircraft, and the simulation and loads laboratories. A key component of ensuring a test facility's long term viability is to implement and continually improve on the efficiency and effectiveness of that facility's operations. To operate a facility in this manner requires the use of state-of-the-art test technologies and test techniques, creative facility performance capability enhancements, and novel means of acquiring test data. NASA is soliciting proposals in the areas of instrumentation, test measurement technology, test techniques and facility development that apply to the ATP facilities to help in achieving the ATP goals of sustaining and improving our test capabilities. Proposals that describe products or processes that are transportable across multiple facility classes are of special interest. The proposals will also be assessed for their ability to develop products that can be implemented across government-owned, industry and academic institution test facilities. Additional information:  http://www.aeronautics.nasa.gov/atp/index.html."
Science,Topic S1,"Sensors, Detectors and Instruments","
NASA's Science Mission Directorate (SMD) (http://nasascience.nasa.gov/) encompasses research in the areas of Astrophysics (http://nasascience.nasa.gov/astrophysics), Earth Science (http://nasascience.nasa.gov/earth-science), Heliophysics (http://nasascience.nasa.gov/heliophysics), and Planetary Science (http://nasascience.nasa.gov/planetary-science). A major objective of SMD instrument development programs is to implement science measurement capabilities with smaller or more affordable spacecraft so development programs can meet multiple mission needs and therefore make the best use of limited resources. The rapid development of small, low-cost remote sensing and in situ instruments is essential to achieving this objective. For Earth Science needs, in particular, the subtopics reflect a focus on instrument development for airborne and Unmanned Aerial Vehicle (UAV) platforms. Astrophysics has a critical need for sensitive detector arrays with imaging, spectroscopy, and polarimetric capabilities which can be demonstrated on ground, airborne, balloon, or suborbital rocket instruments. Heliophysics, which focuses on measurements of the sun and its interaction with the Earth and the other planets in the solar system, needs a significant reduction in the size, mass, power, and cost for instruments to fly on smaller spacecraft. Planetary Science has a critical need for miniaturized instruments with in situ sensors that can be deployed on surface landers, rovers, and airborne platforms. For the 2009 program year, we are actively encouraging proposal submissions for subtopic S1.10 that solicits technology for geodetic instruments and instruments to enable global navigation and very long baseline interferometry. A key objective of this SBIR topic is to develop and demonstrate instrument component and subsystem technologies that reduce the risk, cost, size, and development time of SMD observing instruments and to enable new measurements. Proposals are sought for development components that can be used in planned missions or a current technology program. Research should be conducted to demonstrate feasibility during Phase 1 and show a path towards a Phase 2 prototype demonstration. The following subtopics are concomitant with these objectives and are organized by technology."
Science,Topic S2,Advanced Telescope Systems,"
 The NASA Science Missions Directorate seeks technology for cost-effective high-performance advanced space telescopes for astrophysics and Earth science. Astrophysics applications require large aperture light-weight highly reflecting mirrors, deployable large structures and innovative metrology, control of unwanted radiation for high-contrast optics, precision formation flying for synthetic aperture telescopes, and cryogenic optics to enable far infrared telescopes. A few of the new astrophysics telescopes and their subsystems will require operation at cryogenic temperatures as cold a 4-degrees Kelvin. This topic will consider technologies necessary to enable future telescopes and observatories collecting electromagnetic bands, ranging from UV to millimeter waves, and also include gravity waves. The subtopics will consider all technologies associated with the collection and combination of observable signals. Earth science requires modest apertures in the 2 to 4 meter size category that are cost effective. New technologies in innovative mirror materials, such as silicon, silicon carbide and nanolaminates, innovative structures, including nanotechnology, and wavefront sensing and control are needed to build telescope for Earth science that have the potential to cost between $50 to $150M.  
"
