Higher Topic,Focus Area Code,Focus Area name,Content
TA1 Launch Propulsion Systems,TA1.2,Liquid Rocket Propulsion Systems,
TA2 In-Space Propulsion Technologies,TA2.1,Chemical Propulsion,
TA2 In-Space Propulsion Technologies,TA2.2,Non-Chemical Propulsion,
TA2 In-Space Propulsion Technologies,TA2.4,Supporting Technologies,
TA3 Space Power and Energy Storage,TA3.1,Power Generation,
TA3 Space Power and Energy Storage,TA3.4,Cross Cutting Technology,
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.1,Sensing & Perception,
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.3,Manipulation,
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.4,Human-Systems Integration,
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.5,Autonomy,
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.7,RTA Systems Engineering,
TA5 Communication and Navigation,TA5.1,Optical Comm. And Navigation,
TA5 Communication and Navigation,TA5.4,"Position, Navigation, and Timing",
TA5 Communication and Navigation,TA5.5,Integrated Technologies,
"TA6 Human Health, Life Support and Habitation Systems",TA6.1,Environmental Control Life Support & Habitation Systems,
"TA6 Human Health, Life Support and Habitation Systems",TA6.2,Extravehicular Activity Systems,
"TA6 Human Health, Life Support and Habitation Systems",TA6.3,Human Health and Performance,
"TA6 Human Health, Life Support and Habitation Systems",TA6.5,Radiation,
TA7 Human Exploration Destination Systems,TA7.1,In-Situ Resource Utilization,
TA7 Human Exploration Destination Systems,TA7.2,Sustainability & Supportability,
"TA8 Science Instruments, Observatories & Sensor Systems",TA8.1,Science Instruments,
"TA8 Science Instruments, Observatories & Sensor Systems",TA8.2,Observations,
"TA8 Science Instruments, Observatories & Sensor Systems",TA8.3,Sensor Systems,
"TA9 Entry, Descent and Landing Systems",TA9.1,Aeroassist & Entry,
"TA9 Entry, Descent and Landing Systems",TA9.2,Descent,
"TA9 Entry, Descent and Landing Systems",TA9.4,Vehicle Systems Technology,
TA10 Nanotechnology,TA10.1,Engineered Materials and Structures,
TA10.2 Energy Generation and Storage,TA10.2.1,Energy Storage,
"TA11 Modeling, Simulation, Information Technology and Processing",TA11.1,Computing,
"TA11 Modeling, Simulation, Information Technology and Processing",TA11.2,Modeling,
"TA11 Modeling, Simulation, Information Technology and Processing",TA11.4,Information Processing,
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.1,Materials,
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.2,Structures,
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.3,Mechanical Systems,
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.5,Cross-Cutting,
TA13 Ground and Launch Systems Processing,TA13.3,Technologies to Increase Reliability and Mission Availability,
TA14 Thermal Management Systems,TA14.2,Thermal Control Systems,
TA15 Aeronautics,TA15.1,Additional Subtopics,
