Higher Topic,Focus Area Code,Focus Area name,Content
Space Operations,Topic O1,Space Communications and Navigation,"

 NASA's communications capability is based on the premise that communications shall enable and not constrain missions. Communications must be robust to support the numerous missions for space science, Earth science and exploration of the universe. Technologies such as optical communications, RF including antennas and ground based Earth stations, surface networks, access links, navigation and timing, reprogrammable communications systems, communications systems for EVAs, advanced antenna technology, transmit array concepts and communications in support of launch services including space based assets are very important to the future of  exploration and science activities of the Agency. Emphasis is placed on size, weight and power improvements. Even greater emphasis is placed on these attributes as smaller spacecraft (eg., micro and nano satellite) technology matures. Innovative solutions centered around operational issues associated with the communications capability are needed. Communications that enable the range safety data from sensitive instruments is imperative. These technologies are to be aligned with the Space Communications and Navigation Architecture as being developed by the Agency. A typical approach for flight hardware would include: Phase 1 - Research should identify and evaluate candidate telecommunications technology applications to demonstrate the technical feasibility and show a path towards a hardware/ software demonstration. Plan a demonstration to validate the technologies/tools/processes. Bench or lab-level demonstrations showing concept viability is encouraged. Commercial applicability should be addressed. Phase 2 - Emphasis should be placed on developing and demonstrating the technology under simulated flight conditions. Additionally, a path should be outlined that shows how the technology could be commercialized or further developed into space-worthy systems defining interfaces (both on the spacecraft and to candidate ground segments). When applicable, researchers should deliver a demonstration unit for functional and environmental testing at the completion of the Phase 2 contract."
Space Operations,Topic O2,Space Transportation,"
 Achieving space flight can be astonishing. It is an undertaking of great complexity, requiring numerous technological and engineering disciplines and a high level of organizational skill. Overcoming Earth's gravity to achieve orbit demands collections of quality data to maintain the security required of the range. The harsh environment of space puts tight constraints on the equipment needed to perform the necessary functions. Not only is there a concern for safety but the 2004 Space Transportation Policy directive that states that the U.S. maintains robust transportation capabilities to assure access to space. Given this backdrop, this topic is designed to address technologies to enable a safer and more reliable space transportation capability. Automated collection of range data, automated tracking and identification of objects, and instrumentation for space transportation system testing are all required. The following subtopics are required secure technologies for these capabilities."
Space Operations,Topic O3,Processing and Operations,"
 The Space Operations Mission Directorate (SOMD) is responsible for providing mission critical space exploration services to both NASA customers and to other partners within the U.S. and throughout the world: from flying the Space Shuttle, to assembling the International Space Station; ensuring safe and reliable access to space; maintaining secure and dependable communications between platforms across the solar system; and ensuring the health and safety of our Nation's astronauts. Each of the activities includes both ground-based and in-flight processing and operations tasks. Support for these tasks that ensures they are accomplished efficiently and accurately enables successful missions and healthy crew."
Aeronautics Research,Topic A1,Aviation Safety,"
 The Aviation Safety Program focuses on the Nation's aviation safety challenges of the future. This vigilance for safety must continue in order to meet the projected increases in air traffic capacity and realize the new capabilities envisioned for the Next Generation Air Transportation System (NGATS). The Aviation Safety Program will conduct research to improve the intrinsic safety attributes of future aircraft and to eliminate safety-related technology barriers. The program is focusing on a foundational approach to advancing knowledge in core disciplines (e.g., fluid dynamics, computational methods, material science), which in turn is used to build integrated multidisciplinary system-level models, tools, and technologies. 

 This approach focuses on furthering our understanding of the underlying physics, chemistry, materials, etc., of aeronautics phenomena when broken down to these most basic elements. The results at the fundamental level will be integrated at the discipline and multi-discipline levels to ultimately yield system-level integrated capabilities, methods, and tools for analysis, optimization, prediction, and design that will enable improved safety for a range of missions, vehicle classes, and crew configurations. 

 Example areas of program interest include research directed at the detection, prediction and mitigation/management of aging-related hazards of future civilian and military aircraft; designs of revolutionary adaptive flight decks; in-flight prognosis of aircraft health, preventative and adaptive systems for in-flight operability; informed logistics and maintenance graceful recovery from in-flight failures; software safety assurance and formal verification methods for safety-critical systems; as well as system-level integrated resilient control technologies. 

 NASA seeks highly innovative proposals that will complement its work in science and technologies that build upon and advance the Agency's unique safety-related research capabilities vital to aviation safety."
Aeronautics Research,Topic A2,Fundamental Aeronautics,"NASA is the Nation's leading government organization for civil aeronautical research. Within NASA's overall strategic plan, Aeronautics has the goal to ""Advance knowledge in the fundamental disciplines of aeronautics and develop technologies for safer aircraft and higher capacity airspace systems."" To address this goal, NASA's Aeronautics Research Mission Directorate (ARMD) is organized into three separate Programs: Fundamental Aeronautics, Aviation Safety, and Airspace Systems. 


 The Fundamental Aeronautics Program encompasses cutting-edge research in traditional aeronautical disciplines, as well as emerging fields with promising application to aeronautics. The overall program is long-term in scope as well as focused and integrated across disciplines. It is implemented through NASA's four research centers: the Ames Research Center, in Mountain View, California; the Dryden Flight Research Center in Edwards, California; the Glenn Research Center in Cleveland, Ohio; and the Langley Research Center in Hampton, Virginia. 


 To achieve these objectives NASA has defined a four-level approach to technology development: (1) conduct foundational research to further our fundamental understanding of the underlying physics and our ability model that physics, (2) leverage the foundational research to develop technologies and analytical tools focused on discipline-based solutions, (3) integrate methods and technologies to develop multi-disciplinary solutions, and (4) solve the aeronautics challenges for a broad range of air vehicles with system-level optimization, assessment and technology integration. 


 The Fundamental Aeronautics Program will provide for results yielding the following: 

   Technology innovation and integrated, multidisciplinary analysis tools;
 Rapid evaluation of new concepts and technology;
 Accelerated application of new technology to a wide array of vehicles;
 Reduced environmental impact and increased public benefit of future aircraft through lower emissions, less noise, higher efficiency, and safer operation. 



 Structurally, the program is composed of four projects: hypersonic flight, supersonic flight, subsonic fixed-wing aircraft and subsonic rotary-wing aircraft. Each project, in turn, addresses specific discipline, multi-discipline, sub-system and system level technology issues relevant to that flight regime. However, a key aspect of the Fundamental Aeronautics Program is that many technical issues are common across multiple flight regimes and may be best resolved in an integrated coordinated manner. As such, the Fundamental Aeronautics subtopics are organized by discipline, not by flight regime, with a special subtopic for rotary-wing issues. 


 The full list of Fundamental Aeronautics subtopics are: (1) Materials and Structures for Future Aircraft, (2) Combustion for Aerospace Vehicles, (3) Aero-Acoustics, (4) Aeroelasticity, (5) Aerodynamics, (6) Aerothermodynamics, (7) Flight and Propulsion Control and Dynamics, (8) Experimental Capabilities and Flight Research, (9) Aircraft Systems Analysis, Design and Optimization, and (10) Rotorcraft. Each of the subsequent subtopic sections will describe the scope, key issues and technical content of the subtopic. It will also include the specific areas of interest spanning the four flight regimes. Individual proposals are not restricted to any one specific technical area or any single part of the full flight regime. They may address any or all areas included in a subtopic and may cover any or all parts of the entire flight regime."
Aeronautics Research,Topic A3,Airspace Systems,"

 NASA's Airspace Systems (AS) Program is investing in the development of innovative concepts and technologies to support the development of the Next Generation Air Transportation System (NGATS). NASA is working to develop, validate and transfer advanced concepts, technologies, and procedures through partnership with the Federal Aviation Administration (FAA) and other government agencies represented in the Joint Planning and Development Office (JPDO), and in cooperation with the U.S. aeronautics industry and academia. As such, the AS Program will develop and demonstrate future concepts, capabilities, and technologies that will enable major increases in air traffic management effectiveness, flexibility, and efficiency, while maintaining safety, to meet capacity and mobility requirements of the NGATS. The AS Program integrates the two projects, NGATS ATM Airspace and NGATS ATM Airportal, to directly address the fundamental research needs of NGATS vision in partnership with the member agencies of the JPDO. The NGATS ATM Airspace Project develops and explores fundamental concepts and integrated solutions that address the optimal allocation of ground and air automation technologies necessary for NGATS. The Project will focus NASA's technical expertise and world-class facilities to address the question of where, when, how and the extent to which automation can be applied to moving aircraft safely and efficiently through the NAS. The NGATS ATM Airportal Project develops and validates algorithms, concepts, and technologies to increase throughput of the runway complex and achieve high efficiency in the use of airportal resources such as gates, taxiways, runways, and final approach airspace. NASA research in this project will lead to development of solutions that safely integrate surface and terminal area air traffic optimization tools and systems with 4-D trajectory operations. Ultimately, the roles and responsibilities of humans and automation influence in the ATM will be addressed by both projects. Key objectives of NASA's AS Program are to: 

   Improve mobility, capacity, efficiency and access of the airspace system; 
 Improve collaboration, predictability, and flexibility for the airspace users; 
 Enable accurate modeling and simulation of air transportation systems; 
 Accommodate operations of all classes of aircraft; and 
 Maintain system safety and environmental protection."
Aeronautics Research,Topic A4,Aeronautics Test Technologies,"NASA has implemented the Aeronautics Test Program (ATP) within its Aeronautics Research Mission Directorate (ARMD). The purpose of the ATP is to ensure the long term availability and health of NASA's major wind tunnels/ground test facilities and flight operations/test infrastructure that support NASA, DoD and U.S. industry research and development (R&D) and test and evaluation (T&E) needs. Furthermore, ATP provides rate stability to the aforementioned user community.


 The ATP facilities are located at the NASA Research Centers, including at Ames Research Center, Dryden Flight Research Center, Glenn Research Center and Langley Research Center. Classes of facilities within the ATP include low speed wind tunnels, transonic wind tunnels, supersonic wind tunnels, hypersonic wind tunnels, hypersonic propulsion integration test facilities, air-breathing engine test facilities, the Western Aeronautical Test Range (WATR), support aircraft, test bed aircraft, and the simulation and loads laboratories.


 A key component of ensuring a test facility's long term viability is to implement and continually improve on the efficiency and effectiveness of that facility's operations. To operate a facility in this manner requires the use of state-of-the-art test technologies and test techniques, creative facility performance capability enhancements, and novel means of acquiring test data.


 NASA is soliciting proposals in the areas of instrumentation, test measurement technology, test techniques and facility development that apply to the ATP facilities to help in achieving the ATP goals of sustaining and improving our test capabilities. Proposals that describe products or processes that are transportable across multiple facility classes are of special interest. The proposals will also be assessed for their ability to develop products that can be implemented across government-owned, industry and academic institution test facilities."
Science,Topic S1,"Sensors, Detectors, and Instruments","NASAs Science Mission Directorate (SMD) encompasses research in the areas of Astrophysics, Earth Science, Heliophysics, and Planetary Science. A major objective of SMD instrument development programs is to implement science measurement capabilities with smaller or more affordable spacecraft so development programs can meet multiple mission needs and therefore make the best use of limited resources. The rapid development of small, low-cost remote sensing and in situ instruments is essential to achieving this objective. For Earth Science needs, in particular, the subtopics reflect a focus on instrument development for airborne and Unmanned Aerial Vehicle (UAV) platforms. Astrophysics has a critical need for sensitive, large format detector arrays with imaging, spectroscopy, and polarimetric capabilities which can be demonstrated on ground, airborne, balloon, or suborbital rocket instruments. Heliophysics, which focuses on measurements of the sun and its interaction with the Earth, needs a significant reduction in the size, mass, power, and cost for instruments to fly on smaller spacecraft. Planetary Science has a critical need for miniaturized instruments with in situ sensors which can be deployed on surface landers, rovers, and airborne platforms. Consequently, the objective of this SBIR topic is to develop and demonstrate instrument component and subsystem technologies that reduce the risk, cost, size, and development time of SMD observing instruments and to enable new measurements. The following subtopics are concomitant with this objective and are organized by technology.


[back to top]"
Science,Topic S2,Advanced Telescope Systems,"The NASA Science Missions Directorate seeks technology for cost-effective high-performance advanced space telescopes for astrophysics and Earth science. Astrophysics applications require large aperture light-weight highly reflecting mirrors, deployable large structures and innovative metrology, control of unwanted radiation for high-contrast optics, precision formation flying for synthetic aperture telescopes, and cryogenic optics to enable far infrared telescopes. A few of the new astrophysics telescopes and their subsystems will require operation at cryogenic temperatures as cold a 4-degrees Kelvin. This topic will consider technologies necessary to enable future telescopes and observatories collecting electromagnetic bands, ranging from UV to millimeter waves, and also include gravity waves. The subtopics will consider all technologies associated with the collection and combination of observable signals. Earth science requires modest apertures in the 2 to 4 meter size category that are cost effective. New technologies in innovative mirror materials, such as silicon, silicon carbide and nanolaminates, innovative structures, including nano-technology, and wavefront sensing and control are needed to build telescope for Earth science that have the potential to cost between $50 to $150M."
Science,Topic S3,Spacecraft and Platform SubSystems,"The Science Mission Directorate will carry out the scientific exploration of our Earth, the planets, moons, comets, and asteroids of our Solar System and beyond; chart the best route of discovery; and reap the benefits of Earth and space exploration for society. A major objective of the NASA science spacecraft systems development programs is to implement science measurement capabilities using small, affordable spacecraft enabling a single spacecraft to meet multiple mission requirements thus making the best use of our limited resources. To accomplish this objective, NASA is fostering innovations in propulsion, power, and guidance and navigation systems that significantly reduce the mass and cost while maximizing the scientific return for future NASA missions. Innovations are sought in the areas of power generation, energy storage, guidance, navigation, command/control, on-board propulsion (electric propulsion, advanced chemical and propellantless propulsion), on-board power management and distribution (power electronics and packaging), and thermal control technologies for spacecraft, piloted and unpiloted aircraft, balloons, drop sondes, and sounding rockets used for NASA Science Missions."
