Higher Topic,Focus Area,Subtopic,Lead Center,Participating Center(s),Content
TA1 Launch Propulsion Systems,TA1.3 Air Breathing Propulsion Systems,A3.03Low Emissions/Clean Power, GRC, LaRC,"Achieving low emissions and finding new pathways to cleaner power are critical for the development of future air vehicles. Vehicles for subsonic and supersonic flight regimes will be required to operate on a variety of certified aircraft fuels and emit extremely low amounts of gaseous and particulate emissions to satisfy increasingly stringent emissions regulations. Future vehicles will be more fuel-efficient which will result in smaller engine cores operating at higher pressures. Fundamental combustion research coupled with associated physics based model development of combustion processes will provide the foundation for technology development critical for these vehicles. Combustion involves multi-phase, multi-component fuel, turbulent, unsteady, 3-D, reacting flows where much of the physics of the processes are not completely understood. CFD codes used for combustion do not currently have the predictive capability that is typically found for non-reacting flows. Low emissions combustion concepts require very rapid mixing of the fuel and air with a minimum pressure loss to achieve complete combustion in the smallest volume. Areas of specific interest where research is solicited include: Development of laser-based diagnostics for quantitative spatially and temporally resolved measurements of fuel/air ratio in reacting flows at elevated pressure. Development of ultra-sensitive instruments for determining the size-dependent mass of combustion generated particle emissions. Low emissions combustor concepts for small high pressure engine cores. Chemical kinetics mechanisms with approximately 20 species for Jet-A fuel suitable for use with 3-D Combustion CFD Codes. Read less>>"
TA2 In-Space Propulsion Technologies,TA2.1 Chemical Propulsion,H2.02In-Space Chemical Propulsion, GRC," JSC, MSFC","This solicitation intends to examine a range of key technology options associated with non-toxic storable liquid propulsion systems for use in future exploration missions. Efficient propulsive performance and long duration storage attributes have made the use of hydrazine widespread across the aerospace community. However, hydrazine is highly corrosive and toxic, creating a need for non-toxic, high performance propellants for NASA, other government agencies, academia, and the commercial space industry. Non-toxic engine liquid mono- and bi-propellants technologies are desired for use in lieu of the currently operational hydrazine based engine technologies. Handling and safety concerns with the current toxic chemical propellants can lead to more costly propulsion systems. The use of new non-toxic propellants has the potential to reduce the cost of access to space by lowering overall life cycle costs. Demonstrations of a hydrazine alternative in a storable liquid mono- or bi-propellant chemical propulsion system implementation relevant to at least one of the following applications are desired: in-space reaction control propulsion, in-space primary propulsion, and launch vehicle reaction control propulsion. Non-toxic technologies could range from pump fed or pressure fed thruster systems from 1 to 1000 lbf. Specific technologies of interest to meet proposed engine requirements include: Non-toxic mono- and bi-propellants that meet performance targets (as indicated by high specific impulse and high specific impulse density) while improving safety and reducing handling operations as compared to current state-of-the-art storable propellants. Alternate catalysts, ignition technologies to ignite advanced monopropellants. Advanced materials capable of withstanding hot and corrosive combustion environment of advanced mono- and bi-propellants. Techniques that lower the cost of manufacturing complex components such as injectors, catalysts, and combustion chambers. Examples include, but are not limited to, development and demonstration of rapid prototype techniques for metallic parts, powder metallurgy techniques, and application of nano-technology for near net shape manufacturing. Note to Proposer: Subtopic S3.02 under the Science Mission Directorate also addresses in-space propulsion. Proposals more aligned with science mission requirements should be proposed in S3.02. For all above technologies, research should be conducted to demonstrate technical feasibility during Phase I and show a path toward Phase II demonstration, and delivering a demonstration package for NASA testing at the completion of the Phase II contract. Phase I Deliverables - Research to identify and evaluate candidate technology applications to demonstrate the technical feasibility and show a path towards a demonstration. Bench or lab-level demonstrations are desirable. The technology concept at the end of Phase I should be at a TRL range of 3-4. Phase II Deliverables - Emphasis should be placed on developing and demonstrating the technology under simulated mission conditions. The proposal shall outline a path showing how the technology could be developed into mission-worthy systems. The contract should deliver a demonstration unit for functional and environmental testing at the completion of the Phase II contract. The technology concept at the end of Phase II should be at a TRL range of 4-6. Read less>>"
TA2 In-Space Propulsion Technologies,TA2.1 Chemical Propulsion,S4.03Spacecraft Technology for Sample Return Missions, JPL, GRC,"NASA plans to perform sample return missions from a variety of scientifically important targets including Mars, small bodies such as asteroids and comets, and outer planet moons. These types of targets present a variety of spacecraft technology challenges. Some targets, such as Mars and some moons, have relatively large gravity wells and will require ascent propulsion. Includes propellants that are transported along with the mission or propellants that can be generated using local resources. Other targets are small bodies with very complex geography and very little gravity, which present difficult navigational and maneuvering challenges. In addition, the spacecraft will be subject to extreme environmental conditions including low temperatures (-270 °C), dust, and ice particles. Technology innovations should either enhance vehicle capabilities (e.g., increase performance, decrease risk, and improve environmental operational margins) or ease sample return mission implementation (e.g., reduce size, mass, power, cost, increase reliability, or increase autonomy). Read less>>"
TA2 In-Space Propulsion Technologies,TA2.2 Non-Chemical Propulsion,Z1.03Integrated Nuclear Power & Propulsion, GRC, MSFC,"This subtopic seeks innovative solutions for integrating radioisotope and small fission power systems with electric propulsion devices for space science missions. The goal is to develop architectures that optimize the power delivery and overall propulsive capabilities. Separate subtopics are developing innovative power generation (S3.01), power management (S3.03), and electric thruster technologies (S3.02). Here, the objective is to take existing components and assemble them into testbeds to demonstrate functionality, robustness, and performance. Emphasis is on novel integration schemes that maximize efficiency and reliability while minimizing mass. Phase I activities would develop the power architecture and identify the key design elements. Phase II activities would assemble testbeds and perform experimental testing to validate design methods. The assumed building blocks are described below with additional information available from literature searches. However, the system should be evolvable to incorporate advanced components developed under S3.01, Power Generation & Conversion; S3.02, Propulsion Systems for Robotic Science Missions; and S3.03, Power Electronics and Management, and Energy Storage. Power sources: Advanced Stirling Radioisotope Generator, 140 watts at 28 Vdc. Multi-Mission Radioisotope Thermoelectric Generator, 110 watts at 28 Vdc. Small Thermoelectric Fission Power System, 0.5 to 3 kW at 28 to 100 Vdc. Small Stirling Fission Power Systems, 1 to 10 kW at 15 to 300 Vac, 100 hz single-phase. Representative Electric Propulsion Devices (Isp = specific impulse): 200 – 600 W Hall thrusters, at 200-250 Vdc and 1300-1600 sec Isp. 1.4 kW – 5 kW Hall thrusters, at 300-600 Vdc and 1600-2700 sec Isp. 10 kW Hall thrusters, at 300 Vdc and 2200 sec Isp. 100-600 W Ion thrusters, at 800-1500 Vdc and 2000-3800 sec Isp. 2.3-5 kW Ion thrusters, at 1200-1500 Vdc and 3300-3800 sec Isp. 7-10 kW Ion thrusters, at 1800-2000 Vdc, and 4100-5000 sec Isp. Read less>>"
TA2 In-Space Propulsion Technologies,TA2.2 Non-Chemical Propulsion,H2.01High Power Electric Propulsion, GRC," JPL, MSFC","The goal of this subtopic is to develop innovative technologies that can lead to high-power (>50 kW to MW-class) electric propulsion systems. High-power (high-thrust) electric propulsion (>50kW per thruster) may enable dramatic mass and cost savings for lunar and Mars cargo missions, including Earth escape and near-Earth space maneuvers. At very high power levels, electric propulsion may enable piloted exploration missions. Innovations and advancements leading to improvements in the end to end performance of high power electric propulsion systems are of interest. Technologies are sought that increase system efficiency; increase system and/or component life or durability; reduce system and/or component mass, complexity, or development issues; or provide other definable benefits. In general, thruster system efficiencies exceeding 60% and providing total impulse values greater than 107. Desired specific impulses range from a value of 2000 s for Earth-orbit transfers to over 6000 s for planetary missions. Specific technologies of interest in addressing these challenges include: Electric propulsion systems and components for alternate fuels such as the use of in-situ resources, condensable or metal propellants, and alternatives to Xenon. Novel methods for fabricating large refractory metal parts with complex shapes, with integrated heat pipes. Particular figures of merit include low cost, rapid turnaround, and ability to incorporate internal flow passages. Long life cathodes for high power electrostatic or electromagnetic thrusters capable of extended operation at required temperature and current levels for appropriate mission durations. Innovative plasma neutralization concepts. Highly accurate flow controllers and fast acting valves for pulsed thruster systems High current (MA), high repetition rate (up to 1-kHz), long life (greater than 109 pulses) solid state switches for high power inductive pulsed plasma thrusters. High-temperature permanent magnets and/or electromagnets; low-voltage, high-temperature wire for electromagnets; superconducting magnets. Note to Proposer: Subtopic S3.02 under the Science Mission Directorate also addresses in-space propulsion. Proposals more aligned with science mission requirements should be proposed in S3.02. For all above technologies, research should be conducted to demonstrate technical feasibility during Phase I and show a path toward Phase II demonstration, and delivering a demonstration package for NASA testing at the completion of the Phase II contract. Phase I Deliverables - Research to identify and evaluate candidate technology applications to demonstrate the technical feasibility and show a path towards a demonstration. Bench or lab-level demonstrations are desirable. The technology concept at the end of Phase I should be at a TRL range of 3-4. Phase II Deliverables - Emphasis should be placed on developing and demonstrating the technology under simulated mission conditions. The proposal shall outline a path showing how the technology could be developed into mission-worthy systems. The contract should deliver a demonstration unit for functional and environmental testing at the completion of the Phase II contract. The technology concept at the end of Phase II should be at a TRL range of 4-5. Read less>>"
TA2 In-Space Propulsion Technologies,TA2.2 Non-Chemical Propulsion,H2.03Nuclear Thermal Propulsion (NTP), MSFC," GRC, JSC","This subtopic seeks to develop innovative NTP technologies supporting the needs of future space exploration. Solid core NTP has been identified as an advanced propulsion concept which could provide the fastest trip times with fewer SLS launches than other propulsion concepts for human missions to Mars over a variety of mission years. The current NASA Strategic Space Technology Investment Plan states NTP is a high priority technology needed for future human exploration of Mars. NTP had major technical work done between 1955-1973 as part of the Rover and Nuclear Engine for Rocket Vehicle Application (NERVA) programs. A few other NTP programs followed including the Space Nuclear Thermal Propulsion (SNTP) program in the early 1990's. The NTP concept is similar to a liquid chemical propulsion system, except instead of combustion in the thrust chamber, a monopropellant is heated with a fission reactor (heat exchanger) in the thrust chamber. In addition, the engine components and surrounding structures are exposed to a radiation environment formed by the reactor during operation. This solicitation will examine a range of modern technologies associated with NTP using solid core nuclear fission reactors. The engines are pump fed ~15,000-35,000 lbf with a specific impulse goal of 900 seconds (using hydrogen), and are used individually or in clusters for the spacecraft's primary propulsion system. The NTP can have multiple start-ups (>4) with cumulative run time >100 minutes in a single mission, which can last a few years. Specific technologies of interest to meet the proposed requirements include: High temperature (> 2600K), low burn-up composite, carbide, and/or ceramic-metallic (cermet) based nuclear fuels with improved coatings and/or claddings to maximize hydrogen propellant heating and to reduce fission product gas release and particulates into the engine's hydrogen exhaust stream. Long life, lightweight, reliable turbopump modeling, designs and technologies including seals, bearing and fluid system components. Throttle ability is also considered. Zero net positive suction head (NPSH) hydrogen inducers have been demonstrated that can ingest 20-30% vapor by volume. The goal would be to develop inducers that can ingest 55% vapor by volume for up to 8 hours with less than 10 percent head fall off at the design point. Develop the capability to model (predict) turbopump cavitation dynamics. This includes first order rotating and alternating cavitation (1.1X 2X) and higher (6X-10X) order cavitation dynamics. Highly-reliable, long-life, fast-acting propellant valves with ultra-low hydrogen leakage that tolerate long duration space mission environments with reduced volume, mass, and power requirements are also desirable. Large propellant tank bottom valves can be expected to leak in the order of 1cc per minute of hydrogen measured at standard temperature and pressure (STP). For deep space missions valve leakage will need to be <.01 cc per minute at STP. Demonstrate a large tank bottom valve that can maintain a .01 cc per minute at STP. The valve should be able to cycle 10 times and maintain that leak rate. Valve cycle time can be on the order of one minute or more. High temperature and cryogenic radiation tolerant instrumentation and avionics for engine health monitoring. Non-invasive designs for measuring neutron flux (outside of reactor), chamber temperature, operating pressure, and liquid hydrogen propellant flow rates over wide range of temperatures are desired. Sensors need to operate for months/years instead of hours. Robonaut type inspections for prototype flight test considered. Concepts to cool down the reactor decay heat after shutdown to minimize the amount of open cycle propellant used in each engine shutdown. Depending on the engine run time for a single burn, cool-down time can take many hours. Technology needed to store the NTP propellant for multiple years in-space as liquid hydrogen with almost zero boil-off for 900 days (includes time from first launch to final trans earth injection burn). Innovations are needed in thermal control materials and design, mechanical refrigeration systems, and vehicle design. For all above technologies, research should be conducted to demonstrate technical feasibility during Phase I and show a path towards Phase II hardware/software demonstration with delivery of a demonstration unit or software package for NASA testing at the completion of the Phase II contract. Phase I Deliverables - Feasibility study, including simulations and measurements, proving the proposed approach to develop a given product (TRL 2-3). Verification matrix of measurements to be performed at the end of Phase II, along with specific quantitative pass-fail ranges for each quantity listed. Phase II Deliverables - Working engineering model of proposed product, along with full report of component and/or breadboard validation measurements, including populated verification matrix from Phase I (TRL 4-5). Opportunities and plans should also be identified and summarized for potential commercialization. Read less>>"
TA2 In-Space Propulsion Technologies,TA2.2 Non-Chemical Propulsion,S3.02Propulsion Systems for Robotic Science Missions, GRC," JPL, MSFC","The Science Mission Directorate (SMD) needs spacecraft with more demanding propulsive performance and flexibility for more ambitious missions requiring high duty cycles, more challenging environmental conditions, and extended operation. Planetary spacecraft need the ability to rendezvous with, orbit, and conduct in situ exploration of planets, moons, and other small bodies in the solar system (http://solarsystem.nasa.gov/multimedia/download-detail.cfm?DL_ID=742). Future spacecraft and constellations of spacecraft will have high-precision propulsion requirements, usually in volume- and power-limited envelopes. This subtopic seeks innovations to meet SMD propulsion requirements, which are reflected in the goals of NASA's In-Space Propulsion Technology program to reduce the travel time, mass, and cost of SMD spacecraft. Advancements in chemical and electric propulsion systems related to sample return missions to Mars, small bodies (like asteroids, comets, and Near-Earth Objects), outer planet moons, and Venus are desired. Additional electric propulsion technology innovations are also sought to enable low cost systems for Discovery class missions, and eventually to enable radioisotope electric propulsion (REP) type and low-power, nuclear electric propulsion (NEP) missions. Roadmaps for propulsion technologies can be found from the National Research Council (http://www.nap.edu/openbook.php?record_id=13354&page=168(link is external)) and NASA’s Office of the Chief Technologist (http://www.nasa.gov/pdf/501329main_TA02-InSpaceProp-DRAFT-Nov2010-A.pdf). The focus of this solicitation is for next generation propulsion systems and components, including micropropulsion rocket technologies, and low cost/low mass electric propulsion technologies. Propulsion technologies related specifically to Power Processing Units will be sought under S3.03 Power Electronics and Management, and Energy Storage and should not be submitted to this subtopic. Proposals should show an understanding of the state of the art, how their technology is superior, and of one or more relevant science needs. The proposals should provide a feasible plan to fully develop a technology and infuse it into a NASA program. Electric Propulsion Systems This subtopic also seeks proposals that explore uses of technologies that will provide superior performance in high specific impulse/low mass electric propulsion systems at low cost. These technologies include: Long-life thrusters and related system components with efficiencies > 55% and up to 1 kW of input power that operate with a specific impulse between 1600 to 3500 seconds to enable radioisotope electric propulsion. Any long-life, electric propulsion technology between 1 to 10 kW/thruster that would enable a low-power nuclear electric propulsion system based on a kilopower nuclear reactor. Mini-satellite Propulsion Systems This subtopic also seeks proposals that address the propulsion for spacecraft 180-1000 kg. It is desired that the capability of plane-changing or de-orbiting in a timely manner be achieved. These system or component technologies would likely be: Low mass and low volume fractions. Wide range of delta-V capability to provide 100-1000s of m/s. Wide range of specific impulses up to 1000s of seconds. Precise thrust vectoring and low vibration for precision maneuvering. Efficient use of onboard resources (i.e., high power efficiency and simplified thermal and propellant management). Affordability. Safety for users and primary payloads. Small Satellite/CubeSat Propulsion The small satellite (<180kg) market shows significant promise to enable low cost science missions. Launch vehicle providers, like SLS, are considering a large number of secondary payload opportunities. The majority of small satellite missions flown are often selected for concept or component demonstration activities as the primary objectives. Opportunities are anticipated to select future small satellite missions based on application goals (i.e., science return). However, several technology limitations prevent high value science from low-cost small spacecraft, such as post deployment propulsion capabilities. Additionally, propulsion systems often place constraints on handling, storage, operations, etc., that may limit secondary payload consideration. Specifically, proposals are sought for propulsion systems capable of full scale flight demonstration on 12U CubeSats or smaller; to enable science through secondary payloads carried by SLS or other launch vehicles. Mission applications can be extended up to ESPA based or up to 180kg spacecraft. Proposals are sought that can deliver hardware products and proof-of-concept demonstrations in Phase I. Proposals are sought that can deliver hardware at or greater than TRL 6 suitable for flight demonstration within the Phase II resources provided. Propulsion systems requiring Phase II-E or II-X funding will be considered if justified through enabling mission capabilities. Specific propulsion technologies of interest to interplanetary small satellites include: Moderate to high specific impulse propulsion systems. High specific impulse - density solutions. Systems that require no pressurization prior to operations. Systems that place no demanding storage requirements prior to launch. Systems than can remain quiescent under ambient conditions for extended durations (>6 months) prior to launch. In addressing technology requirements, proposers should identify potential mission applications and quantify the expected advancement over state-of-the-art alternatives. Note to Proposer: Topic H2 under the Human Exploration and Operations Directorate also addresses advanced propulsion. Proposals more aligned with exploration mission requirements should be proposed in H2. Read less>>"
TA2 In-Space Propulsion Technologies,TA2.4 Supporting Technologies,H2.04Nuclear Thermal Propulsion (NTP) Ground Test Technologies, SSC, MSFC,"A nuclear rocket engine uses a nuclear reactor to heat hydrogen to very high temperatures, which expands through a nozzle to generate thrust. This topic area seeks to develop advanced technology components and system level ground test systems that support Nuclear Thermal Propulsion (NTP) technology development and certification. Solid core NTP has been identified as an advanced propulsion concept which could provide the fastest trip times with fewer SLS launches than other propulsion concepts for human missions to Mars over a variety of mission years. The current NASA Strategic Space Technology Investment Plan states NTP is a high priority technology needed for future human exploration of Mars. The NTP concept is similar to a liquid chemical propulsion system, except instead of combustion in the thrust chamber, a monopropellant is heated with a fission reactor (heat exchanger) in the thrust chamber. In addition, the engine components and surrounding structures are exposed to a radiation environment formed by the reactor during operation. The NTP had ground testing done between 1955-1973 as part of the Rover and Nuclear Engine for Rocket Vehicle Application (NERVA) programs. The Rover/NERVA ground tested a variety of engine sizes, for a variety of burn durations and start-ups. These ground tests were mostly exhausted in the open air. Information on the NERVA program can be found at (http://history.nasa.gov/SP-4533/Plum%20Brook%20Complete.pdf). Current regulations require exhaust filtering of any radioactive noble gases and particulates released to stay within the current environmental regulations. The NTP ground testing requires the development of robust materials, advanced instruments and monitoring systems capable of operating in extreme temperature, pressure and radiation environments. This topic area will investigate large scale engine exhaust scrubber technologies and options for integrating it to the NTP engine for ground tests. The NTP engines are pump fed ~15,000-35,000 lbf with a specific impulse goal of 900 seconds (using hydrogen). The NTP primary test requirements can have multiple start-ups (>8) with the longest single burn time ~50 minutes. This subtopic seeks innovative technologies in the following areas to facilitate NTP ground testing: Advanced high-temperature and hydrogen embrittlement resistant materials for use in a hot hydrogen environment (<4400 °F). Efficient non-nuclear generation of high temperature, high flowrate hydrogen (<60 lb/sec). Devices for measurement of radiation, pressure, temperature and strain in a high temperature and radiation environment. Effluent scrubber technologies for efficient filtering and management of high temperature, high flow hydrogen exhausts. Innovative refractory materials which use nano-particle additives and/or unconventional non-cement based refractories that can withstand the extreme plume heating environments experienced during rocket propulsion testing. Specific interests include: Filtering of radioactive particles and debris from exhaust stream having an efficiency rating greater than 99.9%. Removal of radioactive halogens, noble gases and vapor phase contaminants from a high flow exhaust stream with an efficiency rating greater than 99.5%. Applicable Integrated System Health Monitoring and autonomous test operations control systems. Modern robotics which can be used to inspect the ground test system exposed to a radiation environment. For all above technologies, research should be conducted to demonstrate technical feasibility during Phase I and show a path towards Phase II hardware/software demonstration with delivery of a demonstration unit or software package for NASA testing at the completion of the Phase II contract. Phase I Deliverables - Feasibility study, including simulations and measurements, proving the proposed approach to develop a given product (TRL 2-3). Verification matrix of measurements to be performed at the end of Phase II, along with specific quantitative pass-fail ranges for each quantity listed. Phase II Deliverables - Working engineering model of proposed product, along with full report of component and/or breadboard validation measurements, including populated verification matrix from Phase I (TRL 4-5). Opportunities and plans should also be identified and summarized for potential commercialization. Read less>>"
TA3 Space Power and Energy Storage,TA3.1 Power Generation,Z1.01Advanced Photovoltaic Systems, GRC, JSC,"Advanced photovoltaic (PV) power generation and enabling power system technologies are sought for improvements in capability and reliability of PV power generation for space exploration missions. Power levels for PV applications may reach 100s of kWe. System and component technologies are sought that can deliver cost, reliability, mass, volume, and efficiency improvements under various operating conditions, in extreme environments, and over wide temperature ranges. PV technologies must enable or enhance the ability to provide low-cost, low mass and higher efficiency for power systems with particular emphasis on high power arrays to support solar electric propulsion missions. Areas of particular emphasis for FY 2014 include: Automated/ modular fabrication methods for PV panels/ modules on flexible blankets (includes cell laydown, interconnects, shielding and high voltage operation mitigation techniques). Improvements to solar cell efficiency that is consistent with low cost, high volume fabrication techniques. PV module/ component technologies that emphasize low mass and cost reduction (in materials, fabrication and testing). Advanced PV blanket and component technology/ designs that support very high power and high voltage (> 200 V) applications. Integrated PV system including cells, blanket, array, inverters, interconnect technologies, storage, structures, etc. with a balance-of-components while matching specifications of various systems. Simulated PV capability that optimizes system components, ensures compatibility of modules/inverters, and takes temperature extremes and unique aspects of the space environment into account including radiation tolerance. Research should be conducted to demonstrate technical feasibility during Phase I and show a path toward a Phase II hardware demonstration, and when possible, deliver a demonstration unit for functional and environmental testing at the completion of the Phase II contract. Read less>>"
TA3 Space Power and Energy Storage,TA3.1 Power Generation,H8.02Space Nuclear Power Systems, GRC," JPL, JSC, MSFC","NASA is developing fission power system technology for future space exploration applications using a stepwise approach. Initial small fission systems are envisioned in the 1 to 10 kWe range that utilize cast uranium metal fuel and heat pipe cooling coupled to static or dynamic power conversion. Follow-on systems could produce 10s or 100s of kilowatts utilizing a pin-type uranium fueled reactor with pumped liquid metal cooling, dynamic power conversion, and high temperature radiators. The anticipated design life for these systems is 8 to 15 years with no maintenance. Candidate mission applications include power sources for robotic precursors, human outposts on the moon or Mars, and nuclear electric propulsion (NEP) vehicles. NASA is planning a variety of nuclear and non-nuclear system ground tests to validate technologies required to transfer reactor heat, convert the heat into electricity, reject waste heat, process the electrical output, and demonstrate overall system performance. The primary goals for the early systems are low cost, high reliability, and long life. Proposals are solicited that could help supplement or augment the planned NASA system testing. Specific areas for development include: 800-1000 K heat transport technology for reactor cooling (liquid metal heat pipes, liquid metal pumps). 1-10 kWe-class power conversion technology (thermoelectric, Stirling, Brayton). 400-500 K heat rejection technology for waste heat removal (water heat pipes, composite radiators, water pumps). The early systems are expected to provide the foundation for later systems in the multi-hundred kilowatt or megawatt range that utilize higher operating temperatures, alternative materials, and advanced components to improve system performance. Specific areas for development include: 100 kWe-class power conversion technologies. Waste heat rejection technologies for 500 K and above. High temperature reactor fuels, structural materials and heat transport technologies. Expected deliverables include monthly and final reports, analytical models, and experimental hardware. Phase I activities should focus on analytical validation of technical feasibility including conceptual designs and trade studies with supporting coupon/component level testing. Phase II activities should emphasize experimental testing using prototype hardware in a subsystem context under relevant operating conditions to demonstrate technology readiness. Read less>>"
