Higher Topic,Focus Area,Subtopic,Lead Center,Participating Center(s),Content
Exploration Systems,Topic B5 Flight Payload Technologies and Outreach ,B5.01Telescience and Flight Payload Operations, MSFC, ARC,"NASA has interest in the development of science and experiments that support strategic aspects of exploration, as well as to develop the technologies to extend humanity's reach to the Moon, Mars, and beyond. Preparing for exploration and research will require the acceleration of the development of new technologies that will be imperative to future telescience and payload operations. It is important that the space missions and experiments for biological and physical research be managed using new tools, models, and procedures that improve telescience and flight payload operations. In addition, NASA wants to make available data and information associated with microgravity research investigations and results. The ability for developers to access existing and new tools and collaborate in the design, simulation, modeling, building, and testing will be crucial to the success of NASAs new initiative. New methods of computing, accessing disparate data spread over wide geographical areas will require new approaches to computing, data storage and communications. There are many potential users for NASA services and data located throughout the U.S. There are three general types of users of these services and data. The first type is the principal investigator (PI)/payload developer (PD) who is responsible for the payload, experiment, and attendant science, and who commands the payload or experiment. The second type is the secondary investigator(s) who participates in analysis of the science and its control, but does not send commands. The third type is the educational user, from secondary school students up to graduate students. These users will receive either data processed by the PI or unprocessed data. Commercial investigations require the ability to receive, process, and display telemetry, view video from science sources, including the ISS, and interact with NASA concerning the science and operations. To conduct or be involved in general science activities, including the ISS science operations, a user will require various services from the Payload Operations Integration Center (POIC) located at the Marshall Space Flight Center near Huntsville, Alabama, or from other control centers located at various NASA facilities. These services are required to enable the experiment to be controlled using the inputs from various video sources, telemetry, and the crew. The input allows the experimenter to send to his/her payload or experiment commands to change various experiment operations. Before an experiment can get underway, an experimenter must participate in the payload planning process to schedule onboard services such as power, crew time, and cryogenics. This planning process is integral to the entire payload/carrier operation and requires the PI/PD or his/her representatives to participate via voice or video teleconferencing. To enable a user to operate from his/her home base, whether located in a laboratory, office, or home; these services (commensurate to the level of operation) must be provided at the user's location at a reasonable cost. Costs include both the platform upon which these services will run, and the communications required to provide these services to the experimenter's location. Proposals are sought for innovative ideas and efficiencies for systems to better effect communication and handling of data and information for scientific and commercial research on the International Space Station payloads and on manned exploration missions, and at the same time, for general use as applicable. Read less>>"
Exploration Systems,Topic B5 Flight Payload Technologies and Outreach ,"B5.02Flight Payload Logistics, Integration, Processing, and Crew Activities", MSFC, ARC,"In preparation for future human exploration, we must advance our ability to live and work safely in space, and at the same time, develop technologies to reach the Moon, Mars, and other planets. These new technologies will improve the Nation's other space activities and may provide applications that could be used to address problems on Earth. The objective of this subtopic is to introduce new technology in the form of new tools, models, and procedures. It is important that the space missions and experiments for biological and physical research be managed using new tools, models, and procedures that improve flight payload integration and associated activities. Proposals are sought for more effective and efficient flight payload logistics, integration, processing, and crew activities. As experiment hardware is developed, concurrent planning for logistics, processing, and for both analytical and physical payload integration must take place. One objective is to minimize crew time required for experiment handling, transfer, installation, and operation through automation, procedural efficiencies, and other means. Some potential areas for payload improvements include, but are not limited to, the following:Acoustics, i.e., noise level reduction Power requirement reduction Electro Magnetic Interference/Electro Magnetic Compatibility (EMI/EMC) reduction Thermal control Materials usage Data control/handling Safety Test and checkout Systems integration Logistics Automation, robotics, and nanotechnology Training Read less>>"
Exploration Systems,Topic B5 Flight Payload Technologies and Outreach ,B5.03Development of Improved Outreach Planning and Implementation Products, MSFC, ARC,"U.S. achievements in space have lead to the development of technologies that have widespread applications to address problems on Earth, as well as in space. In preparation for future human exploration of space, we must advance our ability to live and work safely in space and at the same time develop technologies to extend our reach to the Moon, Mars, and beyond. Outreach is a critical part of this process. This subtopic places emphasis on the effective implementation and analysis of outreach activities. The Biological and Physical Research enterprise (BPR) seeks to use its research activities to encourage educational excellence and to improve scientific literacy from elementary school through the university level and beyond. The Enterprise delivers value to the American people by facilitating access to the experience and excitement of space research. NASA wants to provide access to information and data about microgravity research experiments and commercial investigations to schools, industry, and the general public. Proposals are sought that provide a system, or systems, based on commercial solutions to develop outreach products for the improvement of education and public outreach planning and implementation. These systems should allow outreach participation in NASA programs, including the science and operational levels. Systems could provide for the general public and the educational community access to NASA and commercial science activities and operations through low-cost technologies, and outreach and education activities. The systems should be capable of facilitating secondary and college-level students' access to, and the ability to participate in, science activities. Similarly, the systems should be able to accommodate institutions and organizations that promote the use of science and technologies, e.g., museums and space camps. Examples of potential outreach activities include, but are not limited to the following:Exhibits and educational/informational material for conferences, workshops, and schools. Development and distribution of outreach brochures, newsletters to the general public, and student flight experiment programs. Adult Ambassador Program, e.g., advocacy speakers for community education and outreach events, alliance with Collegiate Alumni Learning Weekend Programs, development of a partnership with retirement organizations for the planning and implementation of a program with appropriate learning experiences, development and implementation of ""learning laboratories"" for science centers and museums, publication of articles in general interest periodicals, publication of articles and reports in scientific journals, multimedia outreach products, outreach Web sites, education briefs, fact sheets, and press releases. In addition to the development of new tools for planning and implementation, BPR seeks to evaluate the effectiveness of outreach activities. Systems are sought to assess and analyze the implementation and effectiveness of education and outreach activities and goals associated with BPR research. Assessment of available learning venues for varied age groups and priority order of attendance would be valuable in helping to formulate which venues and audiences to target. Read less>>"
Aerospace Technology,Topic A1 Aviation Safety and Security ,A1.01Crew Systems Technologies for Improved Aviation Safety, LaRC,,"NASA takes a crew-centered approach to improving aviation safety and, therefore, specifically investigates human error roots of accidents and incidents to identify the basis for innovating crew-centered automation and interface technologies. These technologies must be evaluated sensitively and in operationally-valid contexts. NASA develops evaluation methodologies and tools to sensitively and robustly assess aviation safety technologies. Finally, to ensure adoption, NASA investigates how innovative aviation safety technologies can be effectively used in airspace operations and be supported by pilot procedures and instruction. NASA seeks highly innovative technologies to improve airspace safety with a crew-centered focus. Such advanced technologies may meet these goals by ensuring appropriate situation awareness; facilitating and extending human perception, information interpretation, and response planning and selection; counteracting human information processing limitations, biases, and error-tendencies; assisting in response planning and execution; and ensuring individuals have access to use the airspace system as appropriate. In addition, NASA seeks tools and methods for measuring and assessing pilots' and collaborating operators' performance in complex, dynamic systems. Technologies may take the form of tools, models, operational procedures, instructional systems, prototypes, and devices for use in the flight deck, elsewhere by pilots, or by those who design systems for crew use. Technologies should have a high potential for emerging as marketable products, of which there are a number of examples:Novel technologies to improve information presentation; Intelligent systems monitoring and alerting technologies for improved failure mode identification, recovery, and threat mitigation; Designs for human-error prevention, detection, and mitigation; Decision-support tools and methods to improve communication, collaborative and distributive decision-making; Data fusion technologies to integrate disparate sources of flight-related information for improved situation awareness and appropriate workload modulation; Support for crew response planning and selection; Computational approaches to determine and appropriately modulate crew engagement, workload, and situation awareness; Human-centered information technologies to improve the performance of less-experienced pilots and pilot populations with special requirements; Avionics designers and/or certification specialist tools to improve the application of human-centered principles; Human-error reliability approaches to analyzing flight deck displays, decision aids, and procedures, and designs that consider presentation of uncertain data; and Individual and team performance metrics, analysis methods, and tools to better evaluate and certify human and system performance for use in operational airspace environments, simulation, and model-based analyses. Read less>>"
Aerospace Technology,Topic A1 Aviation Safety and Security ,"A1.02Aviation Safety and Security: Fire, Icing and Propulsion-Safe and Secure CNS Aircraft Systems", GRC,,"NASA is concerned with the prevention of hazardous conditions and the mitigation of their effects when they do occur. One particular emphasis is on the prevention and suppression of in-flight fire and explosions, as well as fuel tank explosions and post-crash fires. Aircraft fires represent a small number of actual accident causes, but the number of fatalities due to in-flight, post-crash, and on-ground fires is large. A second emphasis is on mitigating the safety risk and collateral damage due to unexpected failures of rotating components. Although the FAA mandates a blade containment and rotor unbalance requirement (FAR Part 33, Section 33.94) as part of the airworthiness standards for turbine aircraft engines, there are substantial potential (aircraft-engine) system benefits to be gained by enabling safety assured, lighter weight, lower cost, and more damage-tolerant designs for engine case/containment systems and associated (primary load path) structures. A third emphasis for this subtopic is on propulsion system health management, in order to prevent or accommodate safety-significant malfunctions and damage. Past advances in this area have helped improve the reliability and safety of aircraft propulsion systems; however, propulsion system component failures are still a contributing factor in numerous aircraft accidents and incidents. Advances in technology are sought which help to further reduce the occurrence of and/or mitigate the effects of safety-significant propulsion system malfunctions and damage. A fourth emphasis is to increase the level of safety for all aircraft flying in the atmospheric icing environment. To maximize the level of safety, aircraft must be capable of handling all possible icing conditions by either avoiding or tolerating the conditions. Proposals are invited that lead to innovative new approaches or significant improvements in existing technologies for in-flight icing conditions avoidance (icing weather information systems) or tolerance (airframe and engine ice protection systems and design tools). A final emphasis for this subtopic is protection and hardening of the aircraft's communication, navigation and surveillance (CNS) systems, as well as enabling new aviation security applications through improved air-to-ground data link communications. Technology is needed to harden the CNS systems, both onboard and air-to-ground, and to provide next-generation airborne, ground- and space-based surveillance systems. With these emphases in mind, products and technologies that can be made affordable and retrofitable within the current aviation system, as well as for use in the future, are sought:Technology for prevention and suppression of potential in-flight fires in fuel tanks, cargo bays, insulation, and other inaccessible locations due to accidents or deliberate acts. Technology to provide fuel tank vapor flammability reduction and onboard oxygen generation. Technology to minimize fire hazards in crashes and to prevent or delay fires. Advanced material or structural configuration concepts to prevent catastrophic failures of engine components, or to ensure fragment containment. Computational tools for analyzing blade-loss events and designing structural components and systems accordingly. Health management technologies such as instrumentation, ground and on-wing nondestructive inspection, health monitoring algorithms, and fault accommodating logic, which will predict, diagnose, prevent, assess, and allow recovery from propulsion system malfunctions or damage. Ground and airborne radome technologies for microwave wavelength radar and radiometers that remain clear of liquid water and ice in all weather situations. In situ icing environment measurement systems that can provide practical, very low-cost validation data for emerging icing weather information systems and atmospheric modeling. Measured information must include location, altitude, cloud liquid water content, temperature, and ideally cloud particle sizing and phase information. Solutions envisioned would use radiosonde-based systems. Ice protection and detection technology submittal must provide significant improvements over current systems or address new design needs. Areas of improvement can be considered to be: efficient thermal protection systems, including composite wing or structures applications, wide area ice detection, detection that serves both ground and in-flight applications, and de-icing systems that operate at near anti-icing performance. Any submittal must be cost competitive to current technologies. Next generation capabilities for remote monitoring of onboard systems and the aircraft environment. Secure onboard information processing, computing and air/ground networking. Technologies to harden aircraft communication, navigation, and surveillance systems against abnormality and deliberate attack. Read less>>"
Aerospace Technology,Topic A1 Aviation Safety and Security ,A1.03Technologies for Improved Aviation Security, LaRC, ARC,"Following the attacks on September 11, 2001, NASA recognized that it now shared the responsibility for improving homeland security. The NASA Strategic Plan includes requirements to enable a more secure air transportation system and to create a more secure world by investing in technologies and collaborating with other agencies, industry, and academia. NASA's role in civil aeronautics has always been to develop high-risk, high-payoff technologies to meet critical national aviation challenges, and ensuring the security of the nation from terrorist attacks is a high priority national challenge. NASA aims to develop and advance technologies that will reduce the vulnerability of the Air Transportation System (ATS) to threats or hostile acts, and identify and inform users of potential vulnerabilities in a timely fashion. Specific technical focus areas include system-wide security risk assessment and incident precursor identification; enhanced flight procedures and onboard systems to protect critical infrastructures and key assets and enable the safe recovery of a seized aircraft; definition of directed energy threats to the aircraft and on/off-board systems that will provide surveillance and countermeasures of these threats; integrated adaptive control systems to detect and compensate for vehicle damage; hardened and security-enhanced aircraft networks and data links; remote monitoring of the aircraft environment and systems; new materials for composite fire and explosive resistant fuselage structures; advanced, airborne, in situ detection of chemical and biological terror agents; and commercial aircraft fuel tank inerting. Technologies under development are intended for the next-generation ATS, however, issues such as retrofitting, certification, system implementation, and cost-benefit analysis must be considered during the technology development process. NASA seeks highly innovative and commercially viable technologies that will improve aviation security by addressing threats to air vehicles, as well as the ATS. Specific areas of focus include: preventing aircraft from being used as a weapon of mass destruction (WMD); protection from man-portable air defense systems (ManPADS) and electromagnetic energy (EME) attacks; light-weight, fire- and explosive-resistant composite materials; explosive resistant fuel systems, ground-based decision support tools needed to monitor airspace security concerns; reporting systems to monitor security violations; secure encrypted data link systems, intrusion-tolerant communications networks and communications systems to support emerging aviation security applications; tools to support real-time management of security information; and chemical and biological sensor development. Technologies may take the form of tools, models, techniques, procedures, substantiated guidelines, prototypes, and devices:Intelligent systems monitoring and alerting technologies; Technologies that enable secure communications, navigation, and surveillance onboard the aircraft; Secure communications systems to support emerging aviation security applications; Onboard and ground surveillance and interception systems for aircraft immunity to electromagnetic interference and electromagnetic pulse intrusions; Technologies and methods to provide accurate information and guidance to enable pilot avoidance of protected airspace, maintain positive identity verification of aircraft operators, determine pilot intent, and deny flight control access to unauthorized persons; Flight control systems that accommodate vehicle damage relative to changes in aircraft stability, control, and structural load characteristics; Material systems, fuselage structural concepts, and fuel systems that are resistant to fire and explosions; Fuel system technologies that prevent or minimize in-flight vulnerability of civil transport aircraft due to small arms or man-portable defense systems type projectiles; Decision-support tools and methods to improve communication, collaborative, and distributive decision-making; Data fusion technologies for integrating disparate sources of flight-related information; Computational approaches to monitoring crew health, stress level, state of duress, and performance; and Validation methods and tools for advanced safety and security critical systems. Read less>>"
Aerospace Technology,Topic A1 Aviation Safety and Security ,A1.04Automated On-Line Health Management and Data Analysis, AFRC, ARC,"Online health monitoring is a critical technology for improving transportation safety in the 21st century. Safe, affordable, and more efficient operation of aerospace vehicles requires advances in online health monitoring of vehicle subsystems and information monitoring from many sources over local and wide area networks. Online health monitoring is a general concept involving signal-processing algorithms designed to support decisions related to safety, maintenance, or operating procedures. The concept of online health monitoring emphasizes algorithms that minimize the time between data acquisition and decision-making. This subtopic seeks solutions for online aircraft subsystem health monitoring. Solutions should exploit multiple computers communicating over standard networks where applicable. Solutions can be designed to monitor a specific subsystem or a number of systems simultaneously. Resulting commercial products might be implemented in a distributed decision-making environment such as onboard diagnostics and management systems, or maintenance and inspection networks of potentially global proportion. Proposers should discuss who the users of resulting products would be, e.g., research/test/development; manufacturing; maintenance depots; flight crew; Unmanned Aerial Vehicles/Remotely Operated Aircraft (UAV/ROA) aircraft operators; airports; flight operations or mission control; or airlines. Proposers are encouraged to discuss data acquisition, processing, and presentation components in their proposal. Proposals that focus solely on sensor development should not be submitted to this subtopic. Such proposals should be addressed to sensor development subtopics such as the Flight Sensors, Sensor Arrays and Airborne Instruments for Flight Research subtopic. Examples of desired solutions targeted by this subtopic follow:Real-time autonomous sensor validity monitors; Flight control system or flight path diagnostics for predicting loss of control; Automated testing and diagnostics of mission-critical avionics; Structural fatigue, life cycle, static, or dynamic load monitors; Automated nondestructive evaluation for faulty structural components; Electrical system monitoring and fire prevention; Applications that exploit wireless communication technology to reduce costs; Model-reference or model-updating schemes based on measured data, which operate autonomously; Proactive maintenance schedules for rocket or turbine engines, including engine life-cycle monitors; Predicting or detecting any equipment malfunction; Middleware or software toolkits to lower the cost of developing online health monitoring applications; and Innovative solutions for harvesting, managing, archival, and retrieval of aerospace vehicle health data.Read less>>"
Aerospace Technology,Topic A2 Vehicle Systems ,A2.01Propulsion System Emissions and Noise Prediction and Reduction, GRC, ARC,"Emissions Current environmental concerns with subsonic and supersonic aircraft center around the impact of emissions on the Earth's climate. Carbon dioxide (CO2) and oxides of nitrogen (NOx) are the major emittants of concern coming from commercial aircraft engines. Current state-of-the-art engines and combustors in most subsonic aircraft are fuel-efficient and meet the 1996 ICAO nitrogen oxide (NOx) limits, but may not able to meet the future stringent regulations. Recent observations of aircraft exhaust contrails (from both subsonic and supersonic flights) have resulted in growing concern over aerosol, particulate, and sulfur levels in the fuel. In particular, aerosols and particulates from aircraft are suspected of producing high altitude clouds, which could adversely affect the Earth's climatology. Advanced concepts research for reducing CO2 and NOx, and analytical and experimental research in characterization (intrusive and non-intrusive) and control (through component design, controls, and/or fuel additives) of gaseous, liquid, and particulates of aircraft exhaust emissions is sought. Specific aircraft operating conditions of interest include the landing-takeoff cycle, as well as the in-flight portion of the mission. There are a number of areas of particular interest: New concepts for reducing CO2, oxides of nitrogen (NO, NO2, NOx), unburned hydrocarbons; carbon monoxide, particulate, and aerosols emittants (novel propulsion concepts, injector designs to improve fuel mixing, catalysts, additives, etc.) New fuels for commercial aircraft that minimize CO2 and NOx emissions Innovative active control concepts for emission minimization with an integrated systems focus including emission modeling for control, sensing, and actuation requirements, control logic development, and experimental validation are of interest. New instrumentation techniques are needed for the measurement of engine emissions such as NOx, SOx, and HOx, atomic oxygen and hydrocarbons in combustion facilities and engines. Size, size distributions, reactivity, and constituents of aerosols and particulates are needed, as are temperature, pressure, density, and velocity measurements. Optical techniques that provide 2-D and 3-D data; time history measurements; and thin film, fiber optic, and micro-electrical-mechanical systems (MEMS)-based sensors are of interest. Noise Engine noise reduction technologies are required in the areas of propulsion source noise, nacelle aeroacoustics, and engine/airframe integration. Some of the key technologies needed to achieve these goals are revolutionary propulsion systems for reduced noise without significant increases in cost and emissions. Noise reduction concepts need to be identified that provide economical alternatives to conventional propulsion systems. NASA is soliciting proposals in one or more of the following areas for propulsion system noise reduction:Innovative acoustic source identification techniques for turbomachinery noise: The technique shall be described for a relevant source. Plans for a Phase II demonstration should be included for the Phase I proposal. A simple source may be used where the solution is known to demonstrate the technique. A clear explanation on how the technique can be applied to turbofan engines should be included. The technique should be capable of identifying sources contributing to dominant engine components, such as fan and jet noise. Fan Noise: The technique shall be capable of separating fan sources such as fan-alone versus fan/stator interaction for both tones and broadband noise. Sufficient resolution is needed to determine the location of the dominant sources on the aerodynamic surfaces. Jet Noise: The technique shall be capable of locating both internal and external mixing noise for dual-flow nozzles found in modern turbofans. Innovative turbofan source reduction techniques. Methods shall emphasize noise reduction methods for fan, jet, and core components without compromising performance for turbofan engines. A resulting engine system that incorporates one or more of the proposed methods should be capable of reducing perceived noise levels anywhere from 10 to 20 effective perceived noise level (EPNdB) relative to FAR 36, Stage 3 certification levels. Revolutionary propulsion concepts for lower emissions and noise (proposed as alternatives to turbofan engines). Feasibility studies shall be done that demonstrate the potential for 20 EPNdB engine noise reduction relative to FAR 36, Stage 3 certification levels and 90% reduction in NOx emissions standards relative to current International Civil Aviation Organization (ICAO) regulations for commercial aircraft concepts.Enabling technologies shall be identified for future research. Read less>>"
Aerospace Technology,Topic A2 Vehicle Systems ,A2.02Electric and Intelligent Propulsion Technologies for Environmentally Harmonious Aircraft, GRC, ARC,"Electric aircraft propulsion and power systems have the potential to completely eliminate harmful emissions from aircraft while at the same time improving energy efficiency. Major strides have been achieved in the development of fuel cells, especially in the automotive field. NASA is pursuing the application of fuel cell technology for both aircraft power and propulsion. There are still major technical advances required to make a commercially viable electric aircraft a reality, but this goal now appears to be achievable, possibly even in the nearer term. To achieve the realization of environmentally harmonious 21st century air vehicles, innovations are needed to enable highly efficient, low cost, power dense (weight and volume) electric aircraft propulsion and power systems. Technical areas of interest in electric aircraft propulsion and power include, but are not limited to, fuel cells, power management, power conditioning, power distribution, actuators, motors and drive systems, sensors and fuel storage (especially hydrogen). Highly integrated dual function components and systems that have the potential to reduce overall vehicle and subsystem weight are of special interest (e.g., power conductors that are integrated into the airframe structure, motors directly integrated into the fan/propeller structure). Synergistic use of onboard cryogenic hydrogen fuel is also of interest. Both component and system level technologies are solicited. Proposals must show improvements to the state-of-the-art and viable application to aircraft. Implementation of intelligent propulsion concepts requires advancements in the area of robust control synthesis techniques and automated diagnostics, and development of advanced enabling technologies such as nanoelectronics, smart sensors, and actuators. Attention will also need to be paid to integration of the active component control and diagnostics technologies with the control of the overall propulsion system. This will require moving from the current analog control systems to distributed control architectures. Intelligent propulsion technologies that address electric, turbine, jet and/or hybrid aerospace propulsion systems are of interest. Proposals focusing on development of advanced diagnostics, health monitoring and control concepts, smart sensors, electronics and actuators for enabling self-diagnosis and prognosis, and self-reconfiguration capabilities are being sought. Concepts of special interest include those that integrate distributed sensing with actuation and control logic for micro-level control of parameters (such as propulsion system internal flows that impact performance and environment). Novel instrumentation approaches that provide valuable information for development and validation of technologies for self-diagnosis, prognosis, and reconfiguration are also of interest. Read less>>"
Aerospace Technology,Topic A2 Vehicle Systems ,A2.03Revolutionary Technologies and Components for Propulsion Systems, GRC, ARC,"NASA seeks highly innovative concepts for propulsion systems and components for advanced high-speed aerospace vehicles to support missions, such as access to space, global cruise, and high-speed transports. The main emphasis in this subtopic is on high-risk, breakthrough technologies in order to revolutionize aerospace propulsion over a broad flight spectrum, up to Mach 8. Proposals offering significant advancements in critical components and designs for propulsion systems and subsystems are sought. Specific technical areas include the following:Advanced cooling concepts that minimize coolant penalties can include innovative cooling systems, fuel cooling of the combustor, and endothermic fuels and/or fuel additives to increase the heat-sink capacity or cooling capacity of fuels. Innovative concepts relating to the combustion process, including fuel injectors, piloting, flame holding techniques for increased performance and decreased emissions, techniques to identify the onset of combustion instability in lean-burn and/or rich-burn, low NOx combustor, ramjet combustion and active and passive combustion controls in order to extend the operability of the combustion components to a wider range of operating conditions. New inlet concepts to meet functional airflow needs of high Mach number propulsion. For instance, a variable geometry, supersonic, mixed compression inlet. Compatibility with turbomachinery and mode transition across the speed range should be addressed. Special attention should be given to combustor demands along a realistic flight corridor. This flight corridor must be compatible with turbine engine thermal-structure limits. New techniques to improve the aerodynamic performance and operability of the inlet, including highly offset subsonic diffusers and designs for boundary layer control, minimizing engine unstart susceptibility, and techniques to identify and control the onset of mode transition between different propulsion concepts within the same internal flow path or dual flow paths. New controllable and reliable nozzle concepts with optimum expansion efficiency and thrust vectoring capability, including a computational nozzle design methodology to study various geometries and chemistry effects. Enabling technologies of components and subsystems that allow turbomachinery to operate at high-speed flight conditions. Specific examples include 1) a lightweight, high-pressure ratio compressor which must be protected or removed from the extremely high temperature primary air stream; 2) applications of micro-electrical-mechanical systems (MEMS) that demonstrate the potential to enhance the performance and reduce the cost and weight; and 3) innovative inlet flow conditioning. New concepts for combined or combination cycles, in particular those including turbine propulsion. Alternate engine cycles that meet a unique mission requirement (e.g., global reach, access to space, etc.), including pulse detonation, ramjets, scramjets, and rockets. Proposals can also include development of unique components required for the maturation of alternate propulsion cycles, such as inlets, diffusers, nozzles, air valves, fuel injectors, combustors, etc. Innovative integration technologies among components or subsystems that significantly improve the performance or reduce the cost of the overall propulsion systems are sought. This includes new collaborative and concurrent engineering tools for analysis and design. These tools could reduce the need for empiricism, thus facilitating early evaluation of interactions among propulsion components. ""Intelligent"" design tools, based on technologies such as evolutionary algorithms and neural networks, are also of interest. All design/analysis tool proposals must include a propulsion technology development application. Read less>>"
