Higher Topic,Focus Area,Subtopic,Lead Center,Participating Center(s),Content
Aeronautics Research,Topic A1 Aviation Safety ,A1.01Aviation External Hazard Sensor Technologies, LaRC," AFRC, GRC","NASA is concerned with the prevention of encounters with hazardous in-flight conditions and the mitigation of their effects when they do occur. Hazardous flight conditions of particular interest are: wake vortices, clear-air turbulence, in-flight icing, lightning, and low visibility. NASA is interested in new and innovative methods for detection, identification, evaluation, and monitoring of in-flight hazards to aviation. In the case of lightning, interest is centered on the mitigation and in-flight measurement of lightning damage, particularly to composite aircraft.NASA seeks to foster research and development that leads to innovative new technologies and methods, or significant improvements in existing technologies, for in-flight hazard avoidance and mitigation. Technologies may take the form of tools, models, techniques, procedures, substantiated guidelines, prototypes, and devices. Proposed products may be for retrofit into current aircraft or for installation in future aircraft. Both manned and unmanned aircraft are of interest. A key objective of the NASA Aviation Safety Program is to support the research of technology, systems, and methods that will facilitate transformation of the National Airspace System to Next Generation Air Transportation System (NextGen) (information available at www.jpdo.gov(link is external)). The general approach to the development of airborne sensors for NextGen is to encourage the development of multi-use, adaptable, and effective sensors that will have a strong benefit to safety. The greatest impact will result from improved sensing capability in the terminal area, where higher density and more reliable operations are required for NextGen. Under this subtopic, proposals are invited that explore new and improved sensors and sensor systems for the detection and monitoring of hazards to aircraft before they are encountered. With regard to hazardous lightning conditions, the emphasis is not on remote detection, but rather on developing systems that make aircraft more robust in a lightning environment or provide in-flight damage assessment or other hazard mitigating benefits. The scope of this subtopic does not include human factors and focused development of human interfaces, including displays and alerts. Primary emphasis is on airborne applications, but in some cases the development of ground-based sensor technology may be supported. Approaches that use multiple sensors in combination to improve hazard detection and quantification of hazard levels are also of interest. Areas of particular interest to NASA at this time are described in more detail below. The list and details are provided as encouragement but are not intended to exclude other proposals that fit the scope of this subtopic. Turbulence and Wake Vortex Remote detection of kinetic air hazards - The class of hazards including wake vortices, turbulence, and other hazards associated with air motion is referred to as kinetic air hazards. Within this class, wakes and turbulence are the highest priorities; however, NASA is particularly interested in sensor systems that can detect multiple hazards and thus provide greater utility. For example, air data systems are at times disabled by icing, and a multi-function, multi-hazard sensor that includes a robust alternative air data source would be a great asset in such conditions. Airborne detection of wake vortices -Airborne detection of wake vortices is considered challenging due to the fact that detection must be possible in nearly all weather conditions, in order to be practical, and because of the size and nature of the phenomena. In particular, NASA is interested in the ability to detect and measure wake vortex hazards for arbitrary viewing angles. Airborne detection of turbulence -NASA has made a major investment in the development of new and enhanced technologies to enable detection of turbulence to improve aviation safety. Progress has been made in efforts to quantify hazard levels from convectively induced turbulence events and to make these quantitative assessments available to civil and commercial aviation. NASA is interested in expanding these prior efforts to take advantage of the newly developing turbulence monitoring technologies, particularly those focused on clear air turbulence (CAT). NASA welcomes proposals that explore the methods, algorithms and quantitative assessment of turbulence for the purpose of increasing aviation safety and augmenting currently available data in support of NextGen operations. Lightning Lightning Strike Protection - NASA is investigating means for mitigating damage to aircraft, with a particular interest in protecting composite aircraft. Currently, an electrically-conductive screen protects composite aircraft by functioning as a Faraday shield and is intended to confine lightning and electromagnetic effects to the outside or outermost skin of the aircraft. The lightning strike protection system, hereafter referred to as the LSP, is incorporated in the coatings, layers, and structure that comprise the skin of the aircraft. NASA is most interested in LSP solutions that will be cost effective and light-weight. Mitigation of lightning strike damage - NASA is seeking solutions that will provide better protection from lightning damage by directing attachment points or lightning currents to safe or less hazardous areas and by reducing the susceptibility of the aircraft to thermal or other damage due to strikes. In-flight lightning damage measurement and assessment - A typical commercial aircraft is struck by lightning about once per year. At this time, composite aircraft that are struck in-flight are inspected upon landing for a damage assessment. Such assessments may be time-consuming and difficult. Innovations that will provide a measurement or damage detection system in the LSP are solicited. The objective would be to achieve a capability to have damage detection and assessment capability in the aircraft that will provide immediate information to the flight crew after a lightning attachment. Read less>>"
Aeronautics Research,Topic A1 Aviation Safety ,A1.02Inflight Icing Hazard Mitigation Technology, GRC," AFRC, GRC","NASA is concerned with the prevention of encounters with hazardous in-flight conditions and the mitigation of their effects when they do occur. Under this subtopic, proposals are invited that explore new and dramatically improved technologies related to inflight airframe and engine icing hazards for manned and unmanned vehicles. Technologies of interest should address the detection, measurement, and/or the mitigation of the hazards of flight into supercooled liquid water clouds and flight into regions of high ice crystal density. With these emphases in mind, products and technologies that can be made affordable and capable of retrofit into the current aviation system and aircraft, as well as for use in the future are sought. Areas of interest include, but are not limited to: Non-destructive 3-D ice density measurements of ice accretions on wind tunnel wing models. NASA has a need for non-optical methods to digitize ice shapes with rough external surfaces and internal voids as can occur with accretions on highly swept wings for comparison to computational simulations. Current methods based upon scanning with line-of-sight, visible-spectrum digitization methods have been found inadequate for many of these very complex ice shapes. Remote and in-situ technologies that can accurately quantify the super-cooled liquid water environment in the volume surrounding an airport. Of primary interest are remote sensing technologies that can, by themselves or with other instruments, quantify the temperature, liquid water content, and cloud droplet size spectrum to allow the production of a 3-D icing hazard map of the terminal airspace. Low-cost, expendable in-situ instruments are also of interest for validating and calibrating these remotely sensed measurements. Read less>>"
Aeronautics Research,Topic A1 Aviation Safety ,A1.03Flight Deck Interface Technologies for NextGen, LaRC," AFRC, GRC","Public benefits derived from continued growth in the transport of passengers and cargo are dependent on the improvement of the intrinsic safety attributes of current and future air vehicles that will operate in NextGen. The Aviation Safety Program (AvSP) is addressing this challenge by conducting cutting-edge fundamental and applied research that will yield innovative algorithms, tools, concepts and technologies from the discipline level up to the subsystem and system level. As a part of the AvSP, the Vehicle System Safety Technology (VSST) Project has initiated a Technical Challenge (TC) toward the improvement of Crew Decision-Making and response in complex situations (CDM), in current-day and NextGen operations. To address this TC, NASA seeks innovative flight deck interface research and technology that address the following major topic areas: The flight crew's needs for situation awareness/information in current-day and emerging NextGen operations. Research and technology development focused on novel display technologies and display methods that allow for new means of NextGen information portrayal and creating visual and aural interface methods to provide hazard and aircraft state awareness and protection during terminal maneuvering area operations. The development of flight deck interface technologies that assure pilot awareness and appropriate engagement (balancing awareness and workload) in current-day and emerging NextGen operations. Research and technology development to proactively address the potential impact of changing roles and responsibilities between the Air Navigation Services Providers (ANSP) and pilots as well as between the human and automation, and the robustness of these interfaces when responding to unexpected events. Integrated information management systems that assure the information needed by flight crews to make critical decisions is complete and not misleading. Research and technology development to better manage flight deck information during NextGen ""Net-Centric"" operations without overloading or underwhelming the operators/users. Understanding demographics and proficiency that impact human (pilot) decision-making. Research and technology development which addresses emerging pilot demographics and pilot proficiency standards to improve pilot decision-making and interactions with other human and automation Read less>>"
Aeronautics Research,Topic A1 Aviation Safety ,A1.04Vehicle Level Diagnostics, LaRC," AFRC, ARC, GRC","This SBIR subtopic augments on-going activities in the Vehicle Systems Safety Technology (VSST) project within NASA's Aviation Safety Program. Specifically, this subtopic addresses the ""Maintain Vehicle Safety between Major Inspections"" (MVS) technical challenge. The MVS technical challenge concentrates on capabilities to maintain vehicle safety between major inspection intervals with an emphasis on the subsystems of airframe, avionics, and propulsion. NASA is seeking proposals to combine information from, and within, the various subsystems to perform overall vehicle level diagnostics. The objective of this work is to provide an infrastructure to assess the health state of aircraft though the integration of full vehicle sensors and diagnostic information. Partnering with organizations that can provide relevant data is encouraged. Read less>>"
Aeronautics Research,Topic A1 Aviation Safety ,A1.05Data Mining and Knowledge Discovery, ARC," AFRC, ARC, GRC","The fulfillment of the SSAT project's goal requires the ability to transform vast amounts of data produced by aircraft and associated systems and people into actionable knowledge that will aid in detection, causal analysis, and prediction at levels ranging from the aircraft-level, to the fleet-level, and ultimately to the level of the national airspace. For this topic, we are especially interested in automated discovery of previously unknown precursors to aviation safety incidents involving human - automation interaction. We expect to gain knowledge on latent deficiencies in crew training, communication, and operations that is of paramount importance to future SSAT project goals and objectives. The incorporation of human performance will be invaluable to the success of this effort, and as such it will be important to use heterogeneous data from varied sources that are matched on a per-flight basis with flight-recorded data, such as radar track data, airport information, weather data, flight crew schedule information, maintenance information, and Air Safety Reports. This topic will develop revolutionary and first-of-a-kind methods and tools that incorporate the limitations of human performance throughout the design lifecycle of human-automation systems to increase safety and reduce validation costs in NextGen. The focus of this effort will be on the fleet level or above. As such, the successful proposal will develop validated data mining and machine learning based methods to uncover systemic human-automation interaction issues that manifest at a much broader level than those incidents that occur within a single flight or for a single aircraft. Simulated data that is representative of the interactions between humans and automation found on flight systems and on data from real world aircraft and supporting ground-based systems should be used. The total of the data set under study should be at least 10 TB in size, and exhibit appropriate statistical and operational complexities found in real world human automation interactions. Furthermore, a deep knowledge of human-automation interaction from the human-factors perspective as well as the ability to create novel machine learning and data mining algorithms should be clearly demonstrated. Read less>>"
Aeronautics Research,Topic A1 Aviation Safety ,A1.06Assurance of Flight-Critical Systems, ARC, LaRC,"The purpose of this subtopic is to invest in mid- and long-term research to establish rigorous, systematic, scalable, and repeatable verification and validation methods for flight-critical systems, with a deliberate focus on safety for NextGen (http://www.jpdo.gov(link is external)). This subtopic targets NextGen safety activities and interests encompassing vehicles, vehicle systems, airspace, airspace concept of operations, and air traffic technologies, such as communication or guidance and navigation. Methods for assessing issues with technology, human performance and human-systems integration are all included in this sub-topic, nothing that multi-disciplinary research is required that does not focus on one type of component or phenomenon to the exclusion of other important drivers of safety. Proposals are sought for the development of: Safety-case methods and supporting technologies capable of analyzing the system-wide safety properties suitable for civil aviation vehicles and for complex concepts of operation involving airborne systems, ground systems, human operators and controllers. Technologies and mathematical models that enable rigorous, comprehensive analysis of novel integrated, and distributed, systems interacting through various mechanisms such as communication networks and human-automation and human-human interaction. Techniques, tools and policies to enable efficient and accurate analysis of safety aspects of software-intensive systems, ultimately reducing the cost of software V&V to the point where it no longer inhibits many safety innovations and NextGen developments. Tools and techniques that can facilitate the use of formal methods in V&V throughout the lifecycle such as graphical-based development environments (e.g., eclipse plug-ins for static analyzers, model checkers, or theorem provers) or tools facilitating translation from design formats used in industry to formal languages supporting automated reasoning. This subtopic is intended to address those flight-critical systems that directly conduct flight operations by controlling the aircraft, such as on-board avionics and flight deck systems, and safety-critical ground-based functions such as air traffic control and systems for communication, navigation and surveillance. It is not intended to cover V&V of computational models of physical systems (e.g., CFD codes or finite element analysis). In Phase II, a functional system shall be delivered to NASA for its retention and ownership. Read less>>"
Aeronautics Research,Topic A2 Air Traffic Management Research and Development (ATM R&D) ,A2.01Unmanned Aircraft Systems Integration into the National Airspace System Research, AFRC," ARC, GRC, LaRC","The following subtopic is in support of the Unmanned Aircraft Systems (UAS) Integration in the National Airspace System (NAS) Project under the Integrated Systems Research Program (ISRP). There is an increasing need to fly UAS in the NAS to perform missions of vital importance to National Security and Defense, Emergency Management, Science, and to enable commercial applications. The UAS Integration in the NAS Project is structured under the following technical challenges:Airspace Integration - validate technologies and procedures for UAS to remain an appropriate distance from other aircraft, and to safely and routinely interoperate with NAS and NextGen Air Traffic Services (ATS). Standards/Regulations - validate minimum system and operational performance standards and certification requirements and procedures for UAS to safely operate in the NAS. Relevant Test Environment - develop an adaptable, scalable, and schedulable relevant test environment for validating concepts and technologies for UAS to safely operate in the NAS. The Federal Aviation Administration (FAA) regulations are built upon the condition of a pilot being in an aircraft.There exist few, if any, regulations specifically addressing UAS today. The primary user of UAS to date has been the military. The technologies and procedures to enable seamless operation and integration of UAS in the NAS need to be developed, validated, and employed by the FAA through rule making and policy development. The Project goal is to capitalize on NASA's unique capabilities and competencies by utilizing integrated system level tests in a relevant environment to eliminate or reduce critical technical barriers of integrating UAS into the NAS. The project is further broken down into five subprojects: Separation Assurance/Sense and Avoid Interoperability (SSI); Communications; Human Systems Integration; Certification; and Integrated Test and Evaluation. The fifth sub-project, Integrated Test and Evaluation, is responsible for developing a live, virtual, and constructive test environment for the other four subprojects. The first phase of the project includes the following:Conduct initial modeling, simulation, and flight testing. Complete early subproject-focused deliverables (spectrum requirements, comparative analysis of certification methodologies, etc.). Validate the key technical elements identified by this project.The second phase includes the following:Conduct systems-level, integrated testing of concepts and/or capabilities that address barriers to routine access to the NAS. Provide methodologies for development of airworthiness requirements and data to support development of certification standards and regulatory guidance. Develop a body of evidence (including validated data, algorithms, analysis, and recommendations) to support key decision makers in establishing policy, procedures, standards and regulations, enabling routine UAS access in the NAS. This solicitation seeks proposals, but is not limited, to develop: Certified control and non-payload communications (CNPC) system - Current civil UAS operations are significantly constrained by the lack of a standardized, certified control and non-payload communications (CNPC) system. The UAS CNPC system is to provide communications functions between the Unmanned Aircraft (UA) and the UA ground control station for such applications as: telecommands; non-payload telemetry; navigation aid data; air traffic control (ATC) voice relay; air traffic services (ATS) data relay; sense and avoid data relay; airborne weather radar data; and non-payload situational awareness video. New and innovative approaches to providing terrestrial and space-based high-bandwidth CNPC systems that are inexpensive, small, low latency, reliable, and secure offer opportunities for quantum jumps in UAS utility and capabilities. Of particular interest are: Technologies for High power C-band amplifiers and highly linear C-band power amplifiers/linearization of high power C-band amplifiers. Miniaturization of C-band radio components/systems.A Synthetic Vision System for a ground control station (GCS) - Integration of display technology that presents the visual environment external to the unmanned aircraft using computer-generated imagery in a manner analogous to how it would appear to the pilot in a manned aircraft. A synthetic vision system displays critical features of the environment external to the aircraft through a computer-generated image of the external scene topography using terrain and obstacle databases. Several research and technological developments have made synthetic vision systems possible. Fundamentally, these systems require only precise ownship location, a database, available graphics and computing capability and display media. In terms of safety benefits, synthetic vision may help to reduce many accident precursors including: Loss of awareness of vertical/ lateral path, terrain traffic, etc. Operational benefits may include transition from instruments to visual flight, non-normal and emergency situations, virtual visual self-spacing and station keeping capability, etc. SVS have been extensively studied and there is a vast body of knowledge on their application to manned aviation. Special interest is in the integration of a SVS into a UA ground control station to support operator in the loop, sense and avoid (SAA) functions for UAS operations in the NAS. Guidelines for sense and avoid requirements and functions are currently being developed by standards organizations (e.g., RTCA SC-203) and the FAA. Weather information systems for GCS - On-board, real-time graphic aviation weather information products have been developed and successfully implemented for manned cockpits. Their use is now widespread and their safety impact widely recognized. The applicability of such products for operators and ground control pilots to enhance situation awareness and improve mission planning and execution is of interest to NASA. Systems such as the NASA developed Aviation Weather Information (AWIN) system that included software, data and data-link applications, color weather graphics such as composite-radar mosaic, lightning-strike data, wind data, satellite images and forecasts could be integrated into a ground control station to provide pilots with weather awareness before and during mission execution. Improved weather awareness should allow aircrews to avoid most weather-related problems through both pre-flight and en-route planning. While the use of these systems has been explored for military UAS operations, their applicability to civil and public operations has not yet been explored. Operator Displays for Sense and Avoid Systems - While guidelines for the integration of UAS operations in the NAS are being developed new SAA systems are being designed to provide the ground control pilot with situation awareness and the ability to execute required ATC procedures. SAA systems provide UAS with the capability to avoid collisions and remain well clear of other aircraft by means of sensor systems and equipment specifically designed for this purpose. SAA systems consist of surveillance sensors, data communications, threat detection and/or resolution logic and the display of traffic information and/or resolution guidance/advice. Of interest is the development of display technologies to enable ground control pilots to participate in any phase of the SAA process as indicated by operator procedures. These new technologies should utilize the vast experience and body of knowledge developed over the years for airborne/ground separation assurance systems, TCAS displays, and cockpit displays of traffic information. In addition, these new displays will exhibit unique and very challenging new problems associated with the nature of unmanned systems as well as the communication latencies and potential safety risks of failure conditions. Human factors considerations should be applied in the design of these systems. Lost Communication Link Procedures and Operations - The procedures followed by unmanned aircraft and their pilots when the command and control link is lost with the ground station are not standardized and frequently do not take into account ATC regulations. Each UAS appears to have custom-designed procedures for ""lost link"" despite the existence of well-established rules for pilots to follow when communication capability is lost. Research should establish a desired set of procedures to be followed that parallel the existing requirements, but departing from those where necessary to meet critical safety considerations. These procedures may be codified in technologies used by the unmanned aircraft or the pilot in the ground control station to maximize the predictability of the UAS' actions from an ATC perspective. Safety Analysis and Methodologies - UAS operations are untried in the civil NAS. Unlike other aircraft, there is not an extensive record of civil operations upon which to forecast the safety of UAS operations in the NAS. The introduction of UAS into the NAS raises many safety issues and concerns. Typically, anytime a new capability is added into the NAS, an Operational Safety Assessment (OSA) is performed by the FAA, to determine whether that introduction of new capability will enhance or detract from the safety of the NAS. As these UAS represent a wholly new operational system, traditional approaches cannot suffice. Research is needed to identify and develop new safety analysis approaches, as well as prognostic indicators and potential new safety metrics. Read less>>"
Aeronautics Research,Topic A3 Air Vehicle Technologies ,A3.01Structural Efficiency - Airframe, LaRC," ARC, GRC, LaRC","Materials and Structural Concepts for Aeroelastically-Tailored Aircraft Wings The Fixed Wing and High Speed projects are focused on development of enabling technologies and advanced concepts for subsonic and supersonic cruise transport category aircraft, respectively, demonstrated to TRL 4-6 in the 2025 time frame. Both projects require simultaneous reduction of weight and drag to achieve their respective performance objectives. For subsonic transport aircraft, lift-induced drag is approximately 40% of the total drag at cruise and can be directly addressed via increased wing aspect ratio. For supersonic flight, speed requirements dictate highly swept wings with a very thin airfoil section. Both of these wing geometries, with higher aspect ratio or thinner airfoil section, result in more flexible structure that can exhibit aeroelastic instability and thus require more complicated aeroelastic design, analysis and control. The traditional solution to these aeroelastic issues has been primarily to stiffen the wing by adding additional structure, thus creating a weight penalty. Solutions that favorably modify the aeroelastic response of thin or high aspect ratio wings with no or little weight increase are needed. Furthermore, maneuverability of the vehicle is dependent upon the control authority achievable by wing-located control surfaces in traditional aircraft designs, and possibly actively tailorable portions of wings in more integrated aircraft designs. Designing the wing to have desired aeroelastic characteristics makes the wing amenable to minimal-input active control solutions to further modify the aeroelastic response. Using a building block approach in this research topic, the current solicitation focuses on materials and structural concepts for aeroelastically-tailored aircraft wings, while the more complex aeroservoelastic solution will be the subject of a future solicitation. This solicitation topic seeks innovative materials and/or structural concepts and technologies for lightweight wings with aeroelastic tailoring, such as tailored bending and torsional stiffness as an example. Proposals should involve novel materials, processes and structural concepts with significant potential to improve the structural efficiency and reduce specific weight. Laboratory scale approaches may be proposed for proof of concept, but must be scalable to application across a broad range of fixed wing aircraft sizes and speeds. Tailored stiffness may include spatial or temporal variations in stiffness achieved by a combination of passive stiffness tailoring of anisotropic or functionally graded materials, novel structural topologies, or active integrated elements to change structural and/or material properties. The use of existing design and analysis tools and techniques to the greatest extent possible is encouraged, as it is not the intent of this solicitation to develop new computational tools. Specifically, the following concepts and technologies are sought: Materials and processing routes to fabricate engineered materials with tailored material properties along all three axes. Aeroelastically-tailored structural concepts by which desired static or dynamic aeroelastic responses can be achieved. Phase I: Identify candidate material systems and structural concepts that enable aeroelastic tailoring of wing structure for reduced weight, for example, variable bending and torsional stiffness. Assess the feasibility and benefits of the proposed concept, including scale-up, necessary material property quantification, and design trade studies. The studies must include quantification of expected structural weight benefits. Identify limiting factors and recommendations for further technology development to address the shortfalls. For novel material systems and structural concepts requiring development, conduct initial proof of concept computational studies and/or element tests. Phase II: Perform scale-up of materials and processes as necessary, and produce a detailed structural design and hardware build of a subscale wing suitable for laboratory testing to assess structural performance of the concept. Structural testing of the subscale wing will be performed subsequently by NASA and is beyond the scope of the Phase II effort. Read less>>"
Aeronautics Research,Topic A3 Air Vehicle Technologies ,A3.02Quiet Performance, LaRC," ARC, GRC, LaRC","Innovative technologies and methods are necessary for the design and development of efficient, environmentally acceptable aircraft. In support of the Fundamental Aeronautics Program, improvements in noise prediction, measurement methods and control are needed for subsonic, transonic and supersonic vehicles targeted specifically at airframe noise sources and the interaction of airframe and engine noise. Innovations in the following specific areas are solicited: Fundamental and applied computational fluid dynamics techniques for aeroacoustic analysis, which can be adapted for design codes. Prediction of aerodynamic noise sources including those from airframe and sources which arise from significant interactions between airframe and propulsion systems. Prediction of sound propagation from the aircraft through a complex atmosphere to the ground. This should include interaction between noise sources and the airframe and its flow field. Innovative source identification techniques for airframe (e.g., landing gear, high lift systems) noise sources, including turbulence details related to flow-induced noise typical of separated flow regions, vortices, shear layers, etc. Concepts for active and passive control of aeroacoustic noise sources for conventional and advanced aircraft configurations, including adaptive flow control technologies, and noise control technology and methods that are enabled by advanced aircraft configurations, including integrated airframe-propulsion control methodologies. Development of synthesis and auditory display technologies for subjective assessments of aircraft community and interior noise, including sonic boom.Read less>>"
Aeronautics Research,Topic A3 Air Vehicle Technologies ,A3.03Low Emissions/Clean Power, GRC," ARC, GRC, LaRC","Proposals are sought which support electric propulsion of transport aircraft, which includes various hybrid electric concepts, such as gas turbine engine-battery combinations and turboelectric propulsion (turbine prime mover with electric distribution of power to propulsors). Turboelectric propulsion for aircraft applications will require high specific power (hp/lb or kW/kg) and high efficiency components. Cryogenic and superconducting components will be required to achieve high specific power and high efficiency. The cryogenic components include fully superconducting generators and motors (i.e., superconducting stators as well as rotors), cryogenic inverters and active rectifiers, and cryocoolers. Proposals related to the superconducting machines may include aspects of the machines themselves as well as low AC loss superconducting materials for the stator windings. Generators with at least 10 MW capacity and motors of 2 to 3 MW capacity are of interest. Technology is sought that can contribute to superconducting machines with specific power more than 10 hp/lb. Superconducting wires with filaments less than 10 micrometers in diameter are of interest. Ideas are also sought for achieving 2-3X increase in specific power for non-cryogenic motors through a multidisciplinary approach utilizing advanced motor designs, better materials, and new structural concepts. Ideas are also sought to address challenges related to high voltage power transmission in future hybrid electric aircraft. New modeling and simulation tools for hybrid electric aircraft propulsion systems are also of interest. Read less>>"
