Higher Topic,Focus Area,Subtopic,Lead Center,Participating Center(s),Content
TA1 Launch Propulsion Systems,TA1.2 Liquid Rocket Propulsion Systems,H10.01Cryogenic Purge Gas Recovery and Reclamation, SSC," GRC, KSC","Helium is becoming a major issue for NASA and the country. Helium is used as a purge gas in cryogenic piping systems to reduce the concentration of hydrogen below the flammable threshold at test and launch complexes. Most of the Nation's helium comes from the National Helium Reserve operated by the Bureau of Land Management (BLM). The statutory authority for BLM to operate is expiring and responsibility is being transferred to the commercial sector. Helium is a non-renewable gas that is in limited supply. There are already helium shortages and prices are going up. Fuel cell technology has demonstrated the ability to output high quality helium from a hydrogen/helium gas mixture. The helium/hydrogen gas mixture was collected, helium extracted and recovered. The recovered helium meets the stringent purity requirements for reuse. Proposals are sought that improve upon the demonstrated technology or develop new alternative cryogenic gas separation technology. This subtopic has the potential to substantially reduce the costs of NASA's test and launch operations. Additional development is needed to increase the efficiency of the recovery process, capture large amounts of mixed gases, and provide real-time solid state sensor technologies for characterizing constituent gases. Helium is the highest value cryogenic gas, but other cryogenic gases could be conserved also. Specific areas of interest includes the following technologies: Enhanced membrane technologies including Proton Exchange Membrane (PEM) fuel cells that increase the efficiency, recovery production rate or life span of fuel cell based separation technologies. Development of alternative cryogenic gas separation technologies. Technologies for the rapid capture and storage of high volumes of mixed cryogenic gases. Development of zero trapped gas system technologies to improve purge effectiveness. Development of real-time, solid state sensor technologies for monitoring the current state of the system concentration levels and helium/nitrogen purge process effectively (e.g., hydrogen, oxygen, water vapor content, etc.). Examples of this type of technology: (http://www.sustainableinnov.com/products/h2renew/(link is external)) (http://www.extrel.com/(link is external)) Read less>>"
TA2 In-Space Propulsion Technologies,TA2.1 Chemical Propulsion,H2.01In-Space Chemical Propulsion, GRC," JSC, MSFC","The goal of this subtopic is to examine a range of key technology options associated with space engines that use methane as the propellant. Successful proposals are sought for focused investments on key technologies and design concepts that may transform the path for future exploration of Mars. In-space propulsion is defined as the development and demonstration of technologies for ascent, orbit transfer, pulsing attitude/reaction control, and descent engines. Key operational and performance parameters include: Reaction control thruster development in the 5 to 100 lbf thrust class with a target vacuum specific impulse of 325-sec. The reaction control engines would operate cryogenic liquid-liquid for applications requiring integration with main engine propellants; or would operate gas-gas or gas-liquid for small total impulse type applications. RCEs operating on liquid cryogenic propellant(s) should be able to tolerate operation for limited duty cycles with gaseous or saturated propellants of varying quality. Ascent/descent pressure-fed engines with 1,500 to 25,000 lbf thrust with a target vacuum specific impulse of 350 to 360-sec. The engine should be capable of throttling to 5:1 (20% power), and the chamber pressure should range from 200 to 650 psig. Ascent/descent pump-fed engine development is projected to range from 10,000 to 25,000 lbf thrust with a minimum vacuum specific impulse of 360-sec. The propulsion system should be capable of stable throttling to 10:1 (10% power). The engine shall achieve 90% rated thrust within 0.5 second of the issuance of the ‘Engine ON’ command. Specific technologies of interest for operation with liquid and gaseous methane are sought. Relevance of the technology to compatibility and applicability to challenges with methane must be identified. In addition, these engines should be compatible with the future use of in situ produced propellants such as oxygen and methane. For all proposed technologies, the proposer shall show in the proposal how the component would fit in a system cycle based on thermal capabilities and pressure budgets. Propulsion technologies of interest that support the performance parameters defined above include: New additive manufacturing techniques that can be demonstrated to allow for rapid manufacturing, surface finishes, structural integrity, and significant costs savings for complex combustion devices and turbomachinery components compared to the conventional manufacturing. Manufacturing methods must scale to a final flight component. Low-mass propellant injectors that provide stable and uniform combustion over a wide range of propellant inlet conditions. Combustion chamber designs using high temperature materials, coatings, and/or ablatives for combustion chambers, nozzles, and nozzle extensions. Regenerative cooled combustion chamber technologies which offer improved performance and adequate chamber life. Turbopump technologies specific to liquid methane that are lightweight with a long shelf life that can meet deep-throttle requirements, including small durable high speed turbines, high fatigue life impellers, zero net positive suction head (NPSH) inducers, low leakage seals, and long life in situ propellant fed bearings. Phase I Deliverables - Research to identify and evaluate candidate technology applications to demonstrate the technical feasibility and show a path towards a demonstration. Bench or lab-level demonstrations are desirable. The technology concept at the end of Phase I should be at a TRL of 4 to 5 Phase II Deliverables - Emphasis should be placed on developing and demonstrating the technology under simulated mission conditions. The proposal shall outline a path showing how the technology could be developed into mission-worthy systems. The contract should deliver a demonstration unit for functional and environmental testing at the completion of the Phase II contract. The technology concept at the end of Phase II should be at a TRL of 5 to 6. Read less>>"
TA2 In-Space Propulsion Technologies,TA2.1 Chemical Propulsion,S4.03Spacecraft Technology for Sample Return Missions, JPL, GRC,"NASA plans to perform sample return missions from a variety of scientifically important targets including Mars, small bodies such as asteroids and comets, and outer planet moons. These types of targets present a variety of spacecraft technology challenges. Some targets, such as Mars and some moons, have relatively large gravity wells and will require ascent propulsion. Includes propellants that are transported along with the mission or propellants that can be generated using local resources. Other targets are small bodies with very complex geography and very little gravity, which present difficult navigational and maneuvering challenges. In addition, the spacecraft will be subject to extreme environmental conditions including low temperatures (-270°C), dust, and ice particles. Technology innovations should either enhance vehicle capabilities (e.g., increase performance, decrease risk, and improve environmental operational margins) or ease sample return mission implementation (e.g., reduce size, mass, power, cost, increase reliability, or increase autonomy). Read less>>"
TA2 In-Space Propulsion Technologies,TA2.2 Non-Chemical Propulsion,H2.02Nuclear Thermal Propulsion (NTP), MSFC," GRC, SSC","Solid core NTP has been identified as an advanced propulsion concept which could provide the fastest trip times with fewer SLS launches than other propulsion concepts for human missions to Mars over a variety of mission years. The current NASA Strategic Space Technology Investment Plan states NTP is a high priority technology needed for future human exploration of Mars. NTP had major technical work done between 1955-1973 as part of the Rover and Nuclear Engine for Rocket Vehicle Application (NERVA) programs. A few other NTP programs followed including the Space Nuclear Thermal Propulsion (SNTP) program in the early 1990's. The NTP concept is similar to a liquid chemical propulsion system, except instead of combustion in the thrust chamber, a monopropellant is heated with a fission reactor in the thrust chamber. In addition, the engine components and surrounding structures are exposed to a radiation environment formed by the reactor during operation. This solicitation will examine a range of modern technologies associated with NTP using solid core nuclear fission reactors and technologies needed to ground test the engine system and components. The engines are pump fed ~15,000-35,000 lbf with a specific impulse goal of 900 seconds (using hydrogen), and are used individually or in clusters for the spacecraft's primary propulsion system. The NTP can have multiple start-ups (>4) with cumulative run time >100 minutes in a single mission, which can last a few years. The Rover/NERVA program ground tested a variety of engine sizes, for a variety of burn durations and start-ups with the engine exhaust released to the open air. Current regulations require exhaust filtering of any radioactive noble gases and particulates released to stay within the current environmental regulations. The NTP primary test requirements can have multiple start-ups (>8) with the longest single burn time ~50 minutes. Specific engine technologies of interest to meet the proposed requirements include: High temperature (> 2600K), low burn-up composite, carbide, and/or ceramic-metallic (cermet) based nuclear fuels with improved coatings and/or claddings to maximize hydrogen propellant heating and to reduce fission product gas release and particulates into the engine's exhaust stream. Long life, lightweight, reliable turbopump modeling, designs and technologies including seals, bearing and fluid system components. Throttle ability is also considered. Zero net positive suction head (NPSH) hydrogen inducers have been demonstrated that can ingest 20-30% vapor by volume. The goal would be to develop inducers that can ingest 55% vapor by volume for up to 8 hours with less than 10 percent head fall off at the design point. Develop the capability to model (predict) turbopump cavitation dynamics. This includes first order rotating and alternating cavitation (1.1X –2X) and higher (6X-10X) order cavitation dynamics. High temperature and cryogenic radiation tolerant instrumentation and avionics for engine health monitoring. Non-invasive designs for measuring neutron flux (outside of reactor), chamber temperature, operating pressure, and liquid hydrogen propellant flow rates over wide range of temperatures are desired. Sensors need to operate for months/years instead of hours. Robonaut type inspections for prototype flight test considered. Concepts to cooldown the reactor decay heat after shutdown to minimize the amount of open cycle propellant used in each engine shutdown. Depending on the engine run time for a single burn, cool down time can take many hours. Low risk reactor design features which allow more criticality control flexibility during burns beyond the reactor circumferential rotating control drums, and/or provide nuclear safety for ground processing, launch, and possible launch aborts. Specific ground test technologies of interest to meet the proposed requirements include: Effluent scrubber technologies for efficient filtering and management of high temperature, high flow hydrogen exhausts. Specific interests include: Filtering of radioactive particles and debris from exhaust stream having an efficiency rating greater than 99.9%. Removal of radioactive halogens, noble gases and vapor phase contaminants from a high flow exhaust stream with an efficiency rating greater than 99.5%. Technologies providing a low power nuclear furnace to test a variety of fuel elements at conditions replicating a full scale NTP engine. For all above technologies, research should be conducted to demonstrate technical feasibility during Phase I and show a path towards Phase II hardware/software demonstration with delivery of a demonstration unit or software package for NASA testing at the completion of the Phase II contract. Phase I Deliverables - Feasibility study, including simulations and measurements, proving the proposed approach to develop a given product (TRL 2-3). Verification matrix of measurements to be performed at the end of Phase II, along with specific quantitative pass-fail ranges for each quantity listed. Phase II Deliverables - Working engineering model of proposed product, along with full report of component and/or breadboard validation measurements, including populated verification matrix from Phase I (TRL 4-5). Opportunities and plans should also be identified and summarized for potential commercialization. Read less>>"
TA2 In-Space Propulsion Technologies,TA2.2 Non-Chemical Propulsion,H2.03High Power Electric Propulsion, GRC," JPL, MSFC","The goal of this subtopic is to develop innovative technologies that can lead to high-power (100-kW to MW-class) electric propulsion systems. High-power solar or nuclear electric propulsion may enable dramatic mass and cost savings for lunar and Mars cargo missions, including Earth escape and near-Earth space maneuvers, and at very high power levels enable piloted exploration missions. Innovations and advancements leading to improvements in the end to end performance of high power electric propulsion systems are of interest. Methods are sought to increase overall system efficiency; improve system and/or component life or durability; reduce system and/or component mass, complexity, and development issues; or provide other definable benefits. In general, thruster system efficiencies exceeding 60% and providing total impulse values greater than 107 N-sec are desired. Specific impulse values of interest range from a minimum of 1500-sec for Earth-orbit transfers to over 6000-sec for planetary missions. Specific technologies of interest in addressing high power electric propulsion challenges include but are not limited to: Advanced concepts for high power plasma thruster systems that provide quantifiable benefits over state of the art high power electric propulsion systems. Proposals addressing advanced technology concepts should include a realistic and well-defined roadmap defining critical technology development milestones leading to an eventual flight system. Electric propulsion systems and components that enable the use of alternative space storable propellants, such as condensible or metal propellants and potential in-situ resource derived propellants. Advanced manufacturing methods for the fabrication of high power thruster components and associated systems; of particular interest is additive manufacturing for complex parts and components. Figures of merit include lower cost, rapid turnaround, and material and structural integrity comparable to or better than components or systems produced using current fabrication methods. Components for inductively pulsed plasma thrusters, in particular highly accurate flow controllers and fast acting valves; and solid state switches capable of high current (MA), high repetition rate (up to 1-kHz), long life (equal to or >109 pulses) operation. In addressing technology requirements, proposers should identify candidate thruster systems and potential mission applications that would benefit from the proposed technology. Phase I Deliverables - Research to identify and evaluate candidate technology applications to demonstrate the technical feasibility and show a path towards a demonstration. Bench or lab-level demonstrations are desirable. The technology concept at the end of Phase I should be at a TRL of 4 to 5 Phase II Deliverables - Emphasis should be placed on developing and demonstrating the technology under simulated mission conditions. The proposal shall outline a path showing how the technology could be developed into mission-worthy systems. The contract should deliver a demonstration unit for functional and environmental testing at the completion of the Phase II contract. The technology concept at the end of Phase II should be at a TRL of 5 to 6. Read less>>"
TA2 In-Space Propulsion Technologies,TA2.2 Non-Chemical Propulsion,S3.02Propulsion Systems for Robotic Science Missions, GRC," JPL, MSFC","The Science Mission Directorate (SMD) needs spacecraft with more demanding propulsive performance and flexibility for more ambitious missions requiring high duty cycles, more challenging environmental conditions, and extended operation. Planetary spacecraft need the ability to rendezvous with, orbit, and conduct in situ exploration of planets, moons, and other small bodies in the solar system (http://solarsystem.nasa.gov/multimedia/download-detail.cfm?DL_ID=742). Future spacecraft and constellations of spacecraft will have high-precision propulsion requirements, usually in volume- and power-limited envelopes. This subtopic seeks innovations to meet SMD propulsion in chemical and electric propulsion systems related to sample return missions to Mars, small bodies (like asteroids, comets, and Near-Earth Objects), outer planet moons, and Venus. Additional electric propulsion technology innovations are also sought to enable low cost systems for Discovery class missions, and low-power, nuclear electric propulsion (NEP) missions. Roadmaps for propulsion technologies can be found from the National Research Council (http://www.nap.edu/openbook.php?record_id=13354&page=168(link is external)) and NASA’s Office of the Chief Technologist (http://www.nasa.gov/pdf/501329main_TA02-InSpaceProp-DRAFT-Nov2010-A.pdf). Proposals should show an understanding of the state of the art, how their technology is superior, and of one or more relevant science needs. The proposals should provide a feasible plan to fully develop a technology and infuse it into a NASA program. Advanced Electric Propulsion Components This subtopic also seeks proposals that explore uses of technologies that will provide superior performance in for high specific impulse/low mass electric propulsion systems at low cost. These technologies include: High thrust-to-power ion thruster component or system technologies. Key characteristics include: Power < 14 kW. T/P > SOA Hall Effect Thrusters at comparable specific impulse ranging from 1500-3000 seconds. Lifetimes > 10,000 hours. Thruster components including, but not limited to, advanced cathodes, rf devices, advanced grids, lower-cost components. Any long-life, electric propulsion technology between 1 to 10 kW/thruster that would enable a low-power nuclear electric propulsion system based on a kilopower nuclear reactor. Secondary Payload Propulsion The secondary payload market shows significant promise to enable low cost science missions. Launch vehicle providers, like SLS, are considering a large number of secondary payload opportunities. The majority of small satellite missions flown are often selected for concept or component demonstration activities as the primary objectives. Opportunities are anticipated to select future small satellite missions based on application goals (i.e., science return). However, several technology limitations prevent high value science from low-cost small spacecraft, such as post deployment propulsion capabilities, Additionally, propulsion systems often place constraints on handling, storage, operations, etc. that may limit secondary payload consideration. It is desired to have a wide range of Delta-V capability to provide 100-1000s of m/s. Specifically, proposals are sought for: Propulsion systems with green propulsion. Micropumps w/ Mon-25/MMH. Iodine propellants. 1U sized solar electric ionized gas propulsion unit with delta V of 1-8 km/s for 6U CubeSat, and a clear plan for demonstrated constellation station keeping capability for 6 months in LEO. In addressing technology requirements, proposers should identify potential mission applications and quantify the expected advancement over state-of-the-art alternatives. Note to Proposer - Topics under the Human Exploration and Operations Directorate also addresses advanced propulsion. Proposals more aligned with exploration mission requirements should be proposed in H2. Read less>>"
TA2 In-Space Propulsion Technologies,TA2.4 Supporting Technologies,H2.04Cryogenic Fluid Management for In-Space Transportation, GRC," JSC, MSFC","This subtopic solicits technologies related to cryogenic propellant (such as hydrogen, oxygen, and methane) storage, transfer, and instrumentation to support NASA's exploration goals. This includes a wide range of applications, scales, and environments consistent with future NASA missions. Specifically, listed in order of NASA’s current priority: Simple mass efficient techniques for vapor cooling of structural skirts (aluminum, stainless, or composites) on large upper stages containing liquid hydrogen and liquid methane (can include para-to-ortho hydrogen catalyst for hydrogen applications). Lightweight, multifunctional cryogenic insulation systems (including attachment methods) that can survive exposure to the free stream during the launch/ascent environment in addition to high performance (less than 0.5 W/m2 with a warm boundary of 220 K) on orbit or <5 W/m2 on Mars surface. Advanced cryogenic spacecraft components including: Valves (minimum ½” tube size) for low (< 50 psi, Cv > 5, goal of 100+) pressure liquid hydrogen with low internal (~ 1 sccm, goal of < 0.1 sccm) and external (~ 3 sccm, goal of < 0.1 sccm) leakage (> 500 cycles with a goal of 5,000 cycles). Isolation valve/regulation (minimum ½”) for high pressure (>4500 psi) gaseous helium systems (< 70 K fluid, Cv > 2.1) with low internal (~ 1 sccm) and external (~ 3 sccm) leakage (> 500 cycles with a goal of 5,000 cycles). Spherical all-composite 1-2 m diameter propellant tank for Mars application using LO2/LCH4; Pressure from 350-1000 psig; Temperature range from ambient to 77 K (LN2); and Ghe permeability less than 1x10-4 sccs/m2 (at 500 psi, 77 K). Micro-gravity cryogenic pressure control components for thermodynamic vent systems including: Improved alternatives to state of the art spray bars for using fluid dynamics to collapse the ullage and thoroughly mix a propellant tank in micro-gravity. Low voltage (28 VDC) two-phase flow tolerant mixing pumps of flow rates between 10 and 40 gpm. Novel methods of packaging and manufacture to minimize feedthroughs to the tank and ease of installation into a tank. Innovative concepts for cryogenic fluid instrumentation including: Fiberoptic and wireless concepts to enable accurate measurement (with minimal sensitivity to electromagnetic interference) of propellant pressures and temperatures in low-gravity storage tanks Cryogenic pressure transducers (0 – 50 psia typical range, 1% full scale accuracy, 0.5 Hz response) at 20 K. Low power (< 15 W goal) video camera systems for viewing fluid dynamics within a propellant tank (3 – 5 m diameter). Wicking materials or other novel methods/materials of liquid acquisition for use with liquid oxygen, liquid methane, and liquid hydrogen for low temperature heat pipes or tank expulsion. Phase I proposals should at a minimum deliver proof of the concept including some sort of testing or physical demonstration (not just a paper study). Phase II proposals will be expected to provide component validation in a laboratory environment preferably with a hardware deliverable to NASA. Read less>>"
TA3 Space Power and Energy Storage,TA3.1 Power Generation,H8.01Space Nuclear Power Systems, GRC," JPL, JSC, MSFC","NASA is developing fission power system technology for future space exploration applications using a stepwise approach. Initial small fission systems are envisioned in the 1 to 10 kWe range that utilize cast uranium-metal fuel and heat pipe cooling coupled to static or dynamic power conversion. Follow-on systems could produce 10s or 100s of kilowatts utilizing a pin-type uranium fueled reactor with pumped liquid metal cooling, dynamic power conversion, and high temperature radiators. The anticipated design life for these systems is 8 to 15 years with no maintenance. Candidate mission applications include power sources for robotic precursors, human outposts on the moon or Mars, and nuclear electric propulsion (NEP) vehicles. NASA is planning a variety of nuclear and non-nuclear system ground tests to validate technologies required to transfer reactor heat, convert the heat into electricity, reject waste heat, process the electrical output, and demonstrate overall system performance. The primary goals for the early systems are low cost, high reliability, and long life. Proposals are solicited that could help supplement or augment the planned NASA system testing. Specific areas for development include: 800-1000 K heat transport technology for reactor cooling (liquid metal heat pipes, liquid metal pumps). 1-10 kWe-class power conversion technology (thermoelectric, Stirling, Brayton). 400-500 K heat rejection technology for waste heat removal (water heat pipes, composite radiators, water pumps). The early systems are expected to provide the foundation for later systems in the multi-hundred kilowatt or megawatt range that utilize higher operating temperatures, alternative materials, and advanced components to improve system performance. Specific areas for development include: 100 kWe-class power conversion technologies. Waste heat rejection technologies for 500 K and above. High temperature reactor fuels, structural materials and heat transport technologies. Read less>>"
TA3 Space Power and Energy Storage,TA3.1 Power Generation,H8.02Solid Oxide Fuel Cells and Electrolyzers, GRC, JSC,"Technologies are sought that improve the durability, efficiency, and reliability of solid oxide systems. Of particular interest are those technologies that address challenges common to both fuel cells fed by oxygen and hydrocarbon fuels, and electrolyzers fed by carbon dioxide and/or water. Hydrocarbon fuels of interest include methane and fuels generated by processing lunar and Mars soils. Primary solid oxide components and systems of interest are: Solid oxide cell, stack, materials and system development for operation on direct methane in designs scalable to 1 to 3 kW at maturity. Strong preference for high power density configurations. Cell and stack development capable of Mars atmosphere electrolysis should consider feasibility at 0.4 to 0.8 kg/hr O2; scalable to 2 to 3.5 kg/hr O2 at maturity. CO2 electrolysis or co-electrolysis designs must have demonstrated capability of withstanding 15 psid in Phase I with pathway to up to 50 psid in Phase II. Proposed technologies should demonstrate the following characteristics: The developed systems are expected to operate as specified after at least 20 thermal cycles during Phase I and greater than 70 thermal cycles for Phase II. The heat up rate must be stated in the proposal. The developed systems are expected to operate as specified after at least 500 hours of steady state operation on propellant-grade methane and oxygen with 2500 hours expected of a mature system. System should startup dry but after reaching operating conditions an amount of water/H2 consistent with what can be obtained from anode recycle can be used. Amounts must be justified in the proposal. Minimal cooling required for power applications. Cooling in the final application will be provided by means of conduction through the stack to a radiator exposed to space or other company proposed solution. Minimal power (heating plus electrolysis) required for CO2 electrolysis applications. Demonstrate electrolysis of the following input gases: 100% CO2, Mars atmosphere mixture (95.7% CO2, 2.7% N2, 1.6% Ar), 100% water vapor, and 0.7 to 1.6:1 CO2:H2O mass ratio. A final test using pure CO2 of 500 hours (or stopping at 40% voltage degradation) is required. Description of technical path to achieve up to 11,000 hrs for human missions is requested. Read less>>"
TA3 Space Power and Energy Storage,TA3.1 Power Generation,H8.03Advanced Photovoltaic Systems, GRC, JSC,"Advanced photovoltaic (PV) power generation and enabling power system technologies are sought for improvements in capability and reliability of PV power generation for space exploration missions. Power levels for PV applications may reach 100s of kWe. System and component technologies are sought that can deliver efficiency, cost, reliability, mass and volume improvements under various operating conditions, in extreme environments, and over wide temperature ranges. PV technologies must enable or enhance the ability to provide low-cost, low mass and higher efficiency for power systems with particular emphasis on high power arrays to support solar electric propulsion missions. Areas of particular emphasis include: Advanced PV blanket and component technology/ designs that support very high power and high voltage (> 200 V) applications. PV power generation (cell, interconnect, and small self-deployable arrays) for CubeSat/ small satellite applications. PV module/ component technologies that emphasize low mass and cost reduction (in materials, fabrication and testing). Improvements to solar cell efficiency that are consistent with low cost, high volume fabrication techniques Automated/ modular fabrication methods for PV panels/ modules on flexible blankets (includes cell laydown, interconnects, shielding and high voltage operation mitigation techniques). Integrated PV system including cells, blanket, array, inverters, interconnect technologies, storage, structures, etc. with a balance-of-components while matching specifications of various systems. Simulated PV capability that take optimizes system components, ensures compatibility of modules/inverters, and takes temperature extremes and unique aspects of the space environment into account including radiation tolerance. Research should be conducted to demonstrate technical feasibility during Phase I and show a path toward a Phase II hardware demonstration, and when possible, deliver a demonstration unit for functional and environmental testing at the completion of the Phase II contract. Read less>>"
