Company Name,Experience With SBIR Program,Number of Employees,Is Woman Owned,Is Socially and Economically Disadvantaged,Is HUBzone Owned
AMBIHARV INC.,1,1,No,No,No
"ONECYTE BIOTECHNOLOGIES, Inc.",3,2,No,No,No
SCISCO GENETICS INC,3,N/A,No,No,No
(DCS) DIMENSIONAL CONTROL SYSTEMS,2,12,No,No,No
-9 2 -6.LLC,1,4,No,No,No
0 BASE DESIGN LLC,7,6,Yes,No,No
"0 DB CODING, INC.",1,1,No,No,No
"10 BLADE, INC.",2,N/A,No,No,No
"109 Therapeutics, Inc.",2,3,No,No,No
10dBx LLC ,1,1,No,No,No
1109 Bravo L.L.C.,2,5,No,No,No
"1442 S. FALLON STREET, LLC",1,2,Yes,Yes,Yes
149 Medical Inc.,2,5,No,No,No
1910 GENETICS INC.,1,1,Yes,No,No
"1HUDDLE, INC",4,36,No,No,No
1st Detect Corp,1,8,No,No,No
"1st Edge, LLC",2,18,No,No,No
1ST PLAYABLE PRODUCTIONS LLC,3,44,Yes,No,No
1st1 Technologies LLP,1,4,No,No,No
2 Circle Inc,2,43,No,No,No
20 20 Genesystems Inc,17,20,Yes,Yes,No
202 Group LLC,2,3,No,No,No
"2020 Company, LLC",2,49,No,Yes,No
214 Technologies Inc.,4,11,No,No,No
21MedTech LLC,1,5,Yes,No,No
"21st Century Medicine, Inc.",10,22,No,No,No
"21ST CENTURY SYSTEMS, INC.",106,9,No,No,No
"21ST CENTURY THERAPEUTICS, INC.",4,9,No,No,Yes
231 Sheep LLC,1,7,No,No,No
"23ANDME, INC.",8,236,Yes,No,No
"2B TECHNOLOGIES, INC.",13,14,No,No,No
"2CIMPLE, INC.",2,5,No,Yes,No
2enovate LLC,1,1,No,Yes,No
2g Enterprises,2,7,No,No,No
2LRESEARCH,7,2,No,Yes,No
"2morrow, Inc.",1,15,No,No,No
"2PHASE TECHNOLOGIES, INC.",6,14,No,No,No
2W ITech LLC,6,4,No,Yes,No
2witech Solutions LLC,2,3,No,Yes,No
2X4LAB LLC,1,3,No,No,No
