Focus Area Code,Subtopic code,Subtopic name
Topic O1,O1.01; O1.02; O1.03; O1.04; O1.05; O1.06; O1.07; O1.08; O1.09; O1.10; O1.11,"Coding, Modulation, and Compression; Precision Spacecraft Navigation and Tracking; Communication for Space-Based Range; Antenna Technology for Spacecraft and Planetary Surface Vehicles; Reconfigurable/Reprogrammable Communication Systems; Extravehicular (EVA) Radios; Transformational Communications Technology; Long Range Optical Telecommunications; Long Range Space  RF Telecommunications; Surface Networks and Orbit Access Links; Software for Space Communications Infrastructure Operations"
Topic O2,O2.01; O2.02; O2.03,Automated Optical Tracking and Identification of Tumbling 3D Objects; Space Transportation Propulsion System and Test Facility Requirements and Instrumentation; Automated Collection and Transfer of Launch Range Surveillance/Intrusion Data
Topic A1,A1.01; A1.02; A1.03; A1.04; A1.05; A1.06; A1.07,Vehicle-Centric 4D Trajectory and Mission Management; Integrated Resilient Aircraft Control; Aircraft Aging and Durability; Aircraft Icing Avoidance and Tolerance; Crew Systems Technologies for Improved Aviation Safety; Aviation External Hazard Sensor Technologies; Integrated Vehicle Health Management
Topic A2,A2.01; A2.02; A2.03; A2.04; A2.05; A2.06; A2.07; A2.08; A2.09; A2.10,"Materials and Structures for Future Aircraft; Combustion for Aerospace Vehicles; Aero-Acoustics; Aeroelasticity; Aerodynamics; Aerothermodynamics; Aircraft Control and Dynamics; Experimental Capabilities and Flight Research; Aircraft Systems Analysis, Design and Optimization; Rotorcraft"
Topic A3,A3.01; A3.02,Next Generation Air Transportation System - Airspace; Next Generation Air Transportation - Airportal
Topic A4,A4.01; A4.02,Test Measurement Technology; Test Techniques and Facility Development
Topic S1,S1.01; S1.02; S1.03,"Surface Robotic Exploration; Subsurface Robotic Exploration; Martian Entry, Descent and Landing Sensors"
Topic S2,S2.01; S2.02; S2.03; S2.04; S2.05,Astrobiology and Atmospheric Instruments for Planetary Exploration; In Situ Planetary Atmospheric Measurement Technologies; Energy Conversion and Power Electronics for Deep Space Missions; Flexible Antennas and Electronics for L-Band Remote Sensing; Planetary Balloons and Aerobots
Topic S3,S3.01; S3.02; S3.03; S3.04,Precision Spacecraft Formations for Advanced Telescope Systems; Proximity Glare Suppression for Characterization of Faint Astrophysical Objects; Precision Deployable Structures and Metrology for Advanced Telescope Systems; Optical Devices for Starlight Detection and Wavefront Analysis
Topic S4,S4.01; S4.02; S4.03; S4.04; S4.05; S4.06,"Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; Cryogenic Systems for Sensors and Detectors; Optics Manufacturing and Metrology for Telescopes; Data Analysis Technologies for Potential Gravity Wave Signals; Terrestrial Balloon Technology"
Topic S5,S5.01; S5.02,Voltage Supplies and Charge Amplifiers  for Solar Science Missions; Sensors for Measurement of Particles and Fields
Topic S6,S6.01; S6.02; S6.03; S6.04; S6.05,Passive Optics and Stepping Motors for Spaceborne and Airborne Platforms; Lidar System Components for Sapceborne and Airborne Platforms; Earth In Situ Sensors; Passive Microwave; Active Microwave
Topic S7,S7.01; S7.02; S7.03; S7.04; S7.05; S7.06,"Guidance, Navigation and Control Beyond Low Earth Orbit (LEO); Long Duration Command and Data Handling for Harsh Environments; Electric Propulsion; Chemical and Propellantless Propulsion for Deep Space; Power Electronic Devices, Components and Packaging; Thermal Control Technologies for Science Spacecraft"
Topic S8,S8.01; S8.02; S8.03; S8.04; S8.05,"Automation and Planning for Complex Tasks; Distributed Information Systems and Numerical Simulation; On-Board Science for Decisions and Actions; Spatial and Visual Methods for Search, Analysis and Display of Science Data; Data Management and Visualization"
Topic X1,X1.01; X1.02,Full Data Coherency Systems for Engineering Systems Modeling and Simulation; System Lifecycle Integration of Cost and Risk Models
Topic X2,X2.01; X2.02; X2.03; X2.04,"Integrated Systems Health Management; Spacecraft Autonomy; Software Engineering Technologies for Human-Rated Spacecraft; Low Temperature, Radiation Hardened Avionics"
Topic X3,X3.01; X3.02; X3.03,Spacecraft Cabin Atmospheric Management and Habitation Systems; Water Processing and Waste Management; Crewed Spacecraft Environmental Monitoring and Control and Fire Protection Systems
Topic X4,X4.01; X4.02; X4.03,Lunar Regolith Excavation and Material Handling; Oxygen Production from Lunar Regolith; Lunar Polar Resource Prospecting and Collection
Topic X5,X5.01,Motors and Drive Systems for Cryogenic Environments
Topic X6,X6.01; X6.02; X6.03,Radiation Shielding Materials and Structures; Lightweight Pressurized Structures Including Inflatables; Material Concepts for Lightweight Structure Technology Development
Topic X7,X7.01; X7.02; X7.03,"Supportability Technologies for Long-Duration Space Missions; Human-System Interaction; Surface Handling and Mobility, Transportation, and Operations Equipment (Lunar or Mars)"
Topic X8,X8.01; X8.02; X8.03,Non-Toxic Launch Vehicle Power for Thrust Vector and Engine Actuation; Space Based Nuclear Fission Power Technologies; Space Rated  Batteries and Fuel Cells for Surface Systems
Topic X9,X9.01; X9.02; X9.03; X9.04,"Long Term Cryogenic Propellant Storage, Management, and Acquisition; Innovative Booster Engine Manufacturing, Components, and Health Management; Cryogenic  and Non-Toxic Storable Propellant Space Engines; Nuclear Thermal Propulsion"
Topic X10,X10.01,Ablative Thermal Protection System for CEV
Topic X11,X11.01,Thermal Control for Lunar Surface Systems
Topic X12,X12.01; X12.02,Food Access  Beyond Low Earth Orbit; Long-Duration Space Human Factors
Topic X13,X13.01,Space Radiation Health Research Technology
Topic X14,X14.01; X14.02,Health Preservation in the Space Environment; Lunar In Situ Autonomous Health Monitoring
