Focus Area Code,Subtopic code,Subtopic name
Focus Area 1,T2.04; Z10.01; Z10.03; Z10.04,"Advanced in-space propulsion; Cryogenic Fluid Management; Nuclear Thermal Propulsion; Manufacturing processes enabling lower-cost, in-space electric propulsion thrusters"
Focus Area 2,S3.01; S3.02; S3.03; Z1.03; Z1.05; Z1.06,"Power Generation and Conversion; Dynamic Power Conversion; Energy Storage for Extreme Environments; Kilowatt-Class Energy Conversion for Small Fission Reactors; Lunar & Planetary Surface Power Management & Distribution; Radiation tolerant high-voltage, high-power electronics"
Focus Area 3,H6.22; S5.05; T4.03; T4.04,Deep Neural Net and Neuromorphic Processors for In-Space Autonomy and Cognition; Fault Management Technologies; Coordination and Control of Swarms of Space Vehicles; Autonomous Systems and Operations for the Lunar Orbital Platform-Gateway
Focus Area 4,S4.02; T4.01; Z5.04; Z5.05,"Robotic Mobility, Manipulation and Sampling; Information Technologies for Intelligent and Adaptive Space Robotics; Technologies for Intra-Vehicular Activity Robotics; Lunar Rover Technologies for In-situ Resource Utilization and Exploration"
Focus Area 5,H9.01; H9.03; H9.05; H9.07; S3.04; T5.03; T5.04,"Long Range Optical Telecommunications; Flight Dynamics and Navigation Technology; Transformational Communications Technology; Cognitive Communication; Guidance, Navigation, and Control; Electric Field Mapping and Prediction Methods within Spacecraft Enclosures; Quantum Communications"
Focus Area 6,H3.01; H3.02; H4.01; H4.05; H6.04; T6.05; T6.06; T6.07,Advancements in Carbon Dioxide Reduction: Critical Subsystems and Solid Carbon Repurposing; Microbial Monitoring for Spacecraft Cabins; Exploration Portable Life Support System Component Challenges; Liquid Cooling and Ventilation Garment Connector Upgrade and Glove Humidity Reduction; Model Based Systems Engineering for Distributed Development; Testing of COTS Systems in Space Radiation Environments; Spacecraft Water Sustainability through Nanotechnology; Space Exploration Plant Growth
Focus Area 7,H12.01; H12.05,Radioprotectors and Mitigators of Space Radiation-induced Health Risks; Autonomous Medical Operations
Focus Area 8,T2.05; Z12.01,"Advanced Concepts for Lunar and Martian Propellant Production, Storage, Transfer, and Usage; Extraction of Oxygen from Lunar Regolith"
Focus Area 9,S1.01; S1.02; S1.03; S1.04; S1.05; S1.06; S1.07; S1.08; S1.09; S1.10; S1.11; S1.12; T8.04; T8.06,"Lidar Remote Sensing Technologies; Technologies for Active Microwave Remote Sensing; Technologies for Passive Microwave Remote Sensing; Sensor and Detector Technologies for Visible, IR, Far-IR, and Submillimeter; Detector Technologies for UV, X-Ray, Gamma-Ray Instruments; Particles and Fields Sensors & Instrument Enabling Technologies; In Situ Instruments/Technologies for Lunar and Planetary Science; Suborbital Instruments and Sensor Systems for Earth Science Measurements; Cryogenic Systems for Sensors and Detectors; Atomic Interferometry; In Situ Instruments/Technologies and Plume Sampling Systems for Ocean Worlds Life Detection; Remote Sensing Instrument Technologies for Heliophysics; Metamaterials and Metasurfaces Technology  for Remote Sensing Applications; Quantum Sensing and Measurement"
Focus Area 10,S2.01; S2.02; S2.03; S2.04; S2.05,"Proximity Glare Suppression for Astronomical Direct Detection of Exoplanets; Precision Deployable Optical Structures and Metrology; Advanced Optical Systems and Fabrication/Testing/Control Technologies for EUV/Optical and IR Telescope; X-Ray Mirror Systems Technology, Coating Technology for X-Ray-UV-OIR, and Free-Form Optics; Technology for the Precision Radial Velocity Measurement Technique"
Focus Area 11,S3.05; S3.08; S4.04; S4.05; Z2.02,"Terrestrial Balloons and Planetary Aerial Vehicles; Command, Data Handling, and Electronics; Extreme Environments Technology; Contamination Control and Planetary Protection; High Performance Space Computing Technology"
Focus Area 12,H5.02; Z7.01; Z7.03; Z7.04; Z7.05; Z7.06,"Hot Structure Technology for Aerospace Vehicles; Entry Descent & Landing Sensors for Environment Characterization, Vehicle Performance, and Guidance, Navigation and Control; Deployable Aerodynamic Decelerator Technology; Lander Systems Technologies; 3D Weaving Diagnostics; Diagnostic tools for high enthalpy and high temperature materials testing and analysis"
Focus Area 13,S5.01; S5.03; S5.04; S5.06,Technologies for Large-Scale Numerical Simulation; Accelerating NASA Science and Engineering through the Application of Artificial Intelligence; Integrated Science Mission Modeling; Space Weather R2O/O2R Technology Development
Focus Area 14,T12.06; Z3.03; Z3.04; Z3.05,Extensible Modeling of Additive Manufacturing Processes; Development of material joining technologies and large-scale additive manufacturing processes for on-orbit manufacturing and construction; Autonomous Modular Assembly Technology for OSAM; Satellite Servicing Technologies
Focus Area 15,H5.01; T12.01; T12.05; Z4.04; Z4.05,"Lunar Surface Solar Array Structures; Thin-Ply Composite Technology and Applications; Deposition and Curing of Thermoset Resin Mixtures for Thermal Protection; Real Time Defect Detection, Identification and Correction in Wire-Feed Additive Manufacturing Processes; Nondestructive Evaluation (NDE) Sensors, Modeling, and Analysis"
