Focus Area Code,Subtopic code,Subtopic name
Topic O1,O1.01; O1.02; O1.03; O1.04; O1.05; O1.06,Antenna Technology; Reconfigurable/Reprogrammable Communication Systems; Game Changing Technologies; Long Range Optical Telecommunications; Long Range Space RF Telecommunications; CoNNeCT Experiments
Topic O2,O2.01; O2.02; O2.03; O2.04; O2.05,Nano/Small Sat Launch Vehicle Technology; Propulsion Technologies; 21st Century Spaceport Ground Systems Technologies; Advanced Tank Technology Development; Advanced Propulsion Testing Technologies
Topic O3,O3.01; O3.02; O3.03; O3.04; O3.05; O3.06,Remotely Operated Mobile Sensing Technologies for inside ISS; ISS Utilization; ISS Demonstration & Development of Improved Exploration Technologies; Vehicle Integration and Ground Processing; Advanced Motion Imaging; Environmental Control Systems & Technologies for NR & Cubesats
Topic O4,O4.01; O4.02; O4.03,"Metric Tracking of Launch Vehicles; PNT (Positioning, Navigation, and Timing) Sensors and Components; Flight Dynamics Technologies and Software"
Topic A1,A1.01; A1.02; A1.03; A1.04; A1.05; A1.06; A1.07; A1.08; A1.09; A1.10; A1.11; A1.12; A1.13; A1.14; A1.15; A1.16; A1.17; A1.18; A1.19; A1.20,"Aviation External Hazard Sensor Technologies; Inflight Icing Hazard Mitigation Technology; Durable Propulsion Components; Airframe Design and Sustainment; Sensing and Diagnostic Capabilities for Degradation in Aircraft Materials and Structures; Propulsion Health State Assessment and Management; Avionics Health State Assessment and Management; Crew Systems Technologies for Improved Aviation Safety; Integrated Vehicle Dynamics Modeling Methods for LOC Conditions; Advanced Dynamic Testing Capability for Abnormal Flight Conditions; Transport Aircraft Simulator Motion Fidelity For Abnormal Flight Conditions; Propulsion System Performance Prediction for Integrated Flight and Propulsion Control; Advanced Upset Protection System; Detection, Identification, and Mitigation of Sensor Failures; Unmanned Vehicle Design for Loss-of-Control Flight Research; Validation Methods for Safety-Critical Systems Operating under LOC Conditions; Data Mining and Knowledge Discovery; Prognostics and Decision Making; Technologies for Improved Design and Analysis of Safety-Critical Dynamic Systems; Verification and Validation of Flight-Critical Systems"
Topic A2,A2.01; A2.02; A2.03; A2.04; A2.05; A2.06; A2.07; A2.08; A2.09; A2.10,"Materials and Structures for Future Aircraft; Combustion for Aerospace Vehicles; Aero-Acoustics; Aeroelasticity; Aerodynamics; Aerothermodynamics; Flight and Propulsion Control and Dynamics; Aircraft Systems Analysis, Design and Optimization; Rotorcraft; Propulsion Systems"
Topic A3,A3.01; A3.02,Concepts and Technology Development (CTD); Systems Analysis Integration Evaluation (SAIE)
Topic A4,A4.01; A4.02,Ground Test Techniques and Measurement Technology; Flight Test Techniques and Measurement Technology
Topic A5,A5.01,UAS Integration in the NAS
Topic S1,S1.01; S1.02; S1.03; S1.04; S1.05; S1.06; S1.07; S1.08; S1.09; S1.10; S1.11,"Lidar and Laser System Components; Active Microwave Technologies; Passive Microwave Technologies; Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; Particles and Field Sensors and Instrument Enabling Technologies; Cryogenic Systems for Sensors and Detectors; In Situ Airborne, Surface, and Submersible Instruments for Earth Science; In Situ Sensors and Sensor Systems for Lunar and Planetary Science; Atomic Interferometry; Planetary Orbital Sensors and Sensor Systems (POSSS)"
