Focus Area Code,Subtopic code,Subtopic name
Focus Area 1,Z10.01; Z10.04; Z10.05,"Cryogenic Fluid Management; Materials, Processes, and Technologies for Advancing In-Space Electric Propulsion Thrusters; Rotating Detonation Rocket Engines (RDRE)"
Focus Area 2,S13.07; S16.01; Z1.05; Z1.06; Z1.08,"Energy Storage for Extreme Environments; Photovoltaic Power Generation and Conversion; Lunar and Planetary Surface Power Management and Distribution; Radiation-Tolerant High-Voltage, High-Power Electronics; Space-Rated Fuel Cell Technologies"
Focus Area 3,H6.22; H6.23; S17.03,Deep Neural Net and Neuromorphic Processors for In-Space Autonomy and Cognition; Spacecraft Autonomous Agent Cognitive Architectures for Human Exploration; Fault Management Technologies
Focus Area 4,S13.01; Z5.04; Z14.01,"Robotic Mobility, Manipulation and Sampling; Intravehicular Robot (IVR) Technologies; Lunar Surface Excavation"
Focus Area 5,H9.01; H9.03; H9.07; S16.03,"Long-Range Optical Telecommunications; Flight Dynamics and Navigation Technologies; Cognitive Communication; Guidance, Navigation, and Control"
Focus Area 6,H3.08; H3.09; H4.06; H4.07,"Challenges in Carbon Dioxide Removal and Reduction: Carbon Particulate and Thermal Management; Human Accommodations; Low-Power Multi-Gas Sensor for Spacesuits; Low Volume, Power and Mass CO2 and Humidity Control for xEMU"
Focus Area 7,H12.07,Protective Pharmaceutical Packaging
Focus Area 8,Z12.01,"Extraction of Oxygen, Metal, and Water from Lunar Regolith"
Focus Area 9,S11.01; S11.02; S11.03; S11.04; S11.05; S12.06; S13.05; S13.06; S14.02; S14.03; S15.01; S16.07; S16.08,"Lidar Remote-Sensing Technologies; Technologies for Active Microwave Remote Sensing; Technologies for Passive Microwave Remote Sensing; Sensor and Detector Technologies for Visible, Infrared (IR), Far-IR, and Submillimeter; Suborbital Instruments and Sensor Systems for Earth Science Measurements; Detector Technologies for Ultraviolet (UV), X-Ray, and Gamma-Ray Instruments; In Situ Instruments/Technologies for Lunar and Planetary Science; In Situ Instruments/Technologies and Plume Sampling Systems for Ocean Worlds Life Detection; Particle and Field Sensors and Instrument-Enabling Technologies; Remote Sensing Instrument Technologies for Heliophysics; Plant Research Capabilities in Space; Cryogenic Systems for Sensors and Detectors; Atomic Quantum Sensor and Clocks"
Focus Area 10,S12.01; S12.02; S12.03; S12.04,"Exoplanet Detection and Characterization Technologies; Precision Deployable Optical Structures and Metrology; Advanced Optical Systems and Fabrication/Testing/Control Technologies for Extended-Ultraviolet/Optical and Infrared Telescope; X-Ray Mirror Systems Technology, Coating Technology for X-Ray-UV-OIR, and Free-Form Optics"
Focus Area 11,S13.02; S13.03; S13.04; S16.04; S16.06; Z2.02; Z2.03,"Spacecraft Technology for Sample Return Missions; Extreme Environments Technology; Contamination Control and Planetary Protection; Unpiloted Aerial Platforms and Technologies for NASA Science Missions; Command, Data Handling, and Electronics; High-Performance Space Computing Technology; Human Interfaces for Space Systems"
Focus Area 12,H5.02; Z7.01; Z7.03; Z7.04,"Hot Structure Technology for Aerospace Vehicles; Entry, Descent, and Landing Flight Sensors and Instrumentation; Entry and Descent System Technologies; Landing Systems Technologies"
Focus Area 13,S11.06; S14.01; S17.02; S17.04,Earth Science Decision Support Tools Focused on the Mitigation of Climate Change Impacts; Space Weather Research-to-Operations/Operations-to-Research (R2O/O2R) Technology Development; Integrated Science Mission Modeling; Application of Artificial Intelligence for Science Modeling and Instrumentation
Focus Area 15,H5.01; H5.05; Z4.05; Z4.07; Z14.02,"Lunar Surface 50 kW-Class Solar Array Structures; Inflatable Softgoods for Next Generation Habitation Systems; Nondestructive Evaluation (NDE) Sensors, Modeling, and Analysis; Advanced Materials and Manufacturing for In-Space Operations; Extraterrestrial Surface Construction"
Focus Area 16,H10.01; H10.02,Advanced Propulsion Systems Ground Test Technology; Autonomous Operations Technologies for Ground and Launch Systems
Focus Area 17,S16.05; Z2.01,Thermal Control Systems; Spacecraft Thermal Management
Focus Area 18,A1.01; A1.02; A1.03; A1.04; A1.05; A1.06; A1.08,Aeroelasticity and Aeroservoelastic Control; Quiet Performance - Aircraft Propulsion Noise; Low Emissions/Clean Power - Environmentally Responsible Propulsion; Electrified Aircraft Propulsion; Computational Tools and Methods; Vertical Lift Technology for Urban Air Mobility -Electric Motor Fault Mitigation Technology; Aeronautics Ground Test and Measurement Technologies
Focus Area 19,A2.01; A2.02; A2.03; A2.04,Flight Test and Measurement Technologies; Enabling Aircraft Autonomy; Advanced Air Mobility (AAM) Integration; AERONAUTICAL INFORMATION SYSTEM SECURITY (AISS): Aircraft Systems
Focus Area 20,A3.01; A3.02; A3.03; A3.04,Advanced Air Traffic Management System Concepts; Increasing Autonomy in the National Airspace System (NAS); Future Aviation Systems Safety; Nontraditional Airspace Operations and Aerial Wildfire Response
Focus Area 21,Z8.02; Z8.09; Z8.10; Z8.13,Communications and Navigation for Distributed Small Spacecraft Beyond Low Earth Orbit (LEO); Small Spacecraft Transfer Stage Development; Modular Systems for Cost-Effective Spacecraft Missions; Space Debris Prevention for Small Spacecraft
Focus Area 22,H8.01,Low-Earth Orbit Platform and Microgravity Utilization for Terrestrial Applications
Focus Area 24,Z13.01; Z13.02; Z13.03; Z13.04,Active and Passive Dust Mitigation Surfaces; Mechanisms for Extreme Environments; Technologies for Spacesuits in Extreme Surface Environments; Lunar Dust Filtration and Monitoring
