Focus Area Code,Subtopic code,Subtopic name
Topic O1,O1.01; O1.02; O1.03; O1.04; O1.05; O1.06; O1.07; O1.08; O1.09,"Coding, Modulation, and Compression; Antenna Technology; Reconfigurable/Reprogrammable Communication Systems; Miniaturized Digital EVA Radio; Communication for Space-Based Range; Long Range Optical Telecommunications; Long Range Space  RF Telecommunications; Lunar Surface Communication Networks and Orbit Access Links; Software for Space Communications Infrastructure Operations"
Topic O2,O2.01; O2.02,Automated Collection and Transfer of Launch Range Surveillance/Intrusion Data; Ground Test Facility Instrumentation
Topic O3,O3.01; O3.02; O3.03,Crew Health and Safety Including Medical Operations; Human interface systems and technologies for spacesuits; Vehicle Integration and Ground Processing
Topic O4,O4.01; O4.02; O4.03; O4.04,Metric Tracking of Launch Vehicles; Precision Spacecraft Navigation and Tracking; Lunar Surface Navigation; Timing
Topic A1,A1.01; A1.02; A1.03; A1.04; A1.05; A1.06; A1.07; A1.08; A1.09; A1.10; A1.11; A1.12,Mitigation of Aircraft Aging and Durability-related Hazards; Sensing and Diagnostic Capability for Aircraft Aging and Damage; Prediction of Aging Effects; Aviation External Hazard Sensor Technologies; Crew Systems Technologies for Improved Aviation Safety; Technologies for Improved Design and Analysis of Flight Deck Automation; On-Board Flight Envelope Estimation for Unimpaired and Impaired Aircraft; Engine Lifing and Prognosis for In-Flight Emergencies; Robust Flare Planning and Guidance for Unimpaired and Impaired Aircraft; Detection of In-Flight Aircraft Anomalies; Integrated Diagnosis and Prognosis of Aircraft Anomalies; Mitigation of Aircraft Structural Damage
Topic A2,A2.01; A2.02; A2.03; A2.04; A2.05; A2.06; A2.07; A2.08; A2.09; A2.10,"Materials and Structures for Future Aircraft; Combustion for Aerospace Vehicles; Aero-Acoustics; Aeroelasticity; Aerodynamics; Aerothermodynamics; Flight and Propulsion Control and Dynamics; Aircraft Systems Analysis, Design and Optimization; Rotorcraft; Propulsion Systems"
Topic A3,A3.01; A3.02,NextGen Airspace; NextGen Airportal
Topic A4,A4.01; A4.02,Ground Test Techniques and Measurement Technology; Flight Test Techniques and Measurement Technology
Topic S1,S1.01; S1.02; S1.03; S1.04; S1.05; S1.06; S1.07; S1.08; S1.09; S1.10; S1.11,"Lidar System Components; Active Microwave Technologies; Passive Microwave Technologies; Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; Particles and Field Sensors and Instrument Enabling Technologies; Cryogenic Systems for Sensors and Detectors; In Situ Airborne, Surface, and Submersible Instruments for Earth Science; In Situ Sensors and Sensor Systems for Planetary Science; Space Geodetic Observatory Components; Lunar Science Instruments and Technology"
Topic S2,S2.01; S2.02; S2.03; S2.04; S2.05,Precision Spacecraft Formations for Telescope Systems; Proximity Glare Suppression for Astronomical Coronagraphy; Precision Deployable Optical Structures and Metrology; Optical Devices for Starlight Detection and Wavefront Analysis; Optics Manufacturing and Metrology for Telescope Optical Surfaces
Topic S3,S3.01; S3.02; S3.03; S3.04; S3.05,"Avionics and Electronics; Thermal Control Systems; Power Generation and Storage; Propulsion Systems; Balloon Technology, Terrestrial and Planetary"
Topic S4,S4.01; S4.02; S4.03; S4.04,NanoSat Launch Vehicle Technologies; Rapid End-to-End Mission Design and Simulation; Cost Modeling; Reusable Flight Software
Topic S5,S5.01; S5.02; S5.03; S5.04,"Planetary Entry, Descent, Ascent, Rendezvous and Landing Technology; Sample Collection, Processing, and Handling; Surface and Subsurface Robotic Exploration; Technologies for Low Mass Mars Ascent Vehicles (PAV)"
Topic S6,S6.01; S6.02; S6.03; S6.04; S6.05,"Technologies for Large-Scale Numerical Simulation; Sensor and Platform Data Processing & Control; Data Analyzing and Processing Algorithms; Data Management - Storage, Mining and Visualization; Software as a Service to Large Scale Modeling"
Topic X1,X1.01; X1.02; X1.03; X1.04,Automation for Vehicle and Habitat Operations; Reliable Software for Exploration Systems; Radiation Hardened/Tolerant and Low Temperature Electronics and Processors; Integrated System Health Management for Ground Operations
Topic X2,X2.01; X2.02; X2.03; X2.04; X2.05,Spacecraft Cabin Ventilation and Thermal Control; Spacecraft Cabin Atmospheric Resource Management and Particulate Matter Removal; Spacecraft Habitation and Waste Management Systems; Spacecraft Environmental Monitoring and Control; Spacecraft Fire Protection
Topic X3,X3.01; X3.02; X3.03,Lunar Regolith Excavation and Material Handling; Oxygen Production from Lunar Regolith; Lunar ISRU Development and Precursor Activities
Topic X4,X4.01; X4.02; X4.03; X4.04; X4.05; X4.06,Low Temperature Mechanisms; Advanced Radiation Shielding Materials and Structures; Expandable Structures; Composite Structures - NDE/Structures Health Monitoring; Composite Structures - Cryotanks; Composite Structures - Manufacturing
Topic X5,X5.01; X5.02; X5.03,Lunar Surface Systems; Surface System Dust Mitigation; Extravehicular Activity (EVA)
Topic X6,X6.01; X6.02,Fuel Cells for Surface Systems; Advanced Space-Rated Batteries
Topic X7,X7.01; X7.02; X7.03,Cryogenic Storage for Space Exploration Applications; Cryogenic Fluid Transfer and Handling; Cryogenic Instrumentation for Ground and Flight Systems
Topic X8,X8.01,"Detachable, Human-Rated, Ablative Environmentally Compliant TPS"
Topic X9,X9.01,Crew Exercise System
Topic X10,X10.01; X10.02,In Flight Diagnosis and Treatment; EVA Suit Monitoring and Treatment
Topic X11,X11.01,Behavioral Assessment Tools
Topic X12,X12.01; X12.02,Space Human Factors Assessment Tools; Advanced Food Technologies
Topic X13,X13.01; X13.02,Active Charged Particle and Neutron Radiation Measurement Technologies; Technology/Technique for Imaging Radiation Damage at the Cellular Level
Topic X14,X14.01; X14.02,On Orbit Ambient Biological Sample Preservation Techniques; On Orbit Cell Counting and Analysis Capability
