Higher Topic,Focus Area,Content,Subtopics,Subtopics_encoding,Subtopics_name
Space Operations,Topic O1 Space Communications,"NASA's communications capability  is based on the premise that communications shall enable and not constrain  missions. Communications must be robust to support the numerous missions for  space science, Earth science and exploration of the universe. Technologies such  as optical communications, RF including antennas and ground based Earth  stations, surface networks, access links, reprogrammable communications  systems, communications systems for EVAs, advanced antenna technology, transmit  array concepts and communications in support of launch services including space  based assets are very important to the future of exploration and science  activities of the Agency. Emphasis is placed on size, weight and power  improvements. Even greater emphasis is placed on these attributes as small  satellites (e.g., micro and nano satellite) technology matures. Innovative  solutions centered around operational issues associated with the communications  capability are needed. Communications that enable the range safety data from  sensitive instruments is imperative. These technologies are to be aligned with  the Space Communications and Navigation Architecture as being developed by the  Agency. See https://www.spacecomm.nasa.gov/spacecomm/ for more details. A typical approach for flight hardware would include: Phase 1  - Research to identify and evaluate candidate telecommunications technology  applications to demonstrate the technical feasibility and show a path towards a  hardware/software demonstration. Bench or lab-level demonstrations are  required. Phase 2 - Emphasis should be placed on developing and demonstrating  the technology under simulated flight conditions. The proposal shall outline a  path showing how the technology could be developed into space-worthy systems.  The contract should deliver a demonstration unit for functional and  environmental testing at the completion of the Phase 2 contract. Some of the  subtopics in this topic could result in products that may be included in a  future small satellite flight opportunity. Please see the SMD Topic S4 for more  details as to the requirements for flight opportunities.","O1.01Coding, Modulation, and Compression; O1.02Antenna Technology; O1.03Reconfigurable/Reprogrammable Communication Systems; O1.04Miniaturized Digital EVA Radio; O1.05Communication for Space-Based Range; O1.06Long Range Optical Telecommunications; O1.07Long Range Space  RF Telecommunications; O1.08Lunar Surface Communication Networks and Orbit Access Links; O1.09Software for Space Communications Infrastructure Operations",O1.01; O1.02; O1.03; O1.04; O1.05; O1.06; O1.07; O1.08; O1.09,"Coding, Modulation, and Compression; Antenna Technology; Reconfigurable/Reprogrammable Communication Systems; Miniaturized Digital EVA Radio; Communication for Space-Based Range; Long Range Optical Telecommunications; Long Range Space  RF Telecommunications; Lunar Surface Communication Networks and Orbit Access Links; Software for Space Communications Infrastructure Operations"
Space Operations,Topic O2 Space Transportation,"Achieving space flight can be  astonishing. It is an undertaking of great complexity, requiring numerous  technological and engineering disciplines and a high level of organizational  skill. Overcoming Earth's gravity to achieve orbit demands collections of  quality data to maintain the security required of the range. The harsh  environment of space puts tight constraints on the equipment needed to perform  the necessary functions. Not only is there a concern for safety but the 2004  Space Transportation Policy directive that states that the U.S. maintains  robust transportation capabilities to assure access to space. Given this  backdrop, this topic is designed to address technologies to enable a safer and  more reliable space transportation capability. Automated collection of range  data, and instrumentation for space transportation system testing are all  required. The following subtopics are required to secure technologies for these  capabilities.",O2.01Automated Collection and Transfer of Launch Range Surveillance/Intrusion Data; O2.02Ground Test Facility Instrumentation,O2.01; O2.02,Automated Collection and Transfer of Launch Range Surveillance/Intrusion Data; Ground Test Facility Instrumentation
Space Operations,Topic O3 Processing and Operations,"The Space Operations Mission  Directorate (SOMD) is responsible for providing mission critical space  exploration services to both NASA customers and to other partners within the  U.S. and throughout the world: from flying the Space Shuttle, to assembling the  International Space Station; ensuring safe and reliable access to space;  maintaining secure and dependable communications between platforms across the  solar system; and ensuring the health and safety of our Nation's astronauts.  Each of the activities includes both ground-based and in-flight processing and  operations tasks. Support for these tasks that ensures they are accomplished  efficiently and accurately enables successful missions and healthy crew.",O3.01Crew Health and Safety Including Medical Operations; O3.02Human interface systems and technologies for spacesuits; O3.03Vehicle Integration and Ground Processing,O3.01; O3.02; O3.03,Crew Health and Safety Including Medical Operations; Human interface systems and technologies for spacesuits; Vehicle Integration and Ground Processing
Space Operations,Topic O4 Navigation,"
  NASA is seeking innovative  research in the areas of positioning, navigation, and timing (PNT) that have  relevance to Space Communications and Navigation programs and goals, as  described at http://www.spacecomm.nasa.gov.  NASA’s Space Communication and Navigation Office considers the three elements  of PNT to represent distinct, constituent capabilities: (1) positioning, by  which we mean accurate and precise determination of an asset’s location and  orientation referenced to a coordinate system; (2) navigation, by which we mean  determining an asset’s current and/or desired absolute or relative position and  velocity state, and applying corrections to course, orientation, and velocity  to attain achieve the desired state; and (3) timing, by which we mean an  asset’s acquiring from a standard, maintaining within user-defined parameters,  and transferring where required, an accurate and precise representation of  time. NASA has divided its PNT interests into six focus areas: (1) Global  Positioning System (GPS) (2) Distress Alerting Satellite System (DASS) (3)  Flight Dynamics (4) Tracking and Data Relay Satellite System (TDRSS) (5) TDRSS  Augmentation Service for Satellites (TASS) (6) Geodesy This year, NASA seeks technology  in focus areas (1), (3), (4), and (5), and related areas that provides PNT  support and services for NASA’s current tracking and communications networks  and systems—including tracking during launch and landing operations, and  research and technology relevant to the planning and development of PNT support  and services for NASA’s Project Constellation, including lunar surface  operations, and other Exploration and Science Programs that NASA may undertake  over the next two decades. Some of the subtopics in this topic could result in  products that may be included in a future small satellite flight opportunity.  Please see the Science MD Topic S4 for more details as to the requirements for  flight opportunities.",O4.01Metric Tracking of Launch Vehicles; O4.02Precision Spacecraft Navigation and Tracking; O4.03Lunar Surface Navigation; O4.04Timing,O4.01; O4.02; O4.03; O4.04,Metric Tracking of Launch Vehicles; Precision Spacecraft Navigation and Tracking; Lunar Surface Navigation; Timing
Aeronautics Research,Topic A1 Aviation Safety,"The Aviation Safety Program focuses on the Nation's aviation safety challenges of the future. This vigilance for safety must continue in order to meet the projected increases in air traffic capacity and realize the new capabilities envisioned for the Next Generation Air Transportation System (NextGen). The Aviation Safety Program will conduct research to improve the intrinsic safety attributes of future aircraft and to eliminate safety-related technology barriers. The program is focusing on a foundational approach to advancing knowledge in core disciplines (e.g., computational methods, material science), which in turn are used to build integrated multidisciplinary system-level models, tools, and technologies. This year, the scope of the aviation safety subtopics has been focused to develop specific technologies that are needed to accomplish program goals. It is expected there will be approximately one award per A1 subtopic with quality proposals. 

 This approach focuses on furthering our understanding of the underlying physics, chemistry, materials, etc. of aeronautics phenomena when broken down to these most basic elements. The results at the fundamental level will be integrated at the discipline and multi-discipline levels to ultimately yield system-level integrated capabilities, methods, and tools for analysis, optimization, prediction, and design that will enable improved safety for a range of missions, vehicle classes, and crew configurations. 

 Example areas of program interest include research directed at the detection, prediction and mitigation/management of aging-related hazards of future civilian and military aircraft; designs of revolutionary adaptive flight decks; in-flight detection, diagnosis, prognosis of aircraft health, preventative and adaptive systems for in-flight operability; informed logistics and maintenance graceful recovery from in-flight failures; software safety assurance and formal verification methods for safety-critical systems; as well as system-level integrated resilient control technologies. 

 NASA seeks highly innovative proposals that will complement its work in science and technologies that build upon and advance the Agency's unique safety-related research capabilities vital to aviation safety. Additional information is available at http://www.aeronautics.nasa.gov/programs_avsafe.htm.",A1.01Mitigation of Aircraft Aging and Durability-related Hazards; A1.02Sensing and Diagnostic Capability for Aircraft Aging and Damage; A1.03Prediction of Aging Effects; A1.04Aviation External Hazard Sensor Technologies; A1.05Crew Systems Technologies for Improved Aviation Safety; A1.06Technologies for Improved Design and Analysis of Flight Deck Automation; A1.07On-Board Flight Envelope Estimation for Unimpaired and Impaired Aircraft; A1.08Engine Lifing and Prognosis for In-Flight Emergencies; A1.09Robust Flare Planning and Guidance for Unimpaired and Impaired Aircraft; A1.10Detection of In-Flight Aircraft Anomalies; A1.11Integrated Diagnosis and Prognosis of Aircraft Anomalies; A1.12Mitigation of Aircraft Structural Damage,A1.01; A1.02; A1.03; A1.04; A1.05; A1.06; A1.07; A1.08; A1.09; A1.10; A1.11; A1.12,Mitigation of Aircraft Aging and Durability-related Hazards; Sensing and Diagnostic Capability for Aircraft Aging and Damage; Prediction of Aging Effects; Aviation External Hazard Sensor Technologies; Crew Systems Technologies for Improved Aviation Safety; Technologies for Improved Design and Analysis of Flight Deck Automation; On-Board Flight Envelope Estimation for Unimpaired and Impaired Aircraft; Engine Lifing and Prognosis for In-Flight Emergencies; Robust Flare Planning and Guidance for Unimpaired and Impaired Aircraft; Detection of In-Flight Aircraft Anomalies; Integrated Diagnosis and Prognosis of Aircraft Anomalies; Mitigation of Aircraft Structural Damage
Aeronautics Research,Topic A2 Fundamental Aeronautics,"The Fundamental Aeronautics  Program (FAP) encompasses the principles of flight in any atmosphere, and at  any speed. The program develops focused technological capabilities, starting  with the most basic knowledge of underlying phenomena through validation and  verification of advanced concepts and technologies at the component and systems  level. Physics-based, multidisciplinary design, analysis, and optimization  (MDAO) tools will be developed that make it possible to evaluate radically new vehicle  designs and to assess, with known uncertainties, the potential impact of  innovative technologies and concepts on a vehicle's overall performance. The  development of advanced component technologies will realize revolutionary  improvements in noise, emissions, and performance. The program also supports  NASA's human and robotic exploration missions by advancing knowledge in  aeronautical areas critical to planetary Entry, Descent, and Landing. 
NASA has defined a four-level  approach to technology development: conduct foundational research to further  our fundamental understanding of the underlying physics and our ability model  that physics; leverage the foundational research to develop technologies and  analytical tools focused on discipline-based solutions; integrate methods and  technologies to develop multi-disciplinary solutions; and solve the aeronautics  challenges for a broad range of air vehicles with system-level optimization,  assessment and technology integration. 
Structurally, the FAP is composed  of four projects: hypersonic flight, supersonic flight, subsonic fixed-wing  aircraft and subsonic rotary-wing aircraft. 
 Hypersonics 
   Fundamental research in all disciplines to enable very-high speed flight and re-entry into planetary atmospheres 
 High-temperature materials; thermal protection systems; advanced propulsion; aero-thermodynamics; multi-disciplinary analysis and design; guidance, navigation, and control (GNC); advanced experimental capabilities 

 Supersonics 
   Eliminate environmental and performance barriers that prevent practical supersonic vehicles 
 Supersonic deceleration technology for Entry, Descent, and Landing into Mars 

 Subsonic Fixed Wing (SFW) 
   Develop revolutionary technologies and aircraft concepts with highly improved performance satisfying strict noise and emission constraints 
 Focus on enabling technologies: acoustics predictions, propulsion/combustion, system integration, high-lift concepts, lightweight and strong materials, GNC 

 Subsonic Rotary Wing (SRW) 
   Improve civil potential of rotary wing vehicles while maintaining their unique benefits 
 Key advances in multiple areas through innovation in materials, aeromechanics, flow control, propulsion 

 Each project addresses specific discipline, multi-discipline, sub-system and system level technology issues relevant to that flight regime. A key aspect of the Fundamental Aeronautics Program is that many technical issues are common across multiple flight regimes and may be best resolved in an integrated coordinated manner. As such, the FAP subtopics are organized by discipline, not by flight regime, with a special subtopic for rotary-wing issues. Additional information is available at http://www.aeronautics.nasa.gov/fap/index.html.","A2.01Materials and Structures for Future Aircraft; A2.02Combustion for Aerospace Vehicles; A2.03Aero-Acoustics; A2.04Aeroelasticity; A2.05Aerodynamics; A2.06Aerothermodynamics; A2.07Flight and Propulsion Control and Dynamics; A2.08Aircraft Systems Analysis, Design and Optimization; A2.09Rotorcraft; A2.10Propulsion Systems",A2.01; A2.02; A2.03; A2.04; A2.05; A2.06; A2.07; A2.08; A2.09; A2.10,"Materials and Structures for Future Aircraft; Combustion for Aerospace Vehicles; Aero-Acoustics; Aeroelasticity; Aerodynamics; Aerothermodynamics; Flight and Propulsion Control and Dynamics; Aircraft Systems Analysis, Design and Optimization; Rotorcraft; Propulsion Systems"
Aeronautics Research,Topic A3 Airspace Systems,"NASA's Airspace Systems (AS)  Program is investing in the development of innovative concepts and technologies  to support the development of the Next Generation Air Transportation System  (NGATS is also commonly known as NextGen). NASA is working to develop, validate  and transfer advanced concepts, technologies, and procedures through  partnership with the Federal Aviation Administration (FAA) and other government  agencies represented in the Joint Planning and Development Office (JPDO), and  in cooperation with the U.S. aeronautics industry and academia. As such, the AS  Program will develop and demonstrate future concepts, capabilities, and  technologies that will enable major increases in air traffic management  effectiveness, flexibility, and efficiency, while maintaining safety, to meet  capacity and mobility requirements of NextGen. The AS Program integrates the  two projects, NextGen Airspace and NextGen Airportal, to directly address the  fundamental research needs of NextGen vision in partnership with the member  agencies of the JPDO. The NextGen Airspace Project develops and explores fundamental  concepts and integrated solutions that address the optimal allocation of ground  and air automation technologies necessary for NextGen. The project will focus  NASA's technical expertise and world-class facilities to address the question  of where, when, how and the extent to which automation can be applied to moving  aircraft safely and efficiently through the NAS. The NextGen Airportal Project  develops and validates algorithms, concepts, and technologies to increase  throughput of the runway complex and achieve high efficiency in the use of  airportal resources such as gates, taxiways, runways, and final approach  airspace. NASA research in this project will lead to development of solutions  that safely integrate surface and terminal area air traffic optimization tools  and systems with 4-D trajectory operations. Ultimately, the roles and  responsibilities of humans and automation influence in the ATM will be  addressed by both projects. Key objectives of NASA's AS Program are to: 

Improve mobility, capacity, efficiency and access of   the airspace system; 
Improve collaboration, predictability, and   flexibility for the airspace users; 
Enable accurate modeling and simulation of air   transportation systems; 
Accommodate operations of all classes of aircraft;   and 
Maintain system safety and environmental protection. 

Additional information is  available at http://www.aeronautics.nasa.gov/programs_asp.htm.",A3.01NextGen Airspace; A3.02NextGen Airportal,A3.01; A3.02,NextGen Airspace; NextGen Airportal
Aeronautics Research,Topic A4 Aeronautics Test Technologies,"NASA has implemented the  Aeronautics Test Program (ATP) within its Aeronautics Research Mission  Directorate (ARMD). The purpose of the ATP is to ensure the long term  availability and health of NASA's major wind tunnels/ground test facilities and  flight operations/test infrastructure that support NASA, DoD and U.S. industry  research and development (R&D) and test and evaluation (T&E) needs.  Furthermore, ATP provides rate stability to the aforementioned user community.  The ATP facilities are located at the NASA Research Centers, including at Ames  Research Center, Dryden Flight Research Center, Glenn Research Center and  Langley Research Center. Classes of facilities within the ATP include low speed  wind tunnels, transonic wind tunnels, supersonic wind tunnels, hypersonic wind  tunnels, hypersonic propulsion integration test facilities, air-breathing  engine test facilities, the Western Aeronautical Test Range (WATR), support  aircraft, test bed aircraft, and the simulation and loads laboratories. A key  component of ensuring a test facility's long term viability is to implement and  continually improve on the efficiency and effectiveness of that facility's  operations. To operate a facility in this manner requires the use of  state-of-the-art test technologies and test techniques, creative facility  performance capability enhancements, and novel means of acquiring test data.  NASA is soliciting proposals in the areas of instrumentation, test measurement  technology, test techniques and facility development that apply to the ATP  facilities to help in achieving the ATP goals of sustaining and improving our  test capabilities. Proposals that describe products or processes that are  transportable across multiple facility classes are of special interest. The  proposals will also be assessed for their ability to develop products that can  be implemented across government-owned, industry and academic institution test  facilities. Additional information:  http://www.aeronautics.nasa.gov/atp/index.html.",A4.01Ground Test Techniques and Measurement Technology; A4.02Flight Test Techniques and Measurement Technology,A4.01; A4.02,Ground Test Techniques and Measurement Technology; Flight Test Techniques and Measurement Technology
Science,"Topic S1 Sensors, Detectors and Instruments","
  NASA's Science Mission Directorate (SMD) (http://nasascience.nasa.gov/)  encompasses research in the areas of Astrophysics (http://nasascience.nasa.gov/astrophysics),  Earth Science (http://nasascience.nasa.gov/earth-science),  Heliophysics (http://nasascience.nasa.gov/heliophysics),  and Planetary Science (http://nasascience.nasa.gov/planetary-science). A major objective of SMD instrument development  programs is to implement science measurement capabilities with smaller or more  affordable spacecraft so development programs can meet multiple mission needs  and therefore make the best use of limited resources. The rapid development of  small, low-cost remote sensing and in situ instruments is essential to  achieving this objective. For Earth Science needs, in particular, the subtopics  reflect a focus on instrument development for airborne and Unmanned Aerial  Vehicle (UAV) platforms. Astrophysics has a critical need for sensitive detector  arrays with imaging, spectroscopy, and polarimetric capabilities which can be  demonstrated on ground, airborne, balloon, or suborbital rocket instruments.  Heliophysics, which focuses on measurements of the sun and its interaction with  the Earth and the other planets in the solar system, needs a significant  reduction in the size, mass, power, and cost for instruments to fly on smaller  spacecraft. Planetary Science has a critical need for miniaturized instruments  with in situ sensors that can be deployed on surface landers, rovers, and  airborne platforms. For the 2008 program year, two new subtopics have been  added. One subtopic solicits technology for geodetic instruments and  instruments to enable global navigation and very long baseline interferometry. A  second new subtopic requests proposals for technology to enable new lunar  science instruments. A key objective of this SBIR topic is to develop and  demonstrate instrument component and subsystem technologies that reduce the  risk, cost, size, and development time of SMD observing instruments and to  enable new measurements. Proposals are sought for development components that  can be used in planned missions or a current technology program. Research  should be conducted to demonstrate feasibility during Phase 1 and show a path  towards a Phase 2 prototype demonstration. The following subtopics are  concomitant with these objectives and are organized by technology.","S1.01Lidar System Components; S1.02Active Microwave Technologies; S1.03Passive Microwave Technologies; S1.04Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; S1.05Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; S1.06Particles and Field Sensors and Instrument Enabling Technologies; S1.07Cryogenic Systems for Sensors and Detectors; S1.08In Situ Airborne, Surface, and Submersible Instruments for Earth Science; S1.09In Situ Sensors and Sensor Systems for Planetary Science; S1.10Space Geodetic Observatory Components; S1.11Lunar Science Instruments and Technology",S1.01; S1.02; S1.03; S1.04; S1.05; S1.06; S1.07; S1.08; S1.09; S1.10; S1.11,"Lidar System Components; Active Microwave Technologies; Passive Microwave Technologies; Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; Particles and Field Sensors and Instrument Enabling Technologies; Cryogenic Systems for Sensors and Detectors; In Situ Airborne, Surface, and Submersible Instruments for Earth Science; In Situ Sensors and Sensor Systems for Planetary Science; Space Geodetic Observatory Components; Lunar Science Instruments and Technology"
Science,Topic S2 Advanced Telescope Systems,"
  The NASA Science Missions  Directorate seeks technology for cost-effective high-performance advanced space  telescopes for astrophysics and Earth science. Astrophysics applications  require large aperture light-weight highly reflecting mirrors, deployable large  structures and innovative metrology, control of unwanted radiation for  high-contrast optics, precision formation flying for synthetic aperture  telescopes, and cryogenic optics to enable far infrared telescopes. A few of  the new astrophysics telescopes and their subsystems will require operation at  cryogenic temperatures as cold a 4-degrees Kelvin. This topic will consider  technologies necessary to enable future telescopes and observatories collecting  electromagnetic bands, ranging from UV to millimeter waves, and also include  gravity waves. The subtopics will consider all technologies associated with the  collection and combination of observable signals. Earth science requires modest  apertures in the 2 to 4 meter size category that are cost effective. New  technologies in innovative mirror materials, such as silicon, silicon carbide  and nanolaminates, innovative structures, including nanotechnology, and  wavefront sensing and control are needed to build telescope for Earth science  that have the potential to cost between $50 to $150M.",S2.01Precision Spacecraft Formations for Telescope Systems; S2.02Proximity Glare Suppression for Astronomical Coronagraphy; S2.03Precision Deployable Optical Structures and Metrology; S2.04Optical Devices for Starlight Detection and Wavefront Analysis; S2.05Optics Manufacturing and Metrology for Telescope Optical Surfaces,S2.01; S2.02; S2.03; S2.04; S2.05,Precision Spacecraft Formations for Telescope Systems; Proximity Glare Suppression for Astronomical Coronagraphy; Precision Deployable Optical Structures and Metrology; Optical Devices for Starlight Detection and Wavefront Analysis; Optics Manufacturing and Metrology for Telescope Optical Surfaces
