Higher Topic,Focus Area,Content,Subtopics,Subtopics_encoding,Subtopics_name
,Focus Area 1 In-Space Propulsion Technologies,"NASA is interested in technologies for advanced in-space propulsion systems to reduce travel time, increase payload mass, reduce acquisition costs, reduce operational costs, and enable new science capabilities for exploration and science spacecraft. The future will require demanding propulsive performance and flexibility for more ambitious missions requiring high duty cycles, more challenging environmental conditions, and extended operation. This focus area seeks innovations for NASA propulsion systems in chemical, electric, nuclear thermal and advanced propulsion systems related to human exploration and science missions. Propulsion technologies will focus on a number of mission applications including ascent, descent, orbit transfer, rendezvous, station keeping, proximity operations and deep space exploration.","Z10.01Cryogenic Fluid Management; Z10.03Space Nuclear Propulsion; Z10.04Materials, Processes, and Technologies for Advancing In-Space Electric Propulsion Thrusters",Z10.01; Z10.03; Z10.04,"Cryogenic Fluid Management; Space Nuclear Propulsion; Materials, Processes, and Technologies for Advancing In-Space Electric Propulsion Thrusters"
,"Focus Area 2 Power, Energy and Storage","Power is a ubiquitous technology need across many NASA missions including human exploration, space science, and space technology. New technologies are sought to better generate electrical power and distribute it efficiently to both human and robotic power mission users. In space power, mission applications include planetary surface power, large-scale spacecraft prime power, and small-scale robotic probe power. Applicable technology development is sought for: 1) megawatt-class dynamic power conversion from a nuclear heat source to electricity, 2) efficient means of transmitting, connecting, and managing kilowatt-class power over long distances on planetary surfaces, and 3) high-voltage, radiation tolerant switches and components that are needed to optimize mass and efficiency for new high power missions. An overarching objective is to mature technologies from analytical or experimental proof-of-concept (TRL3) to breadboard demonstration in a relevant environment (TRL5). Successful efforts will transition into NASA Projects where the SBIR/STTR deliverables will be incorporated into ground testbeds or flight demonstrations. Note that there are similar power technology development needs at higher power levels for electrified aircraft propulsion which is covered in Focus Area 18 – Air Vehicle Technologies.","S3.01Power Generation and Conversion; S3.02Dynamic Power Conversion; S3.03Energy Storage for Extreme Environments; Z1.05Lunar and Planetary Surface Power Management and Distribution; Z1.06Radiation-Tolerant High-Voltage, High-Power Electronics; Z1.07Dynamic Energy Conversion for Space Nuclear Power and Propulsion",S3.01; S3.02; S3.03; Z1.05; Z1.06; Z1.07,"Power Generation and Conversion; Dynamic Power Conversion; Energy Storage for Extreme Environments; Lunar and Planetary Surface Power Management and Distribution; Radiation-Tolerant High-Voltage, High-Power Electronics; Dynamic Energy Conversion for Space Nuclear Power and Propulsion"
,Focus Area 3 Autonomous Systems for Space Exploration,"The exploration of space requires the best of the nation's technical community to provide the technologies that will enable human and robotic exploration beyond Low Earth Orbit (LEO): to establish a lunar presence, to visit asteroids, to extend human reach to Mars, and for increasingly ambitious robotic missions such as a Europa Lander. Autonomous Systems technologies provide the means of migrating mission control from Earth to spacecraft, habitats, and robotic explorers. This is enhancing for missions in the Earth-Lunar neighborhood and enabling for deep space missions. Long light-time delays, for example up to 42 minutes round-trip between Earth and Mars, require time-critical control decisions to be closed on-board autonomously, rather than through round-trip communication to Earth mission control. For robotic explorers this will be done through automation, while for human missions this will be done through astronaut-automation teaming.Long-term crewed spacecraft and habitats, such as the International Space Station, are so complex that a significant portion of the crew's time is spent keeping it operational even under nominal conditions in low-Earth orbit, while still requiring significant real-time support from Earth. The considerable challenge is to migrate the knowledge and capability embedded in current Earth mission control, with tens to hundreds of human specialists ready to provide instant knowledge, to on-board automation that teams with astronauts to autonomously manage spacecraft and habitats. For outer planet robotic explorers, the opportunity is to autonomously and rapidly respond to dynamic environments in a timely fashion.The “Deep Neural Net and Neuromorphic Processors for In-Space Autonomy and Cognition” subtopic specifically focuses on advances in signal and data processing. Neuromorphic processing will enable NASA to meet growing demands for applying artificial intelligence and machine learning algorithms onboard a spacecraft to optimize and automate operations. Neuromorphic processors can enable a spacecraft to sense, adapt, act, and learn from its experiences and from the unknown environment without necessitating involvement from a mission operations team.The “Spacecraft Autonomous Agent Cognitive Architectures for Human Exploration“ subtopic solicits intelligent autonomous agent cognitive architectures that are open, modular, make decisions under uncertainty, and learn in a manner that the performance of the system is assured and improves over time. Building upon the success of the previous solicitations, this extended scope will enable small businesses to develop both the learning technology and the necessary assurance technology within the scope of cognitive agents that forward base mission control to spacecraft and habitats, and multiply the cognitive assets available to the crew.The “Fault Management Technologies” subtopic has interest in onboard fault management capabilities (viz. onboard sensing approaches, computing, algorithms, and models to assess and maintain spacecraft health), with the goal of providing a system capability for management of future spacecraft.  Offboard components such as modeling techniques and tools, development environments, and verification and validation (V&V) technologies are also relevant, provided they contribute to novel or capable on-board fault management.The “Integrated Data Uncertainty Management & Representation for Trustworthy and Trusted Autonomy in Space” subtopic is seeking to improve autonomous systems performance within Multi-agent Cyber-Physical-Human (CPH) teams. This effort concentrates on increasing autonomous systems performance towards the point where they may function as teammates with specified independence, but under the ultimate human direction, or alternatively, where they can exercise complete independence in decision-making and operations in pursuit of given mission goals; for instance, for control of uncrewed missions for planetary infrastructure development in preparation for human presence, or maintenance and operation of crew habitats during the crew’s absence.The “Coordination and Control of Swarms of Space Vehicles” subtopic addresses technologies for control and coordination of planetary rovers, flyers, and in-space vehicles in dynamic environments. Coordinated swarms can provide a more robust and sensor-rich approach to space missions, allowing simultaneous recording of sensor data from dispersed vehicles and co-ordination especially in challenging environments such as cave exploration. Primary interest is in technologies appropriate for low-cardinality (4- to 15-vehicle) swarms of small spacecraft, as well as planetary rovers and flyers (e.g., Mars helicopter).Please refer to the description and references of each subtopic for further detail to guide development of proposals within this technically diverse focus area.",H6.22Deep Neural Net and Neuromorphic Processors for In-Space Autonomy and Cognition; H6.23Spacecraft Autonomous Agent Cognitive Architectures for Human Exploration; S5.05Fault Management Technologies; T10.03Coordination and Control of Swarms of Space Vehicles; T10.04Autonomous Systems and Operations for the Lunar Orbital Platform-Gateway; T10.05Integrated Data Uncertainty Management and Representation for Trustworthy and Trusted Autonomy in Space,H6.22; H6.23; S5.05; T10.03; T10.04; T10.05,Deep Neural Net and Neuromorphic Processors for In-Space Autonomy and Cognition; Spacecraft Autonomous Agent Cognitive Architectures for Human Exploration; Fault Management Technologies; Coordination and Control of Swarms of Space Vehicles; Autonomous Systems and Operations for the Lunar Orbital Platform-Gateway; Integrated Data Uncertainty Management and Representation for Trustworthy and Trusted Autonomy in Space
,Focus Area 4 Robotic Systems for Space Exploration,"This focus area includes development of robotic systems technologies (hardware and software) that will enable and enhance future space exploration missions. In the coming decades, robotic systems will continue to change the way space is explored. Robots will be used in all mission phases: as independent explorers operating in environments too distant or hostile for humans, as precursor systems operating before crewed missions, as crew helpers working alongside and supporting humans, and as caretakers of assets left behind. As humans continue to work and live in space, they will increasingly rely on intelligent and versatile robots to perform mundane activities, freeing human and ground control teams to tend to more challenging tasks that call for human cognition and judgment. Technologies are needed for robotic systems to improve transport of crew, instruments, and payloads on planetary surfaces, on and around small bodies, and in-space. This includes hazard detection, sensing/perception, active suspension, grappling/anchoring, legged locomotion, robot navigation, end-effectors, propulsion, and user interfaces.Innovative robot technologies provide a critical capability for space exploration. Multiple forms of mobility, manipulation and human-robot interaction offer great promise in exploring planetary bodies for science investigations and to support human missions. Enhancements and potentially new forms of robotic systems can be realized through advances in component technologies, such as actuation and structures (e.g. 3D printing). Mobility provides a critical capability for space exploration. Multiple forms of mobility offer great promise in exploring planetary bodies for science investigations and to support human missions. Manipulation provides a critical capability for positioning crew members and instruments in space and on planetary bodies. Robotic manipulation allows for the handling of tools, interfaces, and materials not specifically designed for robots, and it provides a capability for drilling, extracting, handling, and processing samples of multiple forms and scales. This increases the range of beneficial tasks robots can perform and allows for improved efficiency of operations across mission scenarios. Furthermore, manipulation is important for human missions, human precursor missions, and unmanned science missions.  Moreover, sampling, sample handling, transport, and distribution to instruments, or instrument placement directly on in-place rock or regolith, is important for robotic missions to locales too distant or dangerous for human exploration.Future space missions may rely on co-located and distributed teams of humans and robots that have complementary capabilities. Tasks that are considered ""dull, dirty, or dangerous"" can be transferred to robots, thus relieving human crew members to perform more complex tasks or those requiring real-time modifications due to contingencies. Additionally, due to the limited number of astronauts anticipated to crew planetary exploration missions, as well as their constrained schedules, ground control will need to remotely supervise and assist robots using time-delayed and limited bandwidth communications.  Advanced methods of human-robot interaction over time delay will enable more productive robotic exploration of the more distant reaches of the solar system.  This includes improved visualization of alternative future states of the robot and the terrain, as well as intuitive means of communicating the intent of the human to the robotic system.","S4.02Robotic Mobility, Manipulation and Sampling; T7.04Surface Construction; Z5.04Technologies for Intravehicular Activity Robotics",S4.02; T7.04; Z5.04,"Robotic Mobility, Manipulation and Sampling; Surface Construction; Technologies for Intravehicular Activity Robotics"
,Focus Area 5 Communications and Navigation,"NASA seeks proposals to produce novel, innovative technologies in the communications and navigation discipline to support Exploration, Science and Space Technology missions, including the eventual return of humans to the Lunar surface. Missions are generating ever-increasing data volumes that require increased performance from communications systems while minimizing spacecraft impact. This requires higher peak throughput from the communications systems with lower flight communication system cost, mass, and power per bit transmitted.  Long range, deep-space optical communications systems are needed to support data-intensive missions to Mars and beyond. Reliable, secure communications on a non-interference basis are also required in complex radio frequency (RF) environments such as inside a launch vehicle fairing or spacecraft cavity, where new analysis methods are needed for predicting the RF environment. Future missions that perform rendezvous and docking; on-orbit servicing, assembly, and manufacturing; or precision landing need increased autonomy to reduce dependence on ground-based tracking, orbit determination and maneuver planning.This requires new and more efficient trajectory planning methods, robust autonomous onboard navigation, and improved precision of onboard instrumentation while minimizing cost, mass, and power. This focus area supports the development of innovative technologies for optical and quantum communications systems, cognitive communications, flight dynamics and navigation, transformational communications approaches, electric and magnetic field prediction methods, positioning and timing, guidance, navigation, and control that will provide a significant improvement over the current state of the art.","H9.01Long-Range Optical Telecommunications; H9.03Flight Dynamics and Navigation Technologies; H9.05Transformational Communications Technology; H9.07Cognitive Communication; S3.04Guidance, Navigation, and Control; T5.04Quantum Communications",H9.01; H9.03; H9.05; H9.07; S3.04; T5.04,"Long-Range Optical Telecommunications; Flight Dynamics and Navigation Technologies; Transformational Communications Technology; Cognitive Communication; Guidance, Navigation, and Control; Quantum Communications"
,Focus Area 6 Life Support and Habitation Systems,"The Life Support and Habitation Systems Focus Area seeks key capabilities and technology needs encompassing a diverse set of engineering and scientific disciplines, all of which provide technology solutions that enable extended human presence in deep space and on planetary surfaces such as Moon and Mars, including Orion, ISS, Gateway, Artemis and Human Landing Systems. The focus is on systems and elements that directly support human missions and astronaut crews, such as Environmental Control and Life Support Systems (ECLSS), Extravehicular Activity (EVA) systems, crew provisioning, plant growth for bioregenerative food production, and tools for systems engineering. Because spacecraft and their systems may involve multiple partnerships, with institutional, corporate, and governmental involvement, Model Based Systems Engineering approaches may enable and improve their distributed development.For future crewed missions beyond low-Earth orbit (LEO) and into the solar system, regular resupply of consumables and emergency or quick-return options will not be feasible. New technologies must be compatible with attributes of the environments expected, including microgravity or partial gravity, varying atmospheric pressure and composition, space radiation, and the presence of planetary dust. Technologies of interest are those that enable long-duration, safe, economical, and sustainable deep-space human exploration. Special emphasis is placed on developing technologies that will fill existing gaps as described in this solicitation, that reduce requirements for consumables and other resources, including mass, power, volume and crew time, and which will increase safety and reliability with respect to the state-of-the-art. Spacecraft may be untended by crew for long periods, therefore systems must be operable after these intervals of dormancy.Environmental Control and Life Support Systems encompass process technologies and monitoring functions necessary to provide and maintain a livable environment within the pressurized cabin of crewed spacecraft, including environmental monitoring, water recycling, and atmosphere revitalization.  Of special note for this solicitation, these processes and functions include non-genetic methods for assessing the microbial burden within spacecraft, monitoring systems for identifying and quantifying a wide spectrum of inorganic and organic constituents in spacecraft wastewater and potable water, and use of novel additive manufacturing methods to print sorbent beds for removal of atmospheric contaminants. Novel methods for microbial assessment may also be useful assessing previously dormant spacecraft before crew entry and supporting planetary protection compliance.Unique needs exist for the Exploration Extra-vehicular Mobility Unit (EMU), including innovations to improve the system to supply feed water to the Portable Life Support System (PLSS), and new technologies for the spacesuit’s Pressure Garment Bladder. For intra-vehicular activity (IVA), new flame retardant textiles are needed for crew apparel fabrics to be used in high oxygen environments expected during lunar and planetary exploration.Future human missions may include an in-situ capability to produce supplemental fresh food. Advanced technologies for remotely sensing the health status and performance of crop plants within space-based controlled environment production systems are sought. In addition, tailoring the rhizosphere with beneficial microbial consortia, through biopriming seeds or other methods, could potentially promote growth and yield or confer resistance against biotic and abiotic stresses.The current collaborative environment between government, commercial and international sectors will result in the distributed development of human spacecraft elements and systems for human missions of the future such as Gateway and lunar surface missions including Artemis. Their integration may benefit from advances in model-based systems engineering approaches.Please refer to the description and references of each subtopic for further detail to guide development of proposals within this technically diverse focus area.",H3.02Microbial Monitoring for Spacecraft Cabins; H3.05Additive Manufacturing for Adsorbent Bed Fabrication; H3.07Flame-Retardant Textiles for Intravehicular Activities (IVA); H4.05Advancements in Water and Air Bladder Assemblies and Technology; T6.06Enabling Spacecraft Water Monitoring through Nanotechnology; T6.07Space Exploration Plant Growth,H3.02; H3.05; H3.07; H4.05; T6.06; T6.07,Microbial Monitoring for Spacecraft Cabins; Additive Manufacturing for Adsorbent Bed Fabrication; Flame-Retardant Textiles for Intravehicular Activities (IVA); Advancements in Water and Air Bladder Assemblies and Technology; Enabling Spacecraft Water Monitoring through Nanotechnology; Space Exploration Plant Growth
,Focus Area 7 Human Research and Health Maintenance,"NASA's Human Research Program (HRP) investigates and mitigates the highest risks to astronaut health and performance for exploration missions. HRP achieves this through a focused program of basic, applied and operational research leading to the development and delivery of:Human health, performance, and habitability standards.Countermeasures and other risk mitigation solutions.Advanced habitability and medical support technologies.HRP has developed an Integrated Research Plan (IRP) to describe the requirements and notional approach to understanding and reducing the human health and performance risks. The IRP describes the Program's research activities that are intended to address the needs of human space exploration and serve HRP customers. The Human Research Roadmap (http://humanresearchroadmap.nasa.gov) is a web-based version of the IRP that allows users to search HRP risks, gaps, and tasks.The HRP is organized into several research Elements:Human Health Countermeasures.Human Factors and Behavioral Performance.Exploration Medical Capability.Space Radiation.Each of the HRP Elements address a subset of the risks. A fifth Element, Research Operations and Integration (ROI), is responsible for the implementation of the research on various space and ground analog platforms. HRP subtopics are aligned with the Elements and solicit technologies identified in their respective research plans.",H12.01Radioprotectors and Mitigators of Space Radiation-Induced Health Risks; H12.03Portable Spatial Disorientation Simulator - Trainer,H12.01; H12.03,Radioprotectors and Mitigators of Space Radiation-Induced Health Risks; Portable Spatial Disorientation Simulator - Trainer
,Focus Area 8 In-Situ Resource Utilization,"In-Situ Resource Utilization (ISRU) involves any hardware or operation that harnesses and utilizes ‘in-situ’ resources (natural and discarded) to create products and services for robotic and human exploration. Local resources include ‘natural’ resources found on extraterrestrial bodies such as water, solar wind implanted volatiles (hydrogen, helium, carbon, nitrogen, etc.), vast quantities of metals in mineral rocks and soils, and atmospheric constituents, as well as human-made resources such as trash and waste from human crew, and discarded hardware that has completed its primary purpose.  The most useful products from ISRU are propellants, fuel cell reactants, life support commodities (such as water, oxygen, and buffer gases), and feedstock for manufacturing and construction.  ISRU products and services can be used to i) reduce Earth launch mass or lander mass by not bringing everything from Earth, ii) reduce risks to the crew and/or mission by reducing logistics, increasing shielding, and providing increased self-sufficiency, and/or iii) reducing costs by either needing less launch vehicles to complete the mission or through the reuse of hardware and lander/space transportation vehicles.  Since ISRU systems must operate wherever the resource of interest exists, technologies and hardware will need to be designed to operate in harsh environments, reduced gravity, and potential non-homogeneous resource physical, mineral, and ice/volatile characteristics. This year’s solicitation will focus on critical technologies needed in the areas of Resource Acquisition and Consumable Production for the Moon and Mars. The ISRU focus area is seeking innovative technology for:Large, Lightweight, Deployable Solar Concentrators and Thermal Energy TransmissionCritical Components/Subsystems for Oxygen Extraction from Lunar RegolithLunar Ice Mining via In Situ Subsurface Heating, Sublimation, and CaptureAs appropriate, the specific needs and metrics of each of these specific technologies are described in the subtopic descriptions.","T14.01Advanced Concepts for Lunar and Martian Propellant Production, Storage, Transfer, and Usage; Z12.01Extraction of Oxygen and Water from Lunar Regolith",T14.01; Z12.01,"Advanced Concepts for Lunar and Martian Propellant Production, Storage, Transfer, and Usage; Extraction of Oxygen and Water from Lunar Regolith"
,"Focus Area 9 Sensors, Detectors, and Instruments","NASA's Science Mission Directorate (SMD) (https://science.nasa.gov/) encompasses research in the areas of Astrophysics, Earth Science, Heliophysics and Planetary Science. The National Academy of Science has provided NASA with recently updated Decadal surveys that are useful to identify technologies that are of interest to the above science divisions. Those documents are available at https://sites.nationalacademies.org/SSB/SSB_052297(link is external). A major objective of SMD instrument development programs is to implement science measurement capabilities with smaller or more affordable aerospace platforms so development programs can meet multiple mission needs and therefore make the best use of limited resources. The rapid development of small, low-cost remote sensing and in-situ instruments capable of making measurements across the electromagnetic spectrum is essential to achieving this objective. For Earth Science needs, in particular, the subtopics reflect a focus on instrument development for airborne and uninhabited aerial vehicle (UAV) platforms. Astrophysics has a critical need for sensitive detector arrays with imaging, spectroscopy, and polarimetric capabilities, which can be demonstrated on ground, airborne, balloon, or suborbital rocket instruments. Heliophysics, which focuses on measurements of the sun and its interaction with the Earth and the other planets in the solar system, needs a significant reduction in the size, mass, power, and cost for instruments to fly on smaller spacecraft. Planetary Science has a critical need for miniaturized instruments with in-situ sensors that can be deployed on surface landers, rovers, and airborne platforms. For the 2021 program year, we are continuing to update the Sensors, Detectors and Instruments Topic, adding new, rotating out, and retiring some of the subtopics. Please read each subtopic of interest carefully. We continue to emphasize Ocean Worlds and solicit development of in-situ instrument technologies and components to advance the maturity of science instruments focused on the detection of evidence of life, especially extant of life, in the Ocean Worlds. The microwave technologies continue as two subtopics, one focused on active microwave remote sensing and the second on passive systems such as radiometers and microwave spectrometers. NASA has additional interest in advancing quantum sensing technologies to enable wholly new quantum sensing and measurement techniques focused on the development and maturation towards space application and qualification of atomic systems that leverage their quantum properties.  Furthermore, photonic integrated circuit technology is sought to enable size, weight, power, and cost reductions, as well as improved performance of science instruments, subsystems, and components which is particularly critical for enabling use of affordable small spacecraft platforms.A key objective of this SBIR topic is to develop and demonstrate instrument component and subsystem technologies that reduce the risk, cost, size, and development time of SMD observing instruments and to enable new measurements. Proposals are sought for development of components, subsystems and systems that can be used in planned missions or a current technology program. Research should be conducted to demonstrate feasibility during Phase I and show a path towards a Phase II prototype demonstration. The following subtopics are concomitant with these objectives and are organized by technology.","S1.01Lidar Remote-Sensing Technologies; S1.02Technologies for Active Microwave Remote Sensing; S1.03Technologies for Passive Microwave Remote Sensing; S1.04Sensor and Detector Technologies for Visible, Infrared (IR), Far-IR, and Submillimeter; S1.05Detector Technologies for Ultraviolet (UV), X-Ray, Gamma-Ray Instruments; S1.06Particles and Fields Sensors and Instrument Enabling Technologies; S1.07In Situ Instruments/Technologies for Lunar and Planetary Science; S1.08Suborbital Instruments and Sensor Systems for Earth Science Measurements; S1.09Cryogenic Systems for Sensors and Detectors; S1.10Atomic Quantum Sensor and Clocks; S1.11In Situ Instruments/Technologies and Plume Sampling Systems for Ocean Worlds Life Detection; S1.12Remote Sensing Instrument Technologies for Heliophysics; T8.06Quantum Sensing and Measurement; T8.07Photonic Integrated Circuits",S1.01; S1.02; S1.03; S1.04; S1.05; S1.06; S1.07; S1.08; S1.09; S1.10; S1.11; S1.12; T8.06; T8.07,"Lidar Remote-Sensing Technologies; Technologies for Active Microwave Remote Sensing; Technologies for Passive Microwave Remote Sensing; Sensor and Detector Technologies for Visible, Infrared (IR), Far-IR, and Submillimeter; Detector Technologies for Ultraviolet (UV), X-Ray, Gamma-Ray Instruments; Particles and Fields Sensors and Instrument Enabling Technologies; In Situ Instruments/Technologies for Lunar and Planetary Science; Suborbital Instruments and Sensor Systems for Earth Science Measurements; Cryogenic Systems for Sensors and Detectors; Atomic Quantum Sensor and Clocks; In Situ Instruments/Technologies and Plume Sampling Systems for Ocean Worlds Life Detection; Remote Sensing Instrument Technologies for Heliophysics; Quantum Sensing and Measurement; Photonic Integrated Circuits"
,Focus Area 10 Advanced Telescope Technologies,"The NASA Science Mission Directorate (SMD) seeks technology for cost-effective high-performance advanced space telescopes for astrophysics and Earth science. Astrophysics applications require large aperture light-weight highly reflecting mirrors, deployable large structures and innovative metrology, control of unwanted radiation for high-contrast optics, precision formation flying for synthetic aperture telescopes, and cryogenic optics to enable far infrared telescopes. A few of the new astrophysics telescopes and their subsystems will require operation at cryogenic temperatures as cold as 4 K. This topic will consider technologies necessary to enable future telescopes and observatories collecting electromagnetic bands, ranging from UV to millimeter waves, and also include gravity waves. The subtopics will consider all technologies associated with the collection and combination of observable signals. Earth science requires modest apertures in the 2 to 4 meter size category that are cost effective. New technologies in innovative mirror materials, such as silicon, silicon carbide and nanolaminates, innovative structures, including nanotechnology, and wavefront sensing and control are needed to build telescopes for Earth science.","S2.01Proximity Glare Suppression for Astronomical Direct Detection of Exoplanets; S2.02Precision Deployable Optical Structures and Metrology; S2.03Advanced Optical Systems and Fabrication/Testing/Control Technologies for Extended-Ultraviolet/Optical and Infrared Telescope; S2.04X-Ray Mirror Systems Technology, Coating Technology for X-Ray-UV-OIR, and Free-Form Optics; S2.05Technology for the Precision Radial Velocity Measurement Technique",S2.01; S2.02; S2.03; S2.04; S2.05,"Proximity Glare Suppression for Astronomical Direct Detection of Exoplanets; Precision Deployable Optical Structures and Metrology; Advanced Optical Systems and Fabrication/Testing/Control Technologies for Extended-Ultraviolet/Optical and Infrared Telescope; X-Ray Mirror Systems Technology, Coating Technology for X-Ray-UV-OIR, and Free-Form Optics; Technology for the Precision Radial Velocity Measurement Technique"
