Higher Topic,Focus Area,Content,Subtopics,Subtopics_encoding,Subtopics_name
TA1 Launch Propulsion Systems,TA1.2 Liquid Rocket Propulsion Systems,,H10.01Cryogenic Purge Gas Recovery and Reclamation,H10.01,Cryogenic Purge Gas Recovery and Reclamation
TA2 In-Space Propulsion Technologies,TA2.1 Chemical Propulsion,,H2.01In-Space Chemical Propulsion; S4.03Spacecraft Technology for Sample Return Missions,H2.01; S4.03,In-Space Chemical Propulsion; Spacecraft Technology for Sample Return Missions
TA2 In-Space Propulsion Technologies,TA2.2 Non-Chemical Propulsion,,H2.02Nuclear Thermal Propulsion (NTP); H2.03High Power Electric Propulsion; S3.02Propulsion Systems for Robotic Science Missions,H2.02; H2.03; S3.02,Nuclear Thermal Propulsion (NTP); High Power Electric Propulsion; Propulsion Systems for Robotic Science Missions
TA2 In-Space Propulsion Technologies,TA2.4 Supporting Technologies,,H2.04Cryogenic Fluid Management for In-Space Transportation,H2.04,Cryogenic Fluid Management for In-Space Transportation
TA3 Space Power and Energy Storage,TA3.1 Power Generation,,"H8.01Space Nuclear Power Systems; H8.02Solid Oxide Fuel Cells and Electrolyzers; H8.03Advanced Photovoltaic Systems; S3.01Power Generation and Conversion; Z4.01Small Spacecraft in Deep Space: Power, Navigation, and Structures",H8.01; H8.02; H8.03; S3.01; Z4.01,"Space Nuclear Power Systems; Solid Oxide Fuel Cells and Electrolyzers; Advanced Photovoltaic Systems; Power Generation and Conversion; Small Spacecraft in Deep Space: Power, Navigation, and Structures"
TA3 Space Power and Energy Storage,TA3.4 Cross Cutting Technology,,"S3.03Power Electronics and Management, and Energy Storage; Z1.02Solid-State Thermal-to-Electric Power Generation",S3.03; Z1.02,"Power Electronics and Management, and Energy Storage; Solid-State Thermal-to-Electric Power Generation"
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.1 Sensing & Perception,,Z5.01Payload Technologies for Assistive Free-Flyers,Z5.01,Payload Technologies for Assistive Free-Flyers
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.3 Manipulation,,"S4.02Robotic Mobility, Manipulation and Sampling",S4.02,"Robotic Mobility, Manipulation and Sampling"
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.4 Human-Systems Integration,,"H6.01Human Robotic Systems - Mobility Subsystem, Manipulation Subsystem, and Human System Interaction",H6.01,"Human Robotic Systems - Mobility Subsystem, Manipulation Subsystem, and Human System Interaction"
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.5 Autonomy,,A2.02Unmanned Aircraft Systems Technology; S5.05Fault Management Technologies,A2.02; S5.05,Unmanned Aircraft Systems Technology; Fault Management Technologies
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.7 RTA Systems Engineering,,S4.05Contamination Control and Planetary Protection,S4.05,Contamination Control and Planetary Protection
TA5 Communication and Navigation,TA5.1 Optical Comm. And Navigation,,H9.01Long Range Optical Telecommunications; H9.03Flight Dynamics and Navigation Technology; S3.08Slow and Fast Light,H9.01; H9.03; S3.08,Long Range Optical Telecommunications; Flight Dynamics and Navigation Technology; Slow and Fast Light
TA5 Communication and Navigation,"TA5.4 Position, Navigation, and Timing",,"S3.05Guidance, Navigation and Control",S3.05,"Guidance, Navigation and Control"
TA5 Communication and Navigation,TA5.5 Integrated Technologies,,H9.02Intelligent Communication Systems,H9.02,Intelligent Communication Systems
"TA6 Human Health, Life Support and Habitation Systems",TA6.1 Environmental Control Life Support & Habitation Systems,,H14.02International Space Station (ISS) Demonstration of Improved Exploration Technologies; H3.01Environmental Monitoring for Spacecraft Cabins; H3.02Bioregenerative Technologies for Life Support; H3.03Spacecraft Cabin Atmosphere Quality and Thermal Management,H14.02; H3.01; H3.02; H3.03,International Space Station (ISS) Demonstration of Improved Exploration Technologies; Environmental Monitoring for Spacecraft Cabins; Bioregenerative Technologies for Life Support; Spacecraft Cabin Atmosphere Quality and Thermal Management
"TA6 Human Health, Life Support and Habitation Systems",TA6.2 Extravehicular Activity Systems,,"H4.01Crew Survival Systems for Launch, Entry, Abort; H4.02EVA Space Suit Pressure Garment Systems; H4.03EVA Space Suit Power, Avionics, and Software Systems",H4.01; H4.02; H4.03,"Crew Survival Systems for Launch, Entry, Abort; EVA Space Suit Pressure Garment Systems; EVA Space Suit Power, Avionics, and Software Systems"
"TA6 Human Health, Life Support and Habitation Systems",TA6.3 Human Health and Performance,,H12.01Measurements of Net Ocular Blood Flow; H12.02Unobtrusive Workload Measurement; H12.03Technology for Monitoring Muscle Protein Synthesis and Breakdown in Spaceflight,H12.01; H12.02; H12.03,Measurements of Net Ocular Blood Flow; Unobtrusive Workload Measurement; Technology for Monitoring Muscle Protein Synthesis and Breakdown in Spaceflight
"TA6 Human Health, Life Support and Habitation Systems",TA6.5 Radiation,,H11.01Radiation Shielding Technologies,H11.01,Radiation Shielding Technologies
TA7 Human Exploration Destination Systems,TA7.1 In-Situ Resource Utilization,,H1.01Regolith ISRU for Mission Consumable Production; H14.01International Space Station (ISS) Utilization,H1.01; H14.01,Regolith ISRU for Mission Consumable Production; International Space Station (ISS) Utilization
TA7 Human Exploration Destination Systems,TA7.2 Sustainability & Supportability,,H14.03Recycling/Reclamation of 3-D Printer Plastic Including Transformation of Launch Package Solutions into 3-D Printed Parts,H14.03,Recycling/Reclamation of 3-D Printer Plastic Including Transformation of Launch Package Solutions into 3-D Printed Parts
"TA8 Science Instruments, Observatories & Sensor Systems",TA8.1 Science Instruments,,"S1.03Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; S1.04Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; S1.05Particles and Field Sensors and Instrument Enabling Technologies; S1.06In Situ Sensors and Sensor Systems for Lunar and Planetary Science; S1.07Airborne Measurement Systems; S1.08Surface & Sub-surface Measurement Systems; S2.01Proximity Glare Suppression for Astronomical Coronagraphy; S2.03Advanced Optical Systems and Fabrication/Testing/Control Technologies for EUV/Optical and IR Telescope; S3.09Command, Data Handling, and Electronics",S1.03; S1.04; S1.05; S1.06; S1.07; S1.08; S2.01; S2.03; S3.09,"Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; Particles and Field Sensors and Instrument Enabling Technologies; In Situ Sensors and Sensor Systems for Lunar and Planetary Science; Airborne Measurement Systems; Surface & Sub-surface Measurement Systems; Proximity Glare Suppression for Astronomical Coronagraphy; Advanced Optical Systems and Fabrication/Testing/Control Technologies for EUV/Optical and IR Telescope; Command, Data Handling, and Electronics"
"TA8 Science Instruments, Observatories & Sensor Systems",TA8.2 Observations,,"S2.02Precision Deployable Optical Structures and Metrology; S2.04X-Ray Mirror Systems Technology, Coating Technology for X-Ray-UV-OIR, and Free-Form Optics; S3.04Unmanned Aircraft and Sounding Rocket Technologies",S2.02; S2.04; S3.04,"Precision Deployable Optical Structures and Metrology; X-Ray Mirror Systems Technology, Coating Technology for X-Ray-UV-OIR, and Free-Form Optics; Unmanned Aircraft and Sounding Rocket Technologies"
"TA8 Science Instruments, Observatories & Sensor Systems",TA8.3 Sensor Systems,,"H14.04Optical Components, Sensors, and Systems for ISS Utilization; S1.01Lidar Remote Sensing Technologies; S1.02Microwave Technologies for Remote Sensing; S1.09Atomic Interferometry; S1.10Cryogenic Systems for Sensors and Detectors",H14.04; S1.01; S1.02; S1.09; S1.10,"Optical Components, Sensors, and Systems for ISS Utilization; Lidar Remote Sensing Technologies; Microwave Technologies for Remote Sensing; Atomic Interferometry; Cryogenic Systems for Sensors and Detectors"
"TA9 Entry, Descent and Landing Systems",TA9.1 Aeroassist & Entry,,"H7.01Ablative Thermal Protection Systems Technologies, Sensors and NDE Methods; H7.02Diagnostic Tools for High Velocity Testing and Analysis",H7.01; H7.02,"Ablative Thermal Protection Systems Technologies, Sensors and NDE Methods; Diagnostic Tools for High Velocity Testing and Analysis"
"TA9 Entry, Descent and Landing Systems",TA9.2 Descent,,"Z3.01Wireless Cameras for Entry, Descent, and Landing Reconstruction",Z3.01,"Wireless Cameras for Entry, Descent, and Landing Reconstruction"
"TA9 Entry, Descent and Landing Systems",TA9.4 Vehicle Systems Technology,,"S4.01Planetary Entry, Descent and Landing and Small Body Proximity Operation Technology",S4.01,"Planetary Entry, Descent and Landing and Small Body Proximity Operation Technology"
TA10 Nanotechnology,TA10.1 Engineered Materials and Structures,,A1.01Structural Efficiency-Hybrid Nanocomposites,A1.01,Structural Efficiency-Hybrid Nanocomposites
TA10.2 Energy Generation and Storage,TA10.2.1 Energy Storage,,S3.06Terrestrial and Planetary Balloons,S3.06,Terrestrial and Planetary Balloons
"TA11 Modeling, Simulation, Information Technology and Processing",TA11.1 Computing,,S5.01Technologies for Large-Scale Numerical Simulation,S5.01,Technologies for Large-Scale Numerical Simulation
"TA11 Modeling, Simulation, Information Technology and Processing",TA11.2 Modeling,,A1.04Quiet Performance; A1.05Physics-Based Conceptual Aeronautics Design Tools; A1.07Efficient Propulsion and Power; S5.04Integrated Science Mission Modeling; Z1.01Modeling and Measurements for Propulsion and Power,A1.04; A1.05; A1.07; S5.04; Z1.01,Quiet Performance; Physics-Based Conceptual Aeronautics Design Tools; Efficient Propulsion and Power; Integrated Science Mission Modeling; Modeling and Measurements for Propulsion and Power
"TA11 Modeling, Simulation, Information Technology and Processing",TA11.4 Information Processing,,"S5.02Earth Science Applied Research and Decision Support; S5.03Algorithms and Tools for Science Data Processing, Discovery and Analysis, in State-of-the-Art Data Environments",S5.02; S5.03,"Earth Science Applied Research and Decision Support; Algorithms and Tools for Science Data Processing, Discovery and Analysis, in State-of-the-Art Data Environments"
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.1 Materials,,"H5.02Extreme Temperature Structures; S4.04Extreme Environments Technology; Z2.01Large-Scale Polymer Matrix Composite (PMC) Structures, Materials, and Manufacturing Processes",H5.02; S4.04; Z2.01,"Extreme Temperature Structures; Extreme Environments Technology; Large-Scale Polymer Matrix Composite (PMC) Structures, Materials, and Manufacturing Processes"
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.2 Structures,,H5.01Deployable Structures; H5.03Multifunctional Materials and Structures,H5.01; H5.03,Deployable Structures; Multifunctional Materials and Structures
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.3 Mechanical Systems,,A1.06Vertical Lift; H13.01Advanced NDE Modeling and Analysis,A1.06; H13.01,Vertical Lift; Advanced NDE Modeling and Analysis
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.5 Cross-Cutting,,A1.03Low Emissions Propulsion and Power; H13.02NDE Sensors; Z6.01Advanced Metallic Materials and Processes Innovation,A1.03; H13.02; Z6.01,Low Emissions Propulsion and Power; NDE Sensors; Advanced Metallic Materials and Processes Innovation
TA13 Ground and Launch Systems Processing,TA13.3 Technologies to Increase Reliability and Mission Availability,,A2.01Flight Test and Measurements Technologies,A2.01,Flight Test and Measurements Technologies
TA14 Thermal Management Systems,TA14.2 Thermal Control Systems,,S3.07Thermal Control Systems,S3.07,Thermal Control Systems
TA15 Aeronautics,TA15.1 Additional Subtopics,,A1.02Aerodynamic Efficiency Drag Reduction Technology; A1.08Ground Testing and Measurement Technologies; A3.01Advanced Air Traffic Management Systems Concepts; A3.02Autonomy of the National Airspace System (NAS); A3.03Future Aviation Systems Safety,A1.02; A1.08; A3.01; A3.02; A3.03,Aerodynamic Efficiency Drag Reduction Technology; Ground Testing and Measurement Technologies; Advanced Air Traffic Management Systems Concepts; Autonomy of the National Airspace System (NAS); Future Aviation Systems Safety
