Higher Topic,Focus Area,Content,Subtopics,Subtopics_encoding,Subtopics_name
TA1 Launch Propulsion Systems,TA1.3 Air Breathing Propulsion Systems,,A1.07Propulsion Efficiency - Turbomachinery Technology for Reduced Fuel Burn,A1.07,Propulsion Efficiency - Turbomachinery Technology for Reduced Fuel Burn
TA1 Launch Propulsion Systems,TA1.5 Unconventional/Other Propulsion Systems,,S3.06Terrestrial and Planetary Balloons,S3.06,Terrestrial and Planetary Balloons
TA2 In-Space Propulsion Technologies,TA2.1 Chemical Propulsion,,A1.03Low Emissions/Clean Power - Combustion Technology/Emissions Measurement Techniques; H2.04Cryogenic Fluid Management for In-Space Transportation; H2.01LOX/Methane In-Space Propulsion,A1.03; H2.04; H2.01,Low Emissions/Clean Power - Combustion Technology/Emissions Measurement Techniques; Cryogenic Fluid Management for In-Space Transportation; LOX/Methane In-Space Propulsion
TA2 In-Space Propulsion Technologies,TA2.2 Non-Chemical Propulsion,,S3.02Propulsion Systems for Robotic Science Missions; H2.02Nuclear Thermal Propulsion (NTP); H2.03High Power Electric Propulsion,S3.02; H2.02; H2.03,Propulsion Systems for Robotic Science Missions; Nuclear Thermal Propulsion (NTP); High Power Electric Propulsion
TA3 Space Power and Energy Storage,TA3.1 Power Generation,,S3.01Power Generation and Conversion; H8.03Advanced Photovoltaic Systems; H8.01Thermal Energy Conversion,S3.01; H8.03; H8.01,Power Generation and Conversion; Advanced Photovoltaic Systems; Thermal Energy Conversion
TA3 Space Power and Energy Storage,TA3.3 Power Management and Distribution,,Z1.01High Power/Voltage Electronics,Z1.01,High Power/Voltage Electronics
TA3 Space Power and Energy Storage,TA3.4 Cross Cutting Technology,,"S3.03Power Electronics and Management, and Energy Storage; H8.02Solid Oxide Fuel Cells and Electrolyzers",S3.03; H8.02,"Power Electronics and Management, and Energy Storage; Solid Oxide Fuel Cells and Electrolyzers"
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.1 Sensing & Perception,,Z6.01Wireless Technology,Z6.01,Wireless Technology
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.2 Mobility,,"S4.04Extreme Environments Technology; H6.01Robotic Systems - Mobility, Manipulation, and Human-System Interaction",S4.04; H6.01,"Extreme Environments Technology; Robotic Systems - Mobility, Manipulation, and Human-System Interaction"
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.3 Manipulation,,"S4.02Robotic Mobility, Manipulation and Sampling",S4.02,"Robotic Mobility, Manipulation and Sampling"
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.4 Human-Systems Integration,,Z5.01Augmented Reality,Z5.01,Augmented Reality
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.5 Autonomy,,"A2.02Unmanned Aircraft Systems Technology; S5.05Fault Management Technologies; S4.05Contamination Control and Planetary Protection; S3.09Command, Data Handling, and Electronics; H6.03Spacecraft Autonomy and Space Mission Automation for Consumables; H6.04Integrating ISHM with Flight Avionics Architectures for Cyber-Physical Space Systems; H6.02Requirements Management for Spacecraft Autonomy and Space Mission Automation",A2.02; S5.05; S4.05; S3.09; H6.03; H6.04; H6.02,"Unmanned Aircraft Systems Technology; Fault Management Technologies; Contamination Control and Planetary Protection; Command, Data Handling, and Electronics; Spacecraft Autonomy and Space Mission Automation for Consumables; Integrating ISHM with Flight Avionics Architectures for Cyber-Physical Space Systems; Requirements Management for Spacecraft Autonomy and Space Mission Automation"
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.6 Autonomous Rendezvous and Docking,,S4.03Spacecraft Technology for Sample Return Missions,S4.03,Spacecraft Technology for Sample Return Missions
TA5 Communication and Navigation,TA5.1 Optical Comm. And Navigation,,S3.08Slow and Fast Light; H9.01Long Range Optical Telecommunications,S3.08; H9.01,Slow and Fast Light; Long Range Optical Telecommunications
TA5 Communication and Navigation,"TA5.4 Position, Navigation, and Timing",,H9.03Flight Dynamics and Navigation Systems,H9.03,Flight Dynamics and Navigation Systems
TA5 Communication and Navigation,TA5.5 Integrated Technologies,,H9.02Advanced Space Communication Systems,H9.02,Advanced Space Communication Systems
"TA6 Human Health, Life Support and Habitation Systems",TA6.1 Environmental Control Life Support & Habitation Systems,,H3.02Environmental Control and Life Support for Spacecraft and Habitats; H14.01International Space Station (ISS) Utilization,H3.02; H14.01,Environmental Control and Life Support for Spacecraft and Habitats; International Space Station (ISS) Utilization
"TA6 Human Health, Life Support and Habitation Systems",TA6.2 Extravehicular Activity Systems,,"H4.01Dust Tolerant, High Pressure Oxygen Quick Disconnect for Advanced Spacesuit and Airlock Applications; H4.02Trace Contaminant Control for Advanced Spacesuit Applications; H4.03EVA Space Suit Power, Avionics, and Software Systems",H4.01; H4.02; H4.03,"Dust Tolerant, High Pressure Oxygen Quick Disconnect for Advanced Spacesuit and Airlock Applications; Trace Contaminant Control for Advanced Spacesuit Applications; EVA Space Suit Power, Avionics, and Software Systems"
"TA6 Human Health, Life Support and Habitation Systems",TA6.3 Human Health and Performance,,H12.02Passive Vital Sign Monitoring; H12.01Task Analysis Visualization and Data Management Tool; H12.03Novel Imaging Technologies for Space Medicine,H12.02; H12.01; H12.03,Passive Vital Sign Monitoring; Task Analysis Visualization and Data Management Tool; Novel Imaging Technologies for Space Medicine
"TA6 Human Health, Life Support and Habitation Systems",TA6.5 Radiation,,H11.01Radiation Shielding Technologies - Transport Codes,H11.01,Radiation Shielding Technologies - Transport Codes
