Higher Topic,Focus Area,Content,Subtopics,Subtopics_encoding,Subtopics_name
,Focus Area 1 In-Space Propulsion Technologies,"NASA is interested in technologies for advanced in-space propulsion systems to reduce travel time, reduce acquisition costs, and reduce operational costs for exploration and science spacecraft.  The future will require demanding propulsive performance and flexibility for more ambitious missions requiring high duty cycles, more challenging environmental conditions, and extended operation.  This focus area seeks innovations for NASA propulsion systems in chemical, electric, and nuclear thermal propulsion systems related to human exploration, sample return missions to Mars, small bodies (like asteroids, comets, and Near-Earth Objects), outer planet moons, and Venus.  Propulsion technologies will focus on a number of mission applications included ascent, descent, orbit transfer, rendezvous, station keeping, and proximity operations.",S3.02Propulsion Systems for Robotic Science Missions; Z10.01Cryogenic Fluid Management; Z10.02Methane In-Space Propulsion; Z10.03Nuclear Thermal Propulsion (NTP),S3.02; Z10.01; Z10.02; Z10.03,Propulsion Systems for Robotic Science Missions; Cryogenic Fluid Management; Methane In-Space Propulsion; Nuclear Thermal Propulsion (NTP)
,Focus Area 2 Power Energy and Storage,"Power is a ubiquitous technology need across many NASA missions.  Within the SBIR Program, power is represented across a broad range of topics in human exploration, space science, space technology and aeronautics.  New technologies are needed to generate electrical power and/or store energy for future human and robotic space missions and to enable hybrid electric aircraft that could revolutionize air travel.  A key goal is to develop technologies that are multi-use and cross-cutting for a broad range of NASA mission applications. In aeronautics, power technologies are needed to supply large-scale electric power and efficiently distribute the power to aircraft propulsors. In the space power domain, mission applications include planetary surface power, large-scale spacecraft prime power, small-scale robotic probe power, and smallsat/cubesat power. Applicable technology options include photovoltaic arrays, radioisotope power systems, nuclear fission, thermal energy conversion, motor/generators, fuel cells, batteries, power management, transmission, distribution and control. An overarching objective is to mature technologies from analytical or experimental proof-of-concept (TRL3) to breadboard demonstration in a relevant environment (TRL5). Successful efforts will transition into NASA Projects where the SBIR deliverables will be incorporated into ground testbeds or flight demonstrations.","S3.01Power Generation and Conversion; S3.03Power Electronics and Management, and Energy Storage; Z1.01High Power, High Voltage Electronics; Z1.02Surface Energy Storage; Z1.03Surface Power Generation",S3.01; S3.03; Z1.01; Z1.02; Z1.03,"Power Generation and Conversion; Power Electronics and Management, and Energy Storage; High Power, High Voltage Electronics; Surface Energy Storage; Surface Power Generation"
,Focus Area 3 Autonomous Systems for Space Exploration,"The exploration of space requires the best of the nation's technical community to provide the technologies that will enable human exploration beyond Low Earth Orbit (LEO): to visit asteroids, and to extend our reach to Mars. Autonomous Systems technologies provide the means of migrating mission control from Earth to spacecraft and habitats. This is enhancing for missions in the Earth-Lunar neighborhood and enabling for deep space missions. Long light-time delays, up to 42 minutes round-trip between Earth and Mars, require time-critical control decisions to be closed on-board autonomously through automation and astronaut-automation teaming rather than through round-trip communication to Earth mission control. Long-term crewed spacecraft and habitats, such as the International Space Station, are so complex that a significant portion of the crew's time is spent keeping it operational under even under nominal conditions in low-Earth orbit, while still requiring significant real-time support from Earth. The considerable challenge is to migrate the knowledge and capability embedded in current Earth mission control, with tens to hundreds of human specialists ready to provide instant knowledge, to on-board automation that teams with astronauts to autonomously manage spacecraft and habitats. The autonomous agent subtopic addresses this challenge by soliciting proposals that leverage the growing field of cognitive computing to advance technology for deep-space autonomy. The technology challenge for autonomous crewed systems in off-nominal conditions is even more critical. In the majority of Apollo lunar missions, Earth mission control was needed to resolve critical off-nominal situations ranging from unexplained computer alarms on Apollo 11 to the oxygen tank explosion on Apollo 13 that required executing an 87 hour free return abort trajectory around the moon and back to earth. Through creative use of Lunar Module assets, Apollo 13 had sufficient resiliency to keep the three astronauts alive despite loss of the oxygen tank and many of the capabilities of the service module. In contrast to a lunar mission, a free return abort trajectory around mars and back to earth is on the order of two years – requiring a leap in resiliency.  To prevent Loss of Mission (LOM) or Loss of Crew (LOC) in deep space missions, spacecraft and habitats will require long-term resiliency to handle failures that lead to loss of critical function or unexpected expenditure of consumables. Long communication delays or accidents that cause loss of communication will require that the initial failure response be handled autonomously. The subtopic on resilient autonomous systems solicits technology for the design and quantification of resiliency in long-duration missions. The subtopic on sustainable habitats solicits technology for long-term system health management that goes beyond short-term diagnosis technology to include advances machine learning and other prognostic technologies. Enhancing the capability of astronauts is also critical for future long-duration deep space missions. Augmented reality technology can guide astronauts in carrying out procedures through various sensory modalities. The augmented reality subtopic within the human research program topic area is very relevant to autonomous systems technologies, and proposers are encouraged to review that subtopic description.",H6.02Resilient Autonomous Systems; H6.03Spacecraft Autonomous Agent Cognitive Architectures for Human Exploration,H6.02; H6.03,Resilient Autonomous Systems; Spacecraft Autonomous Agent Cognitive Architectures for Human Exploration
,Focus Area 4 Robotic Systems for Space Exploration,"This focus area includes development of robotic systems technologies (hardware and software) to improve the exploration of space. Robots can perform tasks to assist and off-load work from astronauts. Robots may perform this work before, in support of, or after humans. Ground controllers and astronauts will remotely operate robots using a range of control modes, over multiple spatial ranges (shared-space, line of sight, in orbit, and interplanetary) and with a range of time-delay and communications bandwidth. Technology is needed for robotic systems to improve transport of crew, instruments, and payloads on planetary surfaces, on and around small bodies, and in-space. This includes hazard detection, sensing/perception, active suspension, grappling/anchoring, legged locomotion, robot navigation, end-effectors, propulsion, and user interfaces.In the coming decades, robotic systems will continue to change the way space is explored. Robots will be used in all mission phases: as independent explorers operating in environments too distant or hostile for humans, as precursor systems operating before crewed missions, as crew helpers working alongside and supporting humans, and as caretakers of assets left behind. As humans continue to work and live in space, they will increasingly rely on intelligent and versatile robots to perform mundane activities, freeing human and ground control teams to tend to more challenging tasks that call for human cognition and judgment.Innovative robot technologies provides a critical capability for space exploration. Multiple forms of mobility, manipulation and human-robot interaction offer great promise in exploring planetary bodies for science investigations and to support human missions. Enhancements and potentially new forms of robotic systems can be realized through advances in component technologies, such as actuation and structures (e.g. 3D printing). Mobility provides a critical capability for space exploration. Multiple forms of mobility offer great promise in exploring planetary bodies for science investigations and to support human missions. Manipulation provides a critical capability for positioning crew members and instruments in space and on planetary bodies, it allows for the handling of tools, interfaces, and materials not specifically designed for robots, and it provides a capability for drilling, extracting, handling and processing samples of multiple forms and scales. This increases the range of beneficial tasks robots can perform and allows for improved efficiency of operations across mission scenarios. Manipulation is important for human missions, human precursor missions, and unmanned science missions.  Sampling, sample handling, transport, and distribution to instruments, or instrument placement directly on in-place rock or regolith, is important for robotic missions to locales too distant or dangerous for human exploration.Future space missions may rely on co-located and distributed teams of humans and robots that have complementary capabilities. Tasks that are considered ""dull, dirty, or dangerous"" can be transferred to robots, thus relieving human crew members to perform more complex tasks or those requiring real-time modifications due to contingencies. Additionally, due to the limited number of astronauts anticipated to crew planetary exploration missions, as well as their constrained schedules, ground control will need to remotely supervise and assist robots using time-delayed and limited bandwidth communications.  Advanced methods of human-robot interaction over time delay will enable more productive robotic exploration of the more distant reaches of the solar system.  This includes improved visualization of alternative future states of the robot and the terrain, as well as intuitive means of communicating the intent of the human to the robotic system.","S4.02Robotic Mobility, Manipulation and Sampling; Z5.01Payload Technologies for Free-Flying Robots; Z5.02Robotic Systems - Mobility Subsystems",S4.02; Z5.01; Z5.02,"Robotic Mobility, Manipulation and Sampling; Payload Technologies for Free-Flying Robots; Robotic Systems - Mobility Subsystems"
,Focus Area 5 Communications and Navigation,"NASA seeks proposals to produce high impact developments in communications and navigation technologies to support future science and exploration missions.  Missions are generating ever-increasing data volumes that require increased performance from communications systems while minimizing the impacts to the spacecraft. Similarly, missions have a need for more precise guidance, navigation, and control to meet their mission objectives. This focus area supports development of technologies in RF and optical communications systems; cognitive systems for communications; and ground-based and onboard guidance, navigation and control systems that will provide a significant improvement over the current state of the art.","H9.01Long Range Optical Telecommunications; H9.02Intelligent Communication Systems; H9.03Flight Dynamics and Navigation Technology; H9.04Advanced RF Communications; H9.05Transformational/Over-the-Horizon Communications Technology; S3.04Guidance, Navigation and Control",H9.01; H9.02; H9.03; H9.04; H9.05; S3.04,"Long Range Optical Telecommunications; Intelligent Communication Systems; Flight Dynamics and Navigation Technology; Advanced RF Communications; Transformational/Over-the-Horizon Communications Technology; Guidance, Navigation and Control"
,Focus Area 6 Life Support and Habitation Systems,"This Focus Area seeks key capabilities and technologies in areas of Habitation Systems, Environmental Control and Life Support Systems (ECLSS), Environmental Monitoring, Radiation Protection and Extravehicular Activity (EVA) Systems.For future crewed missions beyond low-Earth orbit (LEO) and into the solar system, regular resupply of consumables and emergency or quick-return options will not be feasible, and spacecraft will experience a more challenging radiation environment in deep space than in LEO. Technologies are of interest that enable long-duration, safe and sustainable deep-space human exploration with advanced extra-vehicular capability.Habitation systems encompass process technologies, equipment and monitoring functions necessary to provide and maintain a livable environment within the pressurized cabin of crewed spacecraft. Vehicle outfitting provides the equipment necessary for the crew to perform mission tasks as well as provide a comfortable and safe habitable volume.  Three of the largest logistics consumables in spacecraft include logistical packaging, clothing, and food.  Special emphasis is placed on developing technologies that will fill existing gaps, reduce requirements for consumables and other resources including mass, power, volume and crew time, and which will increase safety and reliability with respect to the state-of-the-art.  Environmental control and life support focus in this solicitation includes aspects of atmosphere revitalization and environmental monitoring for air, water and microbial contaminants.Advanced radiation shielding technologies are needed to protect humans from the hazards of space radiation. All space radiation environments in which humans may travel in the foreseeable future are considered, including the Moon, Mars, asteroids, geosynchronous orbit (GEO), and low Earth orbit (LEO). Radiation of interest includes galactic cosmic radiation (GCR), solar energetic particles (SEP), and secondary neutrons.  Computational tools for the evaluation of the transport of space radiation through highly complex vehicle architectures as represented in detailed computer-aided design (CAD) models are needed.  Processing and construction that utilize in situ resources for radiation shielding for habitation systems on Mars are of interest.Advanced Extra-Vehicular Activity (EVA) needs include innovative, robust, lightweight pressure structures for the hard upper torso of the spacesuit, oxygen-compatible gas flow meters for in-suit operation, and advanced sensors to measure space suit interactions with the human body.Please review each subtopic for specific details on content of interest within this solicitation.","H3.01Habitat Outfitting; H3.02Environmental Monitoring for Spacecraft Cabins; H3.03Environmental Control and Life Support; H3.04Logistics Reduction; H4.01Damage Tolerant Lightweight Pressure Structures; H4.02Small, Accurate Oxygen Compatible Gas Flow Meter for Suit Operations; H4.03Sensors to Measure Space Suit Interactions with the Human Body; H6.01Integrated System Health Management for Sustainable Habitats; H11.01Radiation Shielding Technologies for Human Protection",H3.01; H3.02; H3.03; H3.04; H4.01; H4.02; H4.03; H6.01; H11.01,"Habitat Outfitting; Environmental Monitoring for Spacecraft Cabins; Environmental Control and Life Support; Logistics Reduction; Damage Tolerant Lightweight Pressure Structures; Small, Accurate Oxygen Compatible Gas Flow Meter for Suit Operations; Sensors to Measure Space Suit Interactions with the Human Body; Integrated System Health Management for Sustainable Habitats; Radiation Shielding Technologies for Human Protection"
,Focus Area 7 Human Research and Health Maintenance,"NASA’s Human Research Program (HRP) investigates and mitigates the highest risks to astronaut health and performance in exploration missions. The goal of the HRP is to provide human health and performance countermeasures, knowledge, technologies, and tools to enable safe, reliable, and productive human space exploration, and to ensure safe and productive human spaceflight. The scope of these goals includes both the successful completion of exploration missions and the preservation of astronaut health over the life of the astronaut. HRP developed an Integrated Research Plan (IRP) to describe the requirements and notional approach to understanding and reducing the human health and performance risks. The IRP describes the Program’s research activities that are intended to address the needs of human space exploration and serve HRP customers. The IRP illustrates the program’s research plan through the timescale of early lunar missions of extended duration. The Human Research Roadmap (http://humanresearchroadmap.nasa.gov) is a web-based version of the IRP that allows users to search HRP risks, gaps, and tasks.The HRP is organized into Program Elements:Human Health Countermeasures.Behavioral Health & Performance.Exploration Medical Capability.Space Human Factors and Habitability.Space Radiation and ISS Medical Projects.Each of the HRP Elements address a subset of the risks, with ISS Medical Projects responsible for the implementation of the research on various space and ground analog platforms. With the exception of Space Radiation, HRP subtopics are aligned with the Elements and solicit technologies identified in their respective research plans.",H12.01Radioprotectors and Mitigators of Space Radiation-induced Health Risks; H12.02Advanced Model-based Adaptive Interfaces and Augmented Reality,H12.01; H12.02,Radioprotectors and Mitigators of Space Radiation-induced Health Risks; Advanced Model-based Adaptive Interfaces and Augmented Reality
,Focus Area 8 In-Situ Resource Utilization,"As terrestrial explorers and settlers learned to use local resources for provisions, shelter, and fuel to stay alive and prosper, so too must future human explorers learn to live off the land and use the resources found in space.  Known as In Situ Resource Utilization (ISRU), this approach to exploration involves any hardware or operation that harnesses and utilizes ‘in-situ’ resources (natural and discarded) to create products and services for robotic and human exploration. By using and converting local resources into products, less material needs to be launched from Earth. The ability to make life support consumables (oxygen, nitrogen, and water), propellants for ascent and space transportation vehicles, and fuel cell reactants for energy generation and storage have the biggest influence on launch mass, crew and mission risk, and cost in current human exploration mission plans. These products can be used to reduce Earth launch mass or lander mass by not bringing everything from Earth, reduce risks to the crew and/or mission by reducing logistics and providing increased self-sufficiency, and reduce costs by needing less launch vehicles to complete the mission and/or through the reuse of hardware and lander/space transportation vehicles. The ISRU Focus Area in this year’s solicitation will concentrate on how to acquire carbon dioxide and water from the Mars atmosphere and soil resources. Because understanding resource characteristics is extremely important to designing larger scale systems to extract and process these resources, the ISRU Focus Area will also emphasize the need for small payloads to perform this task on future lunar missions.Since ISRU can be performed wherever resources may exist, ISRU systems will need to operate in a variety of environments and gravities and need to consider a wide variety of potential resource physical and mineral characteristics. ISRU hardware for Mars missions must be desired to operate continuously (day and night) for very long durations (480 days), and to environments specified in the table below. Proposers will need to address design and operation implications for yearly and day/night changes in surface pressure and temperature in the table below.Mars EnvironmentMinMaxSurface Pressure~700 Pa (0.1 psi)~1000 Pa (0.14 psi)Up to 10% variation in day/night pressureSurface Temperature-153 °C (120 K) at poles~20 °C (293 K) at equatorUp to 100 K change in day/night temperatureWater content in hydrated soils1.5%10%Water content in icy soils10%90%","H1.01Mars Atmosphere Acquisition, Separation, and Conditioning for ISRU; H1.02Mars Soil Acquisition and Processing for In Situ Water; H2.01Lunar Resources",H1.01; H1.02; H2.01,"Mars Atmosphere Acquisition, Separation, and Conditioning for ISRU; Mars Soil Acquisition and Processing for In Situ Water; Lunar Resources"
,"Focus Area 9 Sensors, Detectors and Instruments","NASA's Science Mission Directorate (SMD) (http://nasascience.nasa.gov/) encompasses research in the areas of Astrophysics, Earth Science, Heliophysics and Planetary Science. The National Academy of Science has provided NASA with recently updated Decadal surveys that are useful to identify technologies that are of interest to the above science divisions. Those documents are available at the following locations:Astrophysics - http://sites.nationalacademies.org/bpa/BPA_049810(link is external).Planetary - http://sites.nationalacademies.org/ssb/completedprojects/ssb_065878(link is external).Earth Science - http://science.nasa.gov/earth-science/decadal-surveys/.Heliophysics the 2014 technology roadmap can be downloaded here: http://science.nasa.gov/heliophysics/.A major objective of SMD instrument development programs is to implement science measurement capabilities with smaller or more affordable spacecraft so development programs can meet multiple mission needs and therefore make the best use of limited resources. The rapid development of small, low-cost remote sensing and in situ instruments is essential to achieving this objective. For Earth Science needs, in particular, the subtopics reflect a focus on instrument development for airborne and Unmanned Aerial Vehicle (UAV) platforms. Astrophysics has a critical need for sensitive detector arrays with imaging, spectroscopy, and polarimetric capabilities, which can be demonstrated on ground, airborne, balloon, or suborbital rocket instruments. Heliophysics, which focuses on measurements of the sun and its interaction with the Earth and the other planets in the solar system, needs a significant reduction in the size, mass, power, and cost for instruments to fly on smaller spacecraft. Planetary Science has a critical need for miniaturized instruments with in situ sensors that can be deployed on surface landers, rovers, and airborne platforms. For the 2017 program year, we are restructuring the Sensors, Detectors and Instruments Topic, adding new, rotating out, splitting and retiring some of the subtopics. Please read each subtopic of interest carefully. There are two new subtopics for this year.  The first solicits development of in situ instrument technologies and components to advance the maturity of science instruments focused on the detection of evidence of life, especially extant of life, in the Ocean Worlds.  The second seeks instruments and component technologies that will enable unambiguous determination of whether extant life is present in target environments on other solar system bodies. The microwave technologies subtopic has been split this year into two subtopics one focused on active microwave remote sensing and the second on passive systems such as radiometers and microwave spectrometers.  A key objective of this SBIR topic is to develop and demonstrate instrument component and subsystem technologies that reduce the risk, cost, size, and development time of SMD observing instruments and to enable new measurements. Proposals are sought for development of components, subsystems and systems that can be used in planned missions or a current technology program. Research should be conducted to demonstrate feasibility during Phase I and show a path towards a Phase II prototype demonstration. The following subtopics are concomitant with these objectives and are organized by technology.","S1.01Lidar Remote Sensing Technologies; S1.02Technologies for Active Microwave Remote Sensing; S1.03Technologies for Passive Microwave Remote Sensing; S1.04Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; S1.05Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; S1.06Particles and Field Sensors and Instrument Enabling Technologies; S1.07In Situ Instruments/Technologies for Planetary Science; S1.08Surface & Sub-surface Measurement Systems; S1.09Cryogenic Systems for Sensors and Detectors; S1.10Atomic Interferometry; S1.11In Situ Instruments/Technologies for Ocean Worlds Life Detection; S1.12Sample Processing For Life Detection Investigations for Ocean Worlds; S4.06Sample Collection For Life Detection in Outer Solar System Ocean World Plumes",S1.01; S1.02; S1.03; S1.04; S1.05; S1.06; S1.07; S1.08; S1.09; S1.10; S1.11; S1.12; S4.06,"Lidar Remote Sensing Technologies; Technologies for Active Microwave Remote Sensing; Technologies for Passive Microwave Remote Sensing; Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; Particles and Field Sensors and Instrument Enabling Technologies; In Situ Instruments/Technologies for Planetary Science; Surface & Sub-surface Measurement Systems; Cryogenic Systems for Sensors and Detectors; Atomic Interferometry; In Situ Instruments/Technologies for Ocean Worlds Life Detection; Sample Processing For Life Detection Investigations for Ocean Worlds; Sample Collection For Life Detection in Outer Solar System Ocean World Plumes"
,Focus Area 10 Advanced Telescope Technologies,"The NASA Science Missions Directorate seeks technology for cost-effective high-performance advanced space telescopes for astrophysics and Earth science. Astrophysics applications require large aperture light-weight highly reflecting mirrors, deployable large structures and innovative metrology, control of unwanted radiation for high-contrast optics, precision formation flying for synthetic aperture telescopes, and cryogenic optics to enable far infrared telescopes. A few of the new astrophysics telescopes and their subsystems will require operation at cryogenic temperatures as cold a 4°K. This topic will consider technologies necessary to enable future telescopes and observatories collecting electromagnetic bands, ranging from UV to millimeter waves, and also include gravity waves. The subtopics will consider all technologies associated with the collection and combination of observable signals. Earth science requires modest apertures in the 2 to 4 meter size category that are cost effective. New technologies in innovative mirror materials, such as silicon, silicon carbide and nanolaminates, innovative structures, including nanotechnology, and wavefront sensing and control are needed to build telescopes for Earth science.","S2.01Proximity Glare Suppression for Astronomical Coronagraphy; S2.02Precision Deployable Optical Structures and Metrology; S2.03Advanced Optical Systems and Fabrication/Testing/Control Technologies for EUV/Optical and IR Telescope; S2.04X-Ray Mirror Systems Technology, Coating Technology for X-Ray-UV-OIR, and Free-Form Optics",S2.01; S2.02; S2.03; S2.04,"Proximity Glare Suppression for Astronomical Coronagraphy; Precision Deployable Optical Structures and Metrology; Advanced Optical Systems and Fabrication/Testing/Control Technologies for EUV/Optical and IR Telescope; X-Ray Mirror Systems Technology, Coating Technology for X-Ray-UV-OIR, and Free-Form Optics"
