Higher Topic,Focus Area,Content,Subtopics,Subtopics_encoding,Subtopics_name
TA1 Launch Propulsion Systems,TA1.3 Air Breathing Propulsion Systems,,A3.03Low Emissions/Clean Power,A3.03,Low Emissions/Clean Power
TA2 In-Space Propulsion Technologies,TA2.1 Chemical Propulsion,,H2.02In-Space Chemical Propulsion; S4.03Spacecraft Technology for Sample Return Missions,H2.02; S4.03,In-Space Chemical Propulsion; Spacecraft Technology for Sample Return Missions
TA2 In-Space Propulsion Technologies,TA2.2 Non-Chemical Propulsion,,Z1.03Integrated Nuclear Power & Propulsion; H2.01High Power Electric Propulsion; H2.03Nuclear Thermal Propulsion (NTP); S3.02Propulsion Systems for Robotic Science Missions,Z1.03; H2.01; H2.03; S3.02,Integrated Nuclear Power & Propulsion; High Power Electric Propulsion; Nuclear Thermal Propulsion (NTP); Propulsion Systems for Robotic Science Missions
TA2 In-Space Propulsion Technologies,TA2.4 Supporting Technologies,,H2.04Nuclear Thermal Propulsion (NTP) Ground Test Technologies,H2.04,Nuclear Thermal Propulsion (NTP) Ground Test Technologies
TA3 Space Power and Energy Storage,TA3.1 Power Generation,,Z1.01Advanced Photovoltaic Systems; H8.02Space Nuclear Power Systems,Z1.01; H8.02,Advanced Photovoltaic Systems; Space Nuclear Power Systems
TA3 Space Power and Energy Storage,TA3.2 Energy Storage,,Z1.02Advanced Space Battery Technology,Z1.02,Advanced Space Battery Technology
TA3 Space Power and Energy Storage,TA3.3 Power Management and Distribution,,"S3.03Power Electronics and Management, and Energy Storage",S3.03,"Power Electronics and Management, and Energy Storage"
TA3 Space Power and Energy Storage,TA3.4 Cross Cutting Technology,,H8.01Solid Oxide Fuel Cells and Electrolyzers; S3.01Power Generation and Conversion; S3.06Terrestrial and Planetary Balloons,H8.01; S3.01; S3.06,Solid Oxide Fuel Cells and Electrolyzers; Power Generation and Conversion; Terrestrial and Planetary Balloons
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.3 Manipulation,,"S4.02Robotic Mobility, Manipulation and Sampling",S4.02,"Robotic Mobility, Manipulation and Sampling"
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.5 Autonomy,,A1.03Real-Time Safety Assurance under Unanticipated and Hazardous Conditions; H6.01Spacecraft Autonomy and Space Mission Automation,A1.03; H6.01,Real-Time Safety Assurance under Unanticipated and Hazardous Conditions; Spacecraft Autonomy and Space Mission Automation
TA5 Communication and Navigation,TA5.1 Optical Comm. And Navigation,,H9.02Long Range Optical Telecommunications; H9.05Advanced Celestial Navigation Techniques and Systems for Deep-Space Applications,H9.02; H9.05,Long Range Optical Telecommunications; Advanced Celestial Navigation Techniques and Systems for Deep-Space Applications
TA5 Communication and Navigation,TA5.2 Radio Frequency Communications,,H9.01SCaN Testbed (CoNNeCT) Experiments; H9.03Long Range Space RF Telecommunications,H9.01; H9.03,SCaN Testbed (CoNNeCT) Experiments; Long Range Space RF Telecommunications
TA5 Communication and Navigation,"TA5.4 Position, Navigation, and Timing",,"H9.04Flight Dynamics GNC Technologies and Software; S3.05Guidance, Navigation and Control",H9.04; S3.05,"Flight Dynamics GNC Technologies and Software; Guidance, Navigation and Control"
"TA6 Human Health, Life Support and Habitation Systems",TA6.1 Environmental Control Life Support & Habitation Systems,,H3.03Human Accommodations and Habitation Systems for Future Exploration Missions; H3.04Development of Treatment Technologies and Process Monitoring for Water Recovery,H3.03; H3.04,Human Accommodations and Habitation Systems for Future Exploration Missions; Development of Treatment Technologies and Process Monitoring for Water Recovery
"TA6 Human Health, Life Support and Habitation Systems",TA6.2 Extravehicular Activity Systems,,H4.01Space Suit Pressure Garment and Airlock Technologies,H4.01,Space Suit Pressure Garment and Airlock Technologies
"TA6 Human Health, Life Support and Habitation Systems",TA6.3 Human Health and Performance,,H12.01Next Generation Oxygen Concentrator for Medical Scenarios; H12.02Inflight Calcium Isotope Measurement Device; H12.03Objective Sleep Measures for Spaceflight Operations; H12.04Advanced Food Technology,H12.01; H12.02; H12.03; H12.04,Next Generation Oxygen Concentrator for Medical Scenarios; Inflight Calcium Isotope Measurement Device; Objective Sleep Measures for Spaceflight Operations; Advanced Food Technology
"TA6 Human Health, Life Support and Habitation Systems",TA6.5 Radiation,,H11.01Radiation Shielding Systems,H11.01,Radiation Shielding Systems
TA7 Human Exploration Destination Systems,TA7.1 In-Situ Resource Utilization,,H1.01In-Situ Resource Utilization - Mars Atmosphere/Gas Chemical Processing; H10.02International Space Station (ISS) Utilization,H1.01; H10.02,In-Situ Resource Utilization - Mars Atmosphere/Gas Chemical Processing; International Space Station (ISS) Utilization
TA7 Human Exploration Destination Systems,TA7.4 Advanced Habitat Systems,,H3.02Atmosphere Revitalization and Fire Recovery for Future Exploration Missions,H3.02,Atmosphere Revitalization and Fire Recovery for Future Exploration Missions
"TA8 Science Instruments, Observatories & Sensor Systems",TA8.1 Science Instruments,,S1.06In Situ Sensors and Sensor Systems for Lunar and Planetary Science; S1.07Airborne Measurement Systems; S1.08Surface and Sub-surface Measurement Systems; S2.01Proximity Glare Suppression for Astronomical Coronagraphy; S2.02Precision Deployable Optical Structures and Metrology; S2.03 Advanced Optical Systems; S4.04Extreme Environments Technology,S1.06; S1.07; S1.08; S2.01; S2.02; S2.03; S4.04,In Situ Sensors and Sensor Systems for Lunar and Planetary Science; Airborne Measurement Systems; Surface and Sub-surface Measurement Systems; Proximity Glare Suppression for Astronomical Coronagraphy; Precision Deployable Optical Structures and Metrology; Advanced Optical Systems; Extreme Environments Technology
"TA8 Science Instruments, Observatories & Sensor Systems",TA8.3 Sensor Systems,,"A1.01Aviation External Hazard Sensor Technologies; S1.01Lidar Remote Sensing Technologies; S1.02Microwave Technologies for Remote Sensing; S1.03Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; S1.04Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; S1.05Particles and Field Sensors and Instrument Enabling Technologies; S1.09Atomic Interferometry; S3.04Unmanned Aircraft and Sounding Rocket Technologies",A1.01; S1.01; S1.02; S1.03; S1.04; S1.05; S1.09; S3.04,"Aviation External Hazard Sensor Technologies; Lidar Remote Sensing Technologies; Microwave Technologies for Remote Sensing; Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; Particles and Field Sensors and Instrument Enabling Technologies; Atomic Interferometry; Unmanned Aircraft and Sounding Rocket Technologies"
