Higher Topic,Focus Area,Content,Subtopics,Subtopics_encoding,Subtopics_name
Space Operations,Topic O1 Space Communications,"NASA's communications capability is based on the premise that communications shall enable and not constrain missions. Communications must be robust to support the numerous missions for space science, Earth science and exploration of the universe. Technologies such as optical communications, RF including antennas and ground based Earth stations, surface networks, access links, reprogrammable communications systems, advanced antenna technology, transmit array concepts and communications in support of launch services including space based assets are very important to the future of exploration and science activities of the Agency. Emphasis is placed on size, weight and power improvements. Even greater emphasis is placed on these attributes as small satellites (e.g., micro and nano satellite) technology matures. Innovative solutions centered on operational issues are needed in all of the aforementioned areas. Communication technologies enabling acquisition of range safety data from sensitive instruments is imperative. All technologies developed under this topic area to be aligned with the Architecture Definition Document and technical direction as established by the NASA Office of Space Communications and Navigation (SCaN). For more details, see: https://www.spacecomm.nasa.gov/spacecomm/ https://www.spacecomm.nasa.gov/spacecomm/programs/default.cfm https://www.spacecomm.nasa.gov/spacecomm/programs/technology/default.cfm https://www.spacecomm.nasa.gov/spacecomm/programs/technology/sbir/default.cfm A typical approach for flight hardware would include: Phase I – Research to identify and evaluate candidate telecommunications technology applications to demonstrate the technical feasibility and show a path towards a hardware/software demonstration.  Bench or lab-level demonstrations are desirable. Phase II – Emphasis should be placed on developing and demonstrating the technology under simulated flight conditions. The proposal shall outline a path showing how the technology could be developed into space-worthy systems. The contract should deliver a demonstration unit for functional and environmental testing at the completion of the Phase II contract. Some of the subtopics in this topic could result in products that may be included in a future flight opportunity. Please see the following for more details: SMD Topic S4 for more details concerning requirements for Small Satellite flight opportunities.Facilitated Access to the Space Environment for Technology Development and Training (FAST):http://ipp.nasa.gov/ii_fast.htmInternational Space Station payload opportunities:http://www.nasa.gov/mission_pages/station/science/experiments/Discipline.html Terrestrial analogs (Desert Rats, Haughton Field):http://www.nasa.gov/exploration/analogs/desert_rats.html, http://ti.arc.nasa.gov/projects/haughton_field Note: Communications technologies for space-based range must be highly integrated with required navigation components; hence, space-based range technologies are solicited in Space Transportation Subtopic O2.03 – Spaceport Enhancements and Improvements.",O1.01Antenna Technology; O1.02Reconfigurable/Reprogrammable Communication Systems; O1.03Game Changing Technologies; O1.04Long Range Optical Telecommunications; O1.05Long Range Space RF Telecommunications; O1.06Space Networking,O1.01; O1.02; O1.03; O1.04; O1.05; O1.06,Antenna Technology; Reconfigurable/Reprogrammable Communication Systems; Game Changing Technologies; Long Range Optical Telecommunications; Long Range Space RF Telecommunications; Space Networking
Space Operations,Topic O2 Space Transportation,"
 Achieving space flight remains a challenging enterprise. It is an undertaking of great complexity, requiring numerous technological and engineering disciplines and a high level of organizational skill. Overcoming Earth's gravity to achieve orbit demands collections of quality data to maintain the security required of the range. The harsh environment of space puts tight constraints on the equipment needed to perform the necessary functions. Not only is there a concern for safety but the 2004 Space Transportation Policy directive states that the U.S. should maintain robust transportation capabilities to assure access to space. This crosscutting SBIR Topic seeks to enable commercial solutions for U.S. space transportation systems providing significant reductions in cost, and increases in reliability, flight-rate, and frequency of access to space. The goal is a breakthrough in cost and reliability for a wide range of payload sizes and types (including passenger transportation) supporting future orbital flight that can be demonstrated on interim suborbital vehicles. The vision is a competitive marketplace with multiple commercial providers of highly reusable space transportation systems and services with aircraft-like operations, high-flight rates, and short turnaround times (days-to-hours, rather than months). Lower cost and reliable space access will provide significant benefits to civil space (human and robotic exploration beyond Earth as well as Earth science), to commercial industry, to educational institutions, for support to the International Space Station National Laboratory, and to national security. While other strategies can support frequent, low-cost and reliable space access, this topic focuses on the technologies that dramatically alter reusability, reliability and operability of next generation space access systems.","O2.01Secondary/Auxiliary Payload-to-Launch Vehicle Interface Technologies; O2.02Propulsion Technologies; O2.03Spaceport Enhancement & Improvements; O2.04Advanced Composite Tank and Materials Technologies; O2.05Reusable, Reliable, Low Cost Thermal Protection Systems",O2.01; O2.02; O2.03; O2.04; O2.05,"Secondary/Auxiliary Payload-to-Launch Vehicle Interface Technologies; Propulsion Technologies; Spaceport Enhancement & Improvements; Advanced Composite Tank and Materials Technologies; Reusable, Reliable, Low Cost Thermal Protection Systems"
Space Operations,Topic O3 Processing and Operations,"
The Space Operations Mission Directorate (SOMD) is responsible for providing mission critical space exploration services to both NASA customers and to other partners within the U.S. and throughout the world: from flying out the Space Shuttle, to assembling and operating the International Space Station; ensuring safe and reliable access to space; maintaining secure and dependable communications between platforms across the solar system; and ensuring the health and safety of our Nation's astronauts. Each of the activities includes both ground-based and in-flight processing and operations tasks. Support that ensures these tasks are accomplished efficiently and accurately enables successful missions and healthy crews.

This topic area, while focused on operational space flight activities, is broad in scope. NASA is seeking technologies that range from addressing how better to improve and lower costs related to ground and flight assets to how best maximize and extend the life of the International Space Station. A typical approach would include: 


Phase I: Research to identify and evaluate candidate technology applications to demonstrate the technical feasibility and show a path towards a hardware/software demonstration. Bench or lab-level demonstrations are desirable. 
Phase II: Emphasis should be placed on developing and demonstrating the technology under simulated flight conditions. 

The proposal shall outline a path showing how the technology could be developed into space-worthy systems.

The contract should deliver a demonstration unit for functional and environmental testing at the completion of the Phase II contract and, if possible, demonstrate earth based uses or benefits.",O3.01Mission Operations; O3.02ISS Utilization; O3.03ISS Life Extension and Operational Enhancements; O3.04Vehicle Integration and Ground Processing; O3.05Advanced Motion Imaging; O3.06Advanced Acoustic Monitoring Technologies; O3.07Cryogenic Fluid Management Technologies,O3.01; O3.02; O3.03; O3.04; O3.05; O3.06; O3.07,Mission Operations; ISS Utilization; ISS Life Extension and Operational Enhancements; Vehicle Integration and Ground Processing; Advanced Motion Imaging; Advanced Acoustic Monitoring Technologies; Cryogenic Fluid Management Technologies
Space Operations,Topic O4 Navigation,"
 NASA is seeking innovative research in the areas of positioning, navigation, and timing (PNT) that have relevance to Space Communications and Navigation programs and goals, as described at http://www.spacecomm.nasa.gov. NASA's Space Communication and Navigation Office considers the three elements of PNT to represent distinct, constituent capabilities: (1) positioning, by which we mean accurate and precise determination of an asset's location and orientation referenced to a coordinate system; (2) navigation, by which we mean determining an asset's current and/or desired absolute or relative position and velocity state, and applying corrections to course, orientation, and velocity to attain achieve the desired state; and (3) timing, by which we mean an asset's acquiring from a standard, maintaining within user-defined parameters, and transferring where required, an accurate and precise representation of time. This year, NASA seeks PNT technologies in three focus areas: metric tracking of launch vehicles, on-orbit PNT sensors and components, and flight dynamics technologies and software. Some of the subtopics in this topic could result in products that may be included in a future small satellite flight opportunity. Please see the SMD Topic S4 for more details as to the requirements for flight opportunities.","O4.01Metric Tracking of Launch Vehicles; O4.02On-Orbit PNT (Positioning, Navigation, and Timing) Sensors and Components; O4.03Flight Dynamics Software and Technologies",O4.01; O4.02; O4.03,"Metric Tracking of Launch Vehicles; On-Orbit PNT (Positioning, Navigation, and Timing) Sensors and Components; Flight Dynamics Software and Technologies"
Aeronautics Research,Topic A1 Aviation Safety,"
 The Aviation Safety Program focuses on the Nation's future aviation safety challenges. This vigilance for safety must continue in order to meet the projected increases in air traffic capacity and realize the new capabilities envisioned for the Next Generation Air Transportation System (NextGen). The Aviation Safety Program will conduct research to improve the intrinsic safety attributes of legacy and future aircraft and their operations in the Next Generation Air Transportation system, and to eliminate safety-related technology barriers. 

 The program has focused on furthering our understanding of the fundamental questions that need to be addressed for mid- and long-term improvements to aviation safety through engineering analysis and technology design. The results at the fundamental level will be integrated at the discipline and multi-discipline levels to ultimately yield system-level integrated capabilities, methods, and tools for analysis, optimization, prediction, and design that will enable improved safety for a range of operating concepts, vehicle classes, and crew configurations. The Aviation Safety Program is divided into four complementary and highly interlinked projects: 

   The Aircraft Aging and Durability Project performs foundational research in aging science that will ultimately yield multi-disciplinary analysis and optimization capabilities that will enable system-level integrated methods for the detection, prediction, and mitigation/management of aging-related hazards for future civilian and military aircraft. 
 The Integrated Intelligent Flight Deck Project develops tools, methods, principles, guidelines, and technologies for revolutionary flight deck systems that enable transformations toward safer operations. 
 The Integrated Resilient Aircraft Control Project conducts research to advance the state of aircraft flight control to provide onboard control resilience for ensuring safe flight in the presence of adverse conditions. 
 The Integrated Vehicle Health Management Project develops validated tools, technologies and techniques for automated detection, diagnosis and prognosis that enable mitigation of adverse events during flight. 


 Examples areas of program interest include research directed at fundamental knowledge of legacy and future aircraft structures and systems durability; on-board detection, diagnosis, prognosis, prediction and mitigation of system failures and faults; monitoring vehicle and airspace issues to identify problems before they become accidents; understanding aircraft dynamics of current and future vehicles in damaged and upset conditions; robust control systems; aircraft guidance for emergency operation; airborne sensors and sensor systems for the detection and monitoring of external hazards to aircraft (e.g., in-flight icing conditions, wake vortices); design of robust collaborative work environments; effective and robust human-automation systems; and information management for effective decision making. In addition, general methods for dramatically advancing the community's capability for thorough, cost-effective and time-effective verification and validation of safety-critical systems are of interest to the program as a whole, including rigorous methods for validating design requirements for vehicles and aviation operations, verifying integrated and distributed aircraft and air traffic systems (including assumptions about human performance), and verifying software-intensive systems. 

 NASA seeks highly innovative proposals that will complement its work in science and technologies that build upon and advance the Agency's unique safety-related research capabilities vital to aviation safety. Additional information is available at http://www.aeronautics.nasa.gov/programs_avsafe.htm.",A1.01Mitigation of Aircraft Aging and Durability-Related Hazards; A1.02Sensing and Diagnostic Capability for Aircraft Aging and Damage; A1.03Prediction of Aging Effects; A1.04Aviation External Hazard Sensor Technologies; A1.05Crew Systems Technologies for Improved Aviation Safety; A1.06Technologies for Improved Design and Analysis of Flight Deck Systems; A1.07Adaptive Aeroservoelastic Suppression; A1.08Robust Propulsion Control; A1.09Pilot Interactions with Adaptive Control Systems under Off-Nominal Conditions; A1.10Detection of Aircraft Anomalies; A1.11Diagnosis of Aircraft Anomalies; A1.12Prognosis of Aircraft Anomalies; A1.13Healing Material System Concepts for IVHM; A1.14Verification and Validation of Flight-Critical Systems; A1.15Data Mining,A1.01; A1.02; A1.03; A1.04; A1.05; A1.06; A1.07; A1.08; A1.09; A1.10; A1.11; A1.12; A1.13; A1.14; A1.15,Mitigation of Aircraft Aging and Durability-Related Hazards; Sensing and Diagnostic Capability for Aircraft Aging and Damage; Prediction of Aging Effects; Aviation External Hazard Sensor Technologies; Crew Systems Technologies for Improved Aviation Safety; Technologies for Improved Design and Analysis of Flight Deck Systems; Adaptive Aeroservoelastic Suppression; Robust Propulsion Control; Pilot Interactions with Adaptive Control Systems under Off-Nominal Conditions; Detection of Aircraft Anomalies; Diagnosis of Aircraft Anomalies; Prognosis of Aircraft Anomalies; Healing Material System Concepts for IVHM; Verification and Validation of Flight-Critical Systems; Data Mining
Aeronautics Research,Topic A2 Fundamental Aeronautics,"
 The Fundamental Aeronautics Program (FAP) encompasses the principles of flight in any atmosphere, and at any speed. The program develops focused technological capabilities, starting with the most basic knowledge of underlying phenomena through validation and verification of advanced concepts and technologies at the component and systems level. Physics-based, multidisciplinary design, analysis, and optimization (MDAO) tools will be developed that make it possible to evaluate radically new vehicle designs and to assess, with known uncertainties, the potential impact of innovative technologies and concepts on a vehicle's overall performance. The development of advanced component technologies will realize revolutionary improvements in noise, emissions, and performance. The program also supports NASA's human and robotic exploration missions by advancing knowledge in aeronautical areas critical to planetary Entry, Descent, and Landing. NASA has defined a four-level approach to technology development: conduct foundational research to further our fundamental understanding of the underlying physics and our ability model that physics; leverage the foundational research to develop technologies and analytical tools focused on discipline-based solutions; integrate methods and technologies to develop multi-disciplinary solutions; and solve the aeronautics challenges for a broad range of air vehicles with system-level optimization, assessment and technology integration. 

 Structurally, the FAP is composed of four projects: hypersonic flight, supersonic flight, subsonic fixed-wing aircraft and subsonic rotary-wing aircraft. 

 Hypersonics (HYP) 
   Fundamental research in all disciplines to enable very-high speed flight (for airbreathing launch vehicles) and Entry, Descent and Landing into planetary atmospheres 
 High-temperature materials, thermal protection systems (single and multi-use), airbreathing propulsion, aero-thermodynamics, multi-disciplinary analysis and design, guidance, navigation, and control GN&C, advanced experimental capabilities, and supersonic decelerator technologies 


 Supersonics (SUP)
   Eliminate environmental and performance barriers that prevent practical supersonic vehicles (cruise efficiency, noise and emissions, vehicle integration and control) 


 Subsonic Fixed Wing (SFW) 
   Develop revolutionary technologies and aircraft concepts with highly improved performance while satisfying strict noise and emission constraints 
 Focus on enabling technologies: acoustics predictions, propulsion / combustion, system integration, high-lift concepts, lightweight and strong materials, GNC 


 Subsonic Rotary Wing (SRW) 
   Improve civil potential of rotary wing vehicles (vs. fixed wing) while maintaining their unique benefits 
 Key advances in multiple areas through innovation in materials, aeromechanics, flow control, propulsion 


 Each project addresses specific discipline, multi-discipline, sub-system and system level technology issues relevant to that flight regime. A key aspect of the Fundamental Aeronautics Program is that many technical issues are common across multiple flight regimes and may be best resolved in an integrated coordinated manner. As such, the FAP subtopics are organized by discipline, not by flight regime, with a special subtopic for rotary-wing issues. 

 Additional information: http://www.aeronautics.nasa.gov/fap/index.html","A2.01Materials and Structures for Future Aircraft; A2.02Combustion for Aerospace Vehicles; A2.03Aero-Acoustics; A2.04Aeroelasticity; A2.05Aerodynamics; A2.06Aerothermodynamics; A2.07Flight and Propulsion Control and Dynamics; A2.08Aircraft Systems Analysis, Design and Optimization; A2.09Rotorcraft; A2.10Propulsion Systems",A2.01; A2.02; A2.03; A2.04; A2.05; A2.06; A2.07; A2.08; A2.09; A2.10,"Materials and Structures for Future Aircraft; Combustion for Aerospace Vehicles; Aero-Acoustics; Aeroelasticity; Aerodynamics; Aerothermodynamics; Flight and Propulsion Control and Dynamics; Aircraft Systems Analysis, Design and Optimization; Rotorcraft; Propulsion Systems"
Aeronautics Research,Topic A3 Airspace Systems,"
 NASA's Airspace Systems Program (ASP) is investing in the development, validation and transfer of advanced innovative concepts, technologies and procedures to support the development of the Next Generation Air Transportation System (NextGen). This investment includes partnerships with other government agencies represented in the Joint Planning and Development Office (JPDO), including the Federal Aviation Administration (FAA) and joint activities with the U.S. aeronautics industry and academia. As such, ASP will develop and demonstrate future concepts, capabilities, and technologies that will enable major increases in air traffic management effectiveness, flexibility, and efficiency, while maintaining safety, to meet capacity and mobility requirements of NextGen. ASP integrates the two projects NextGen Concepts and Technology Development (CTD) and NextGen Systems Analysis Integration and Evaluation (SAIE), to directly address the fundamental research needs of NextGen vision in partnership with the member agencies of the JPDO. The CTD develops and explores fundamental concepts, algorithms, and air-borne and ground-based technologies to increase capacity and throughput of the national airspace system, to address demand-capacity imbalances, and achieve high efficiency in the use of resources such as airports, en route and terminal airspace. The SAIE Project is responsible for facilitating the Research and Development maturation of integrated concepts through evaluation in relevant environments, providing integrated solutions, characterizing airspace system problem spaces, defining innovative approaches, and assessing the potential system impacts and design ramifications of the program's portfolio. Together, the projects will also focus NASA's technical expertise and world-class facilities to address the question of where, when, how and the extent to which automation can be applied to moving air traffic safely and efficiently through the NAS and technologies that address optimal allocation of ground and air technologies necessary for NextGen. Additionally, the roles and responsibilities of humans and automation influence in the ATM will be addressed by both projects. Key objectives of NASA's AS Program are to: 

   Improve mobility, capacity, efficiency and access of the airspace system; 
 Improve collaboration, predictability, and flexibility for the airspace users; 
 Enable accurate modeling and simulation of air transportation systems; 
 Accommodate operations of all classes of aircraft; and 
 Maintain system safety and environmental protection.",A3.01Concepts and Technology Development (CTD); A3.02Systems Analysis Integration Evaluation (SAIE),A3.01; A3.02,Concepts and Technology Development (CTD); Systems Analysis Integration Evaluation (SAIE)
Aeronautics Research,Topic A4 Aeronautics Test Technologies,"
 The Aeronautics Test Program (ATP) ensures the long term availability and health of NASA's major wind tunnels/ground test facilities and flight operations/test infrastructure that support NASA, DoD and U.S. industry research and development (R&D) and test and evaluation (T&E) requirements. Furthermore, ATP provides rate stability to the aforementioned user community. The ATP facilities are located at four NASA Centers made up of the Ames Research Center, Dryden Flight Research Center, Glenn Research Center and Langley Research Center. Classes of facilities within the ATP include low speed, transonic, supersonic, and hypersonic wind tunnels, hypersonic propulsion integration test facilities, air-breathing engine test facilities, the Western Aeronautical Test Range (WATR), support and test bed aircraft, and the simulation and loads laboratories. A key component of ensuring a test facility's long term viability is to implement and continually improve on the efficiency and effectiveness of that facility's operations along with developing new technologies to address the nation's future aerospace challenges. To operate a facility in this manner requires the use of state-of-the-art test technologies and test techniques, creative facility performance capability enhancements, and novel means of acquiring test data. NASA is soliciting proposals in the areas of instrumentation, test measurement technology, test techniques and facility development that apply to the ATP facilities to help in achieving the ATP goals of sustaining and improving our test capabilities. Proposals that describe products or processes that are transportable across multiple facility classes are of special interest. The proposals will also be assessed for their ability to develop products that can be implemented across government-owned, industry and academic institution test facilities. Additional information is available at   http://www.aeronautics.nasa.gov/atp/index.html.",A4.01Ground Test Techniques and Measurement Technology; A4.02Flight Test Techniques and Measurement Technology,A4.01; A4.02,Ground Test Techniques and Measurement Technology; Flight Test Techniques and Measurement Technology
Aeronautics Research,Topic A5 Integrated System Research Project  (ISRP),"
 The Integrated Systems Research Program (ISRP), a new program effort that began in FY10, will conduct research at an integrated system-level on promising concepts and technologies and explore, assess or demonstrate their benefits in a relevant environment. The integrated system-level research in this program will be coordinated with on-going long-term, foundational research within the three other research programs, as well as efforts within other Federal Government agencies. As the NextGen evolves to meet the projected growth in demand for air transportation, researchers must address the national challenges of mobility, capacity, safety, and energy and the environment in order to meet the expected growth in air traffic. In particular, the environmental impacts of noise and emissions are a growing concern and could limit the ability of the system to accommodate growth. ISRP will explore and assess new vehicle concepts and enabling technologies through system-level experimentation to simultaneously reduce fuel burn, noise and emissions, and will focus specifically on maturing and integrating technologies in major vehicle systems/subsystems for accelerated transition to practical application. 
ISRP is comprised of one project - the Environmentally Responsible Aviation (ERA) Project. 

Environmentally Responsible Aviation (ERA) 
The project's primary goal is to select vehicle concepts and technologies that can simultaneously reduce fuel burn, noise and emissions; it contains three subprojects: Airframe Technology, Propulsion Technology and Vehicle Systems Integration.
Testing unconventional aircraft configurations that have higher lift to drag ratio, reduced drag and reduced noise around airports; 
Achieving drag reduction through laminar flow; 
Developing composite (nonmetallic) structural concepts to reduce weight and improve fuel burn; and 
Testing advanced, fuel-flexible combustor technologies that can reduce engine NOx emissions.",A5.01Laminar Flow Ground Testing; A5.02Open Rotor Installed Thrust; A5.03Variable Cycle Propulsion,A5.01; A5.02; A5.03,Laminar Flow Ground Testing; Open Rotor Installed Thrust; Variable Cycle Propulsion
Science,"Topic S1 Sensors, Detectors and Instruments","NASA's Science Mission Directorate (SMD) (http://nasascience.nasa.gov/) encompasses research in the areas of Astrophysics (http://nasascience.nasa.gov/astrophysics), Earth Science (http://nasascience.nasa.gov/earth-science), Heliophysics (http://nasascience.nasa.gov/heliophysics), and Planetary Science (http://nasascience.nasa.gov/planetary-science). A major objective of SMD instrument development programs is to implement science measurement capabilities with smaller or more affordable spacecraft so development programs can meet multiple mission needs and therefore make the best use of limited resources. The rapid development of small, low-cost remote sensing and in situ instruments is essential to achieving this objective. For Earth Science needs, in particular, the subtopics reflect a focus on instrument development for airborne and Unmanned Aerial Vehicle (UAV) platforms. Astrophysics has a critical need for sensitive detector arrays with imaging, spectroscopy, and polarimetric capabilities which can be demonstrated on ground, airborne, balloon, or suborbital rocket instruments. Heliophysics, which focuses on measurements of the sun and its interaction with the Earth and the other planets in the solar system, needs a significant reduction in the size, mass, power, and cost for instruments to fly on smaller spacecraft. Planetary Science has a critical need for miniaturized instruments with in situ sensors that can be deployed on surface landers, rovers, and airborne platforms. For the 2010 program year, we are actively encouraging proposal submissions for subtopic S1.10 that solicits technology for geodetic instruments and instruments to enable global navigation and very long baseline interferometry. A key objective of this SBIR topic is to develop and demonstrate instrument component and subsystem technologies that reduce the risk, cost, size, and development time of SMD observing instruments and to enable new measurements. Proposals are sought for development components that can be used in planned missions or a current technology program. Research should be conducted to demonstrate feasibility during Phase I and show a path towards a Phase II prototype demonstration. The following subtopics are concomitant with these objectives and are organized by technology.","S1.01Lidar and Laser System Components; S1.02Active Microwave Technologies; S1.03Passive Microwave Technologies; S1.04Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; S1.05Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; S1.06Particles and Field Sensors and Instrument Enabling Technologies; S1.07Cryogenic Systems for Sensors and Detectors; S1.08In Situ Airborne, Surface, and Submersible Instruments for Earth Science; S1.09In Situ Sensors and Sensor Systems for Planetary Science; S1.10Space Geodetic Observatory Components; S1.11Lunar Science Instruments and Technology",S1.01; S1.02; S1.03; S1.04; S1.05; S1.06; S1.07; S1.08; S1.09; S1.10; S1.11,"Lidar and Laser System Components; Active Microwave Technologies; Passive Microwave Technologies; Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; Particles and Field Sensors and Instrument Enabling Technologies; Cryogenic Systems for Sensors and Detectors; In Situ Airborne, Surface, and Submersible Instruments for Earth Science; In Situ Sensors and Sensor Systems for Planetary Science; Space Geodetic Observatory Components; Lunar Science Instruments and Technology"
