Higher Topic,Focus Area,Content,Subtopics,Subtopics_encoding,Subtopics_name
Space Operations,Topic O1 Space Communications,"NASA's communications capability is based on the premise that communications shall enable and not constrain missions. Communications must be robust to support the numerous missions for space science, Earth science and exploration of the universe. Technologies such as optical communications, RF including antennas and ground based Earth stations, surface networks, access links, navigation and timing, reprogrammable communications systems, communications systems for EVAs, advanced antenna technology and transmit array concepts, communications in support of launch services including space based assets are very important to the future of the exploration and science activities of agency. Also operational issues associated with the communications capability are needed. Communications that enable the range safety data from sensitive instruments is imperative. These technologies are to be aligned with the Space Communications and Navigation Architecture as being developed by the agency.","O1.01Coding, Modulation, and Compression; O1.02Precision Spacecraft Navigation and Tracking; O1.03Communication for Space-Based Range; O1.04Antenna Technology for Spacecraft and Planetary Surface Vehicles; O1.05Reconfigurable/Reprogrammable Communication Systems; O1.06Extravehicular (EVA) Radios; O1.07Transformational Communications Technology; O1.08Long Range Optical Telecommunications; O1.09Long Range Space  RF Telecommunications; O1.10Surface Networks and Orbit Access Links; O1.11Software for Space Communications Infrastructure Operations",O1.01; O1.02; O1.03; O1.04; O1.05; O1.06; O1.07; O1.08; O1.09; O1.10; O1.11,"Coding, Modulation, and Compression; Precision Spacecraft Navigation and Tracking; Communication for Space-Based Range; Antenna Technology for Spacecraft and Planetary Surface Vehicles; Reconfigurable/Reprogrammable Communication Systems; Extravehicular (EVA) Radios; Transformational Communications Technology; Long Range Optical Telecommunications; Long Range Space  RF Telecommunications; Surface Networks and Orbit Access Links; Software for Space Communications Infrastructure Operations"
Space Operations,Topic O2 Space Transportation,"Achieving space flight can be astonishing. It is an undertaking of great complexity, requiring numerous technological and engineering disciplines and a high level of organizational skill. Overcoming Earth's gravity to achieve orbit demands collections of quality data to maintain the security required of the range. The harsh environment of space puts tight constraints on the equipment needed to perform the necessary functions. Not only is there a concern for safety but the 2004 Space Transportation Policy directive that states that the US maintains robust transportation capabilities to assure access to space. Given this backdrop, this topic is designed to address technologies to enable a safer and more reliable space transportation capability. Automated collection of range data, automated tracking and identification of objects, and instrumentation for space transportation system testing are all required. The following subtopics are required secure technologies for these capabilities.",O2.01Automated Optical Tracking and Identification of Tumbling 3D Objects; O2.02Space Transportation Propulsion System and Test Facility Requirements and Instrumentation; O2.03Automated Collection and Transfer of Launch Range Surveillance/Intrusion Data,O2.01; O2.02; O2.03,Automated Optical Tracking and Identification of Tumbling 3D Objects; Space Transportation Propulsion System and Test Facility Requirements and Instrumentation; Automated Collection and Transfer of Launch Range Surveillance/Intrusion Data
Aeronautics Research,Topic A1 Aviation Safety,"
 The Aviation Safety Program focuses on the Nation's aviation safety challenges of the future. This vigilance for safety must continue in order to meet the projected increases in air traffic capacity and realize the new capabilities envisioned for the Next Generation Air Transportation System (NGATS). The Aviation Safety Program will conduct research to improve the intrinsic safety attributes of future aircraft and to eliminate safety-related technology barriers. The program is focusing on a foundational approach to advancing knowledge in core disciplines (e.g., fluid dynamics, computational methods, material science), which in turn is used to build integrated multidisciplinary system-level models, tools, and technologies. This approach focuses on furthering our understanding of the underlying physics, chemistry, materials, etc., of aeronautics phenomena when broken down to these most basic elements. The results at the fundamental level will be integrated at the discipline and multi-discipline levels to ultimately yield system-level integrated capabilities, methods, and tools for analysis, optimization, prediction, and design that will enable improved safety for a range of missions, vehicle classes, and crew configurations. The primary areas of program interest are research directed at the detection, prediction and mitigation/management of aging-related hazards of future civilian and military aircraft; designs of revolutionary adaptive flight decks; in-flight prognosis of aircraft health, preventative and adaptive systems for in-flight operability; informed logistics and maintenance graceful recovery from in-flight failures; software safety assurance and formal verification methods for safety-critical systems; system-level integrated resilient control technologies; as well as effective vehicle-based flight/mission management under adverse, upset, and hazards conditions. NASA seeks highly innovative proposals that will complement its work in science and technologies that build upon and advance the Agency's unique safety-related research capabilities vital to aviation safety.",A1.01Vehicle-Centric 4D Trajectory and Mission Management; A1.02Integrated Resilient Aircraft Control; A1.03Aircraft Aging and Durability; A1.04Aircraft Icing Avoidance and Tolerance; A1.05Crew Systems Technologies for Improved Aviation Safety; A1.06Aviation External Hazard Sensor Technologies; A1.07Integrated Vehicle Health Management,A1.01; A1.02; A1.03; A1.04; A1.05; A1.06; A1.07,Vehicle-Centric 4D Trajectory and Mission Management; Integrated Resilient Aircraft Control; Aircraft Aging and Durability; Aircraft Icing Avoidance and Tolerance; Crew Systems Technologies for Improved Aviation Safety; Aviation External Hazard Sensor Technologies; Integrated Vehicle Health Management
Aeronautics Research,Topic A2 Fundamental Aeronautics,"
 NASA is the Nation's leading government organization for civil aeronautical research. Within NASA's overall strategic plan Aeronautics has the goal to ""Advance knowledge in the fundamental disciplines of aeronautics, and develop technologies for safer aircraft and higher capacity airspace systems."" To address this goal NASA's Aeronautics Research Mission Directorate (ARMD) is organized into three separate Programs: Fundamental Aeronautics, Aviation Safety, and Airspace Systems. 

 The Fundamental Aeronautics Program is dedicated to the mastery and advancement of core aeronautics technologies across all flight regimes. NASA intends to invest broadly and deeply in these core competencies to produce knowledge, technology, and tools that are applicable across a broad range of air vehicles. The program encompasses cutting-edge, fundamental research in traditional aeronautical disciplines, as well as emerging fields with promising application to aeronautics. The overall program is long-term in scope as well as focused and integrated across disciplines. It is implemented through NASA's four research centers: the Ames Research Center, in Mountain View, California; the Dryden Flight Research Center in Edwards, California; the Glenn Research Center in Cleveland, Ohio; and the Langley Research Center in Hampton, Virginia. 

 To achieve these objectives NASA has defined a four-level approach to technology development: (1) conduct foundational research to further our fundamental understanding of the underlying physics and our ability model that physics, (2) leverage the foundational research to develop technologies and analytical tools focused on discipline-based solutions, (3) integrate methods and technologies to develop multi-disciplinary solutions, and (4) solve the aeronautics challenges for a broad range of air vehicles with system-level optimization, assessment and technology integration. 

 The Fundamental Aeronautics will provide for results yielding the following:

   Technology innovation and integrated, multidisciplinary analysis tools; 
 Rapid evaluation of new concepts and technology; 
 Accelerated application of new technology to a wide array of vehicles; 
 Reduced environmental impact and increased public benefit of future aircraft: lower emissions, less noise, higher efficiency, and safer operation.


 Structurally, program is composed of four focused thrust areas: hypersonic flight, supersonic flight, subsonic fixed-wing aircraft and subsonic rotary-wing aircraft. Each thrust area, in turn, addresses specific discipline, multi-discipline, sub-system and system level technology issues relevant to that flight regime. However, a key aspect of the Fundamental Aeronautics program is that many technical issues are common across multiple flight regimes and may be best resolved in an integrated coordinated manner. As such, the Fundamental Aeronautics subtopics are organized by discipline, not by flight regime, with a special subtopic for rotary-wing issues. The full list of Fundamental Aeronautics subtopics are: (1) Materials and Structures, (2) Combustion, (3) Acoustics, (4) Aeroelasticity, (5) Aerodynamics, (6) Aerothermodynamics, (7) Control and Dynamics, (8) Experimental Capabilities and Flight Research, (9) Systems Analysis, Design and Optimization, and (10) Rotorcraft. 

 Each of the subsequent subtopic sections will describe the scope, key issues and technical content of the subtopic. It will also include the specific areas of interest spanning the four flight regimes. Individual proposals are not restricted to any one specific technical area or any single part of the full flight regime. They may address any or all areas included in a subtopic and may cover any or all parts of the entire flight regime.","A2.01Materials and Structures for Future Aircraft; A2.02Combustion for Aerospace Vehicles; A2.03Aero-Acoustics; A2.04Aeroelasticity; A2.05Aerodynamics; A2.06Aerothermodynamics; A2.07Aircraft Control and Dynamics; A2.08Experimental Capabilities and Flight Research; A2.09Aircraft Systems Analysis, Design and Optimization; A2.10Rotorcraft",A2.01; A2.02; A2.03; A2.04; A2.05; A2.06; A2.07; A2.08; A2.09; A2.10,"Materials and Structures for Future Aircraft; Combustion for Aerospace Vehicles; Aero-Acoustics; Aeroelasticity; Aerodynamics; Aerothermodynamics; Aircraft Control and Dynamics; Experimental Capabilities and Flight Research; Aircraft Systems Analysis, Design and Optimization; Rotorcraft"
Aeronautics Research,Topic A3 Airspace Systems,"
 NASA's Airspace Systems (AS) Program is investing in the development of innovative concepts and technologies to support the development of the Next Generation Air Transportation System (NGATS). The NGATS vision calls for a system-wide transformation leading to a new set of capabilities that will enable the system to respond to future needs of the nation for air transportation. NASA is working to develop, validate and transfer advanced concepts, technologies, and procedures through partnership with the Federal Aviation Administration (FAA) and other government agencies represented in the Joint Planning and Development Office (JPDO), and in cooperation with the U.S. aeronautics industry and academia. The NGATS concept for 2025 envisions the safe, efficient, reliable, and secure movement of large numbers of people and goods throughout the air transportation system. It is a system founded on an underlying set of operating principles. Central to these principles is the requirement for a system-wide transformation involving change in organization, as well as culture and policy to assure that the system meets the requirements of the user. The NGATS will provide cost-effective services that are responsive to changing user needs. The system will be designed for environmental compatibility and global interoperability. The major technical challenges are to: 

   Accommodate projected growth in air traffic while maintaining safety; 
 Provide all airspace system users more flexibility and efficiency in their utilization of airports, airspace, and aircraft classes; 
 Reduce system delays; and, 
 Enable new modes of operation that support the transition to NGATS operations in a continually evolving technical environment.


 Key objectives of NASA's AS Program are to: 

   Improve mobility, capacity, efficiency and access of the airspace system; 
 Improve collaboration, predictability, and flexibility for the airspace users; 
 Enable accurate modeling and simulation of air transportation systems; 
 Accommodate operations of all classes of aircraft; and 
 Maintain system safety and environmental protection. 


 The AS program integrates two projects: NGATS-Airspace and NGATS-Airportal.",A3.01Next Generation Air Transportation System - Airspace; A3.02Next Generation Air Transportation - Airportal,A3.01; A3.02,Next Generation Air Transportation System - Airspace; Next Generation Air Transportation - Airportal
Aeronautics Research,Topic A4 Aeronautics Test Technologies,"NASA has implemented the Aeronautics Test Program (ATP) within its Aeronautics Mission Directorate. The purpose of the ATP is to ensure the long term availability and health of the large aeronautics ground test facilities that support NASA, DoD and U.S. industry research and development (R&D) and test and evaluation (T&E) needs. Furthermore, ATP provides rate stability to the aforementioned user community. The ATP facilities are located at the NASA Research Centers, including at Ames Research Center, Glenn Research Center and Langley Research Center. Classes of facilities within the ATP include low speed wind tunnels, transonic wind tunnels, supersonic wind tunnel, hypersonic wind tunnels, hypersonic propulsion integration test facilities, and air-breathing engine test facilities. A key component of ensuring a ground test facility's long term viability is to implement and continually improve on the efficiency and effectiveness of that facility's operations. To operate a facility in this manner requires the use of state-of-art test technologies and test techniques, creative facility performance capability enhancements, and novel means of acquiring test data. NASA is soliciting proposals in the areas of instrumentation, test measurement technology, test techniques and facility development to help in achieving the ATP goals of sustaining and improving our ground test capabilities. Proposals that describe products or processes that are transportable across multiple facility classes are of special interest. The proposals will also be assessed for their ability to develop products that can be implemented across government-owned, industry and academic institution ground test facilities.",A4.01Test Measurement Technology; A4.02Test Techniques and Facility Development,A4.01; A4.02,Test Measurement Technology; Test Techniques and Facility Development
Science,Topic S1 Robotic Exploration of the Moon and Mars,"
 NASA is aggressively pursuing the search for resources on the Moon necessary to sustain prolonged human habitation and the search for water and life on Mars using robotic explorers. NASA is investing in key capabilities to enable advanced robotic missions to the Moon and Mars. This suite of technologies will enable NASA to rapidly respond to discoveries this decade and pursue the search for water and life at Mars wherever it may lead. The technologies developed and tested in each mission will help enable even greater achievements in the missions that follow. See URL: http://marstech.jpl.nasa.gov/ for additional information on Mars Exploration technologies. Key goals are to (1) conduct robotic expeditions to further science and to test new exploration approaches, technologies, and systems that will enable future human exploration of the Moon and Mars; and (2) conduct sustained, long-term robotic exploration of Mars to understand its history and evolution, to search for evidence of life, and to expand the frontiers of human experience and knowledge.","S1.01Surface Robotic Exploration; S1.02Subsurface Robotic Exploration; S1.03Martian Entry, Descent and Landing Sensors",S1.01; S1.02; S1.03,"Surface Robotic Exploration; Subsurface Robotic Exploration; Martian Entry, Descent and Landing Sensors"
Science,Topic S2 Robotic Exploration Throughout the Solar System,"
 NASA's program for Solar System Exploration seeks to answer fundamental questions about the Solar System and life: How do planets form? Why are planets different from one another? Where did the makings of life come from? Did life arise elsewhere in the solar system? What is the future habitability of Earth and other planets? The search for answers to these questions requires that we augment the current remote sensing approach to solar system exploration with a robust program that includes in situ measurements at key places in the solar system, and the return of materials from them for later study on the Earth. We envision a rich suite of missions to achieve this including a comet nucleus sample return, a Europa lander, and a rover or balloon-borne experiment on Saturn's moon, Titan, to name a few. These robotic explorers will pursue compelling scientific questions, demonstrate breakthrough technologies, identify space resources, and extend an advanced telepresence that will send stunning imagery back to Earth. Numerous new technologies will be required to enable such ambitious missions. This topic includes investments in technology to enable the delivery and access of scientific instruments to planetary surfaces and atmospheres. This includes landing, flying, roving, and digging, as well as sample acquisition for delivery to instruments. This topic will also address Earth entry vehicles for sample return missions, planetary protection, and contamination control for in situ missions. The planetary bodies of interest are the Moon, Mars, Venus, Titan, and the icy satellites of the outer planets.",S2.01Astrobiology and Atmospheric Instruments for Planetary Exploration; S2.02In Situ Planetary Atmospheric Measurement Technologies; S2.03Energy Conversion and Power Electronics for Deep Space Missions; S2.04Flexible Antennas and Electronics for L-Band Remote Sensing; S2.05Planetary Balloons and Aerobots,S2.01; S2.02; S2.03; S2.04; S2.05,Astrobiology and Atmospheric Instruments for Planetary Exploration; In Situ Planetary Atmospheric Measurement Technologies; Energy Conversion and Power Electronics for Deep Space Missions; Flexible Antennas and Electronics for L-Band Remote Sensing; Planetary Balloons and Aerobots
Science,Topic S3 Advanced Telescope Systems,"
 The NASA Science Missions Directorate seeks technology for cost-effective high-performance advanced space telescopes for astrophysics and Earth science. Astrophysics applications require large aperture light-weight highly reflecting mirrors, deployable large structures and innovative metrology, control of unwanted radiation for high-contrast optics, precision formation flying for synthetic aperture telescopes, and cryogenic optics to enable far infrared telescopes. A few of the new astrophysics telescopes and their subsystems will require operation at cryogenic temperatures as cold a 4-degrees Kelvin. This topic will consider technologies necessary to enable future telescopes and observatories collecting electromagnetic bands, ranging from UV to millimeter waves, and also include gravity waves. The subtopics will consider all technologies associated with the collection and combination of observable signals. Earth science requires modest apertures in the 2 to 4 meter size category that are cost effective. New technologies in innovative mirror materials, such as silicon, silicon carbide and nanolaminates, innovative structures, including nano-technology, and wavefront sensing and control are needed to build telescope for Earth science that have the potential to cost between $50 to $150M.",S3.01Precision Spacecraft Formations for Advanced Telescope Systems; S3.02Proximity Glare Suppression for Characterization of Faint Astrophysical Objects; S3.03Precision Deployable Structures and Metrology for Advanced Telescope Systems; S3.04Optical Devices for Starlight Detection and Wavefront Analysis,S3.01; S3.02; S3.03; S3.04,Precision Spacecraft Formations for Advanced Telescope Systems; Proximity Glare Suppression for Characterization of Faint Astrophysical Objects; Precision Deployable Structures and Metrology for Advanced Telescope Systems; Optical Devices for Starlight Detection and Wavefront Analysis
Science,Topic S4 Exploration of the Universe Beyond our Solar System,"
 The Universe division of the NASA/GSFC is charged with exploring the universe beyond the solar system - out to its very edges. To do this requires ever more sophisticated instruments (surpassing Chandra, Spitzer, and Hubble) with larger and better optics and more sensitive detector systems. Future mission may include spacecraft in formation-flyin; optics that fold and deploy and can be assembled on orbit; as well as larger arrays of detectors: bolometers, microcalorimeters, and room temperature semiconductors. Some of these arrays may contain billions of pixels. Our missions cover the full range of the electromagnetic spectrum (from sub-mm to gamma-rays) and gravitational waves. Some of our major science goals are to identify dark matter, to understand dark energy, to produce a census of black holes, to image material in the accretion disks around black holes and to measure gravitational waves from a wide range of sources. In addition, we are exploring new technologies for terrestrial sub-orbital platforms including long duration balloons, tethered balloons, and airships. We are soliciting ideas and concepts in six areas covering optical systems, UV, visible, IR and sub-mm detectors, x-ray and gamma-ray detectors, lasers for gravitational wave measurements, and sub-orbital platforms. The subtopics in this area are described in detail in each subtopic section.","S4.01Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; S4.02Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; S4.03Cryogenic Systems for Sensors and Detectors; S4.04Optics Manufacturing and Metrology for Telescopes; S4.05Data Analysis Technologies for Potential Gravity Wave Signals; S4.06Terrestrial Balloon Technology",S4.01; S4.02; S4.03; S4.04; S4.05; S4.06,"Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; Cryogenic Systems for Sensors and Detectors; Optics Manufacturing and Metrology for Telescopes; Data Analysis Technologies for Potential Gravity Wave Signals; Terrestrial Balloon Technology"
