Higher Topic,Focus Area,Content,Subtopics,Subtopics_encoding,Subtopics_name
Space Operations,Topic O1 Space Communications,"
 NASA communications capabilities are based on the premise that communications shall be an enabler and not constrain missions. Communications must be robust to support the numerous missions for space science, Earth science, and exploration of the universe. Technologies such as long range optical communications (under the Science Mission Directorate), near earth and intersatellite optical communications, RF communications technologies including antennas, surface networks, reprogrammable/reconfigurable communications systems, advanced antenna technology and transmit array concepts, and communications in support of launch services are very important to the future of the exploration and science activities of NASA. Communications that enable the range safety data from sensitive instruments is imperative. The subtopics below address these technologies and support the goals of the Agency.","O1.01Coding, Modulation, and Compression; O1.02Precision Navigation and Tracking; O1.03Communiction for Space-Based Range; O1.04Antenna Technology; O1.05Antenna Array Transmission Techniques; O1.06Reconfigurable/Reprogrammable Communication Systems; O1.07Extravehicular (EVA) Radios; O1.08Transformational Communications Technology",O1.01; O1.02; O1.03; O1.04; O1.05; O1.06; O1.07; O1.08,"Coding, Modulation, and Compression; Precision Navigation and Tracking; Communiction for Space-Based Range; Antenna Technology; Antenna Array Transmission Techniques; Reconfigurable/Reprogrammable Communication Systems; Extravehicular (EVA) Radios; Transformational Communications Technology"
Space Operations,Topic O2 Space Transportaion,"
 Achieving space flight can be astonishing. It is an undertaking of great complexity, requiring numerous technological and engineering disciplines and a high level of organizational skill. Overcoming Earth's gravity to achieve orbit demands collections of quality data to maintain the security required of the range. The harsh environment of space puts tight constraints on the equipment needed to perform the necessary functions. Not only is there a concern for safety but the 2004 Space Transportation Policy directive states that the US maintain a robust transportation capabilities to assure access to space. Given this backdrop, this topic is designed to address technologies to enable a safer and more reliable space transportation capability. Paramount to obtaining these capabilities is the development of the technologies identified in the following subtopics.",O2.01Automated Optical Tracking and Identification of 3D Tumbling Objects; O2.02Space Transportation Test Requirements and Instrumentation; O2.03Automated Collection and Transfer of Range Surveillance/Intrusion Data,O2.01; O2.02; O2.03,Automated Optical Tracking and Identification of 3D Tumbling Objects; Space Transportation Test Requirements and Instrumentation; Automated Collection and Transfer of Range Surveillance/Intrusion Data
Aeronautics Research,Topic A1 Aviation Safety and Security,"
 The worldwide commercial aviation accident rate has been nearly constant over the past two decades. Although the rate is very low, increasing traffic over the years may result in the absolute number of accidents also increasing. Without improvements, doubling or tripling of air traffic by 2017 could lead to 50 or more major accidents a year. This number of accidents would have an unacceptable impact on the air transportation system. The goal of NASA's Aviation Safety and Security Program (AvSSP) is to develop and demonstrate technologies that contribute to a reduction in the fatal aviation accident rate. Research and technology will address accidents involving hazardous weather, controlled flight into terrain, human-error-caused accidents and incidents, and mechanical or software malfunctions. The Program will also develop and integrate information technologies needed to build a safer aviation system and provide information for the assessment of situations and trends that indicate unsafe conditions before they lead to accidents. NASA researchers are also looking at ways to adapt aviation technologies already being developed to improve aviation security. The AvSSP is focusing on areas where NASA expertise could make a significant contribution to security: 1) the hardening of aircraft and their systems, 2) secure airspace operation technologies, 3) improved systems to screen passenger and cargo information, and 4) sensors designed to better detect threats. NASA seeks highly innovative proposals that will complement its work in Aviation Safety and Security in the following subtopic areas:","A1.01Crew Systems Technologies for Improved Aviation Safety; A1.02Aviation Safety and Security; Fire, Icing, Propulsion and Secure CNS Aircraft Systems; A1.03Aviation Security Technologies; A1.04Automated On-Line Health Management and Data Analysis",A1.01; A1.02; A1.03; A1.04,"Crew Systems Technologies for Improved Aviation Safety; Aviation Safety and Security; Fire, Icing, Propulsion and Secure CNS Aircraft Systems; Aviation Security Technologies; Automated On-Line Health Management and Data Analysis"
Aeronautics Research,Topic A2 Vehicle Systems,"
 The Vehicle Systems Program (VSP) goal is to provide breakthrough technologies for significantly advanced future air vehicles. The approach is to develop these technologies and demonstrate them in flight to provide evidence of barrier breakthroughs. The benefits of these breakthrough technologies including opening more communities to air transportation, enabling new air transportation models by doubling vehicle speed capacity, eliminating aviation pollution, and enabling new science platforms. VSP will focus on four demonstration projects. The subsonic noise reduction project will start by demonstrating a 50% noise reduction compared to 1997 state of the art. The sonic boom reduction project will begin by demonstrating technology that could enable an acceptable sonic boom level. The high altitude, long endurance project will start by demonstrating a 14-day duration high-altitude aircraft. Finally, the zero emissions aircraft will begin by demonstrating an aircraft powered by hydrogen fuel cells.","A2.01Noise Breakthrough Turbine-Based Propulsion Technologies; A2.02Fuel Cell Technologies for Aircraft Propulsion & Power; A2.03Hydrogen Fuel Systems and Components for Aircraft Applications; A2.04Aircraft Systems Noise Prediction and Reduction; A2.05Electric Drive Components, Power Management and Distribution Technologies; A2.06Smart, Adaptive Aerospace Vehicles With Intelligence; A2.07Revolutionary Atmospheric Flight Concepts; A2.08Modeling, Identification, and Simulation for Control of Aerospace Vehicles to Prepare for Flight Test; A2.09Flight Sensors and Airborne Instruments for Flight Research",A2.01; A2.02; A2.03; A2.04; A2.05; A2.06; A2.07; A2.08; A2.09,"Noise Breakthrough Turbine-Based Propulsion Technologies; Fuel Cell Technologies for Aircraft Propulsion & Power; Hydrogen Fuel Systems and Components for Aircraft Applications; Aircraft Systems Noise Prediction and Reduction; Electric Drive Components, Power Management and Distribution Technologies; Smart, Adaptive Aerospace Vehicles With Intelligence; Revolutionary Atmospheric Flight Concepts; Modeling, Identification, and Simulation for Control of Aerospace Vehicles to Prepare for Flight Test; Flight Sensors and Airborne Instruments for Flight Research"
Aeronautics Research,Topic A3 Airspace Systems,"
 NASA's Airspace Systems (AS) program is investing in development of revolutionary improvements and modernization for the air traffic management (ATM) system. The AS Program will enable new aircraft, new aircraft technologies, and air traffic technology to safely maximize operational efficiency, flexibility, predictability, and access into airspace systems. The major challenges are to accommodate projected growth in air traffic while preserving and enhancing safety; provide all airspace system users more flexibility and efficiency in the use of airports, airspace and aircraft; reduce system delays; enable new modes of operation that support the FAA commitment to ""Free Flight"" and maintain pace with a continually evolving technical environment, and provide for doorstep to destination transportation developments. AS Program objectives are: improve mobility, capacity, efficiency and access of the airspace system; improve collaboration, predictability and flexibility for the airspace users; enable modeling and simulation of air transportation systems; enable runway-independent aircraft and general aviation operations; and maintain system safety and environmental protection. NASA is working to develop, validate, and transfer advanced concepts, technologies, and procedures through partnership with the Federal Aviation Administration (FAA), other government agencies, and in cooperation with the U.S. aeronautics industry.",A3.01Next Generation Air-Traffic Management Systems,A3.01,Next Generation Air-Traffic Management Systems
Science,Topic S1 Robotic Exploration of the Moon and Mars,"
 NASA is aggressively pursuing the search for resources on the Moon necessary to sustain prolonged human habitation and water and life on Mars using robotic explorers. NASA will augment this program and prepare for the next decade of research missions by investing in key capabilities to enable advanced robotic missions to the Moon and Mars. This suite of technologies will enable NASA to rapidly respond to discoveries this decade and pursue the search for water and life at Mars wherever it may lead. The technologies developed and tested in each mission will help enable even greater achievements in the missions that follow. See URL: http://mars.jpl.nasa.gov/technology/ for additional information on Mars Exploration technologies. Key goals are to 1) conduct robotic expeditions to further science and to test new exploration approaches, technologies, and systems that will enable future human exploration of the Moon and Mars, and 2) conduct sustained, long-term robotic exploration of Mars to understand its history and evolution, to search for evidence of life, and to expand the frontiers of human experience and knowledge.","S1.01Detection and Reduction of Biological Contamination on Flight Hardware; S1.02Mars In Situ Robotics Technology; S1.03Long Range Optical Telecommunications; S1.04Entry, Descent and Landing; S1.05Sample Return Technologies",S1.01; S1.02; S1.03; S1.04; S1.05,"Detection and Reduction of Biological Contamination on Flight Hardware; Mars In Situ Robotics Technology; Long Range Optical Telecommunications; Entry, Descent and Landing; Sample Return Technologies"
Science,Topic S2 Robotic Exploration Throughout the Solar System,"
 NASA's program for Solar System Exploration seeks to answer fundamental questions about the Solar System and life: How do planets form? Why are planets different from one another? Where did the makings of life come from? Did life arise elsewhere in the solar system? What is the future habitability of Earth and other planets? The search for answers to these questions requires that we augment the current remote sensing approach to solar system exploration with a robust program that includes in situ measurements at key places in the solar system, and the return of materials from them for later study on the Earth. We envision a rich suite of missions to achieve this including a comet nucleus sample return, a Europa lander, and a rover or balloon-borne experiment on Saturn's moon, Titan, to name a few. These robotic explorers will pursue compelling scientific questions, demonstrate breakthrough technologies, identify space resources, and extend an advanced telepresence that will send stunning imagery back to Earth. Numerous new technologies will be required to enable such ambitious missions. This topic includes investments in technology to enable the delivery and access of scientific instruments to planetary surfaces and atmospheres. This includes landing, flying, roving, and digging, as well as sample acquisition for delivery to instruments. This topic will also address Earth entry vehicles for sample return missions, planetary protection, and contamination control for in situ missions. The planetary bodies of interest are the Moon, Mars, Venus, Titan, and the icy satellites of the outer planets.",S2.01Science Instruments for Conducting Solar System Exploration; S2.02Extreme High Temperature/High Pressure Environment; S2.03Nanosensors; S2.04Deep Space Power Systems; S2.05Astrobiology; S2.06Advanced Flexible Electronics; S2.07Risk Modeling and Analysis,S2.01; S2.02; S2.03; S2.04; S2.05; S2.06; S2.07,Science Instruments for Conducting Solar System Exploration; Extreme High Temperature/High Pressure Environment; Nanosensors; Deep Space Power Systems; Astrobiology; Advanced Flexible Electronics; Risk Modeling and Analysis
Science,Topic S3 Astronomical Observatories to Seek Earth-like Extrasolar Planets and Environments,"
 The NASA Science Missions Directorate seeks to conduct advanced telescope searches for Earth-like planets and habitable environments around neighboring stars. This topic will consider technologies necessary to enable future telescopes and observatories collecting all electromagnetic bands, ranging from X-rays to millimeter waves, and also include gravity waves. The subtopics will consider all technologies associated with the collection and combination of any observable signals.",S3.01Precision Formations for Interferometry; S3.02High Contrast Astrophysical Imaging; S3.03Precision Deployable Lightweight Cryogenic Structures for Large Space Telescopes; S3.04Large-Aperture Lightweight Cryogenic Telescope Components & Systems,S3.01; S3.02; S3.03; S3.04,Precision Formations for Interferometry; High Contrast Astrophysical Imaging; Precision Deployable Lightweight Cryogenic Structures for Large Space Telescopes; Large-Aperture Lightweight Cryogenic Telescope Components & Systems
Science,Topic S4 Exploration of the Universe Beyond Our Solar System,"
 The Universe division of the NASA/GSFC is charged with exploring the universe beyond the solar system - out to its very edges. To do this, requires ever more powerful missions (beyond Chandra, Spitzer, and Hubble) with larger and better optics and detector systems. Future mission may include optics that fold and deploy and can be assembled on orbit, as well as larger arrays of detectors, bolometers, microcalorimeters (superconducting), and room temperature semiconductors. Our missions cover the full range of the electromagnetic spectrum and gravitational waves. Some of our major science goals are to identify dark matter, to understand dark energy, to produce a census of black holes, to image material in the accretion disks around black holes, and to measure gravitational waves from a wide range of sources. In addition, we are exploring new technologies for sub-orbital platforms including long duration balloons, tethered balloons, and airships. We are soliciting ideas and concepts in six areas covering optical systems, UV, visible, IR and sub-mm detectors, X-ray and Gamma-ray detectors, lasers for gravitational wave measurements, and sub-orbital platforms. The subtopics in this area are described in detail in each subtopic section.","S4.01Infrared & Sub-mm Sensors and Detectors; S4.02Terrestrial and Extra-Terrestrial Balloons and Aerobots; S4.03Cryogenic Systems for Sensors and Detectors; S4.04Optics and Optical Telescopes (including X-ray, UV, Visual, IR); S4.05Sensor and Detector Technology for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; S4.06Technologies for Gravity Wave Detection",S4.01; S4.02; S4.03; S4.04; S4.05; S4.06,"Infrared & Sub-mm Sensors and Detectors; Terrestrial and Extra-Terrestrial Balloons and Aerobots; Cryogenic Systems for Sensors and Detectors; Optics and Optical Telescopes (including X-ray, UV, Visual, IR); Sensor and Detector Technology for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; Technologies for Gravity Wave Detection"
Science,Topic S5 Sun - Solar System Connection,"
 The strategic priorities of the Sun-Solar System Connection derive from a stated NASA Strategic Objective, namely: ""Explore the Sun-Earth system to understand the Sun and its effects on Earth, the solar system, and the space environmental conditions that will be experienced by human explorers, and demonstrate technologies that can improve future operational systems."" SSSC has identified three science and exploration objectives. The program will provide the knowledge needed to: 1) open the frontier to space environment prediction: understand the fundamental physical processes of the space environment - from the Sun to Earth, to other planets, and beyond to the interstellar medium; 2) understand the nature of our home in space: understand how society, technological systems, and the habitability of planets are affected by the variable space environment; 3) safeguard our outbound journey: maximize the productivity and safety of human and robotic explorers by developing predictive capability for the extreme and dynamic conditions in space.",S5.01Low Thrust and Propellantless Propulsion Technologies; S5.02Accommodation and Mitigation of Space Environmental Effects; S5.03Technologies for Particles and Fields Measurements,S5.01; S5.02; S5.03,Low Thrust and Propellantless Propulsion Technologies; Accommodation and Mitigation of Space Environmental Effects; Technologies for Particles and Fields Measurements
