Focus Area Code,Subtopic code,Subtopic name
Topic O1,O1.01; O1.02; O1.03; O1.04; O1.05; O1.06; O1.07; O1.08; O1.09,"Coding, Modulation, and Compression; Antenna Technology; Reconfigurable/Reprogrammable Communication Systems; Miniaturized Digital EVA Radio; Transformational Communications Technology; Long Range Optical Telecommunications; Long Range Space RF Telecommunications; Lunar Surface Communication Networks and Orbit Access Links; Software for Space Communications Infrastructure Operations"
Topic O2,O2.01; O2.02,"Automated Collection and Transfer of Launch Range Data  (Surveillance/Intrusion, Weather); Ground Test Facility Technologies"
Topic O3,O3.01; O3.02; O3.03,Human Interface Systems and Technologies; Vehicle Integration and Ground Processing; Enabling Research for ISS
Topic O4,O4.01; O4.02; O4.03; O4.04; O4.05,"Metric Tracking of Launch Vehicles; On-Orbit PNT (Positioning, Navigation, and Timing) Sensors and Components; Lunar Surface Navigation; Flight Dynamics Technologies and Software; Space-Based Range Technologies"
Topic A1,A1.01; A1.02; A1.03; A1.04; A1.05; A1.06; A1.07; A1.08; A1.09; A1.10; A1.11; A1.12; A1.13; A1.14,Mitigation of Aircraft Aging and Durability-Related Hazards; Sensing and Diagnostic Capability for Aircraft Aging and Damage; Prediction of Aging Effects; Aviation External Hazard Sensor Technologies; Crew Systems Technologies for Improved Aviation Safety; Technologies for Improved Design and Analysis of Flight Deck Systems; Adaptive Aeroservoelastic Suppression; Engine Lifing and Prognosis for In-Flight Emergencies; Pilot Interactions with Adaptive Control Systems under Off-Nominal Conditions; Detection of Aircraft Anomalies; Diagnosis of Aircraft Anomalies; Prognosis of Aircraft Anomalies; Healing Material System Concepts for IVHM; Verification and Validation of Flight-Critical Systems
Topic A2,A2.01; A2.02; A2.03; A2.04; A2.05; A2.06; A2.07; A2.08; A2.09; A2.10,"Materials and Structures for Future Aircraft; Combustion for Aerospace Vehicles; Aero-Acoustics; Aeroelasticity; Aerodynamics; Aerothermodynamics; Flight and Propulsion Control and Dynamics; Aircraft Systems Analysis, Design and Optimization; Rotorcraft; Propulsion Systems"
Topic A3,A3.01; A3.02,NextGen Airspace; NextGen Airportal
Topic A4,A4.01; A4.02,Ground Test Techniques and Measurement Technology; Flight Test Techniques and Measurement Technology
Topic S1,S1.01; S1.02; S1.03; S1.04; S1.05; S1.06; S1.07; S1.08; S1.09; S1.10; S1.11,"Lidar and Laser System Components; Active Microwave Technologies; Passive Microwave Technologies; Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; Particles and Field Sensors and Instrument Enabling Technologies; Cryogenic Systems for Sensors and Detectors; In Situ Airborne, Surface, and Submersible Instruments for Earth Science; In Situ Sensors and Sensor Systems for Planetary Science; Space Geodetic Observatory Components; Lunar Science Instruments and Technology"
Topic S2,S2.01; S2.02; S2.03; S2.04; S2.05,Precision Spacecraft Formations for Telescope Systems; Proximity Glare Suppression for Astronomical Coronagraphy; Precision Deployable Optical Structures and Metrology; Advanced Optical Component Systems; Optics Manufacturing and Metrology for Telescope Optical Surfaces
Topic S3,S3.01; S3.02; S3.03; S3.04; S3.05; S3.06; S3.07; S3.08; S3.09; S3.10,"Command, Data Handling, and Electronics; Thermal Control Systems; Power Generation and Conversion; Propulsion Systems; Power Management and Storage; Guidance, Navigation and Control; Sensor and Platform Data Processing and Control; Planetary Ascent Vehicles; Technologies for Unmanned Atmospheric Platforms; Terrestrial Balloon Technologies"
Topic S4,S4.01; S4.02; S4.03; S4.04; S4.05; S4.06,"Radiation Hardened High-Density Memory, High Speed Memory Controllers, Data Busses; Radiation Hardened Integrated Unit:  GPS/IMU/Time/Processor; Wireless Data and/or Power Connectivity for Small Spacecraft; Low Cost, High Accuracy Timing Signals; High Torque, Low Jitter Reaction Wheels or Control Moment Gyros; AI&T Planner and Scheduler"
Topic S5,S5.01; S5.02; S5.03; S5.04; S5.05; S5.06,"Planetary Entry, Descent and Landing Technology; Sample Collection, Processing, and Handling; Surface and Subsurface Robotic Exploration; Rendezvous and Docking Technologies for Orbiting Sample Capture; Extreme Environments Technology; Planetary Balloon Technology"
Topic S6,S6.01; S6.02; S6.03; S6.04; S6.05,"Technologies for Large-Scale Numerical Simulation; Earth Science Applied Research and Decision Support; Algorithms for Science Data Processing and Analysis; Data Management - Storage, Mining and Visualization; Software Engineering Tools for Scientific Models"
Topic X1,X1.01; X1.02; X1.03; X1.04,Automation for Vehicle Habitat Operations; Reliable Software for Exploration Systems; Radiation Hardened/Tolerant and Low Temperature Electronics and Processors; Integrated System Health Management for Ground Operations
Topic X2,X2.01; X2.02; X2.03; X2.04; X2.05,"Spacecraft Cabin Atmosphere Revitalization and Particulate Management; Spacecraft Habitation Systems, Water Recovery and Waste Management; Spacecraft Environmental Monitoring and Control; Spacecraft Fire Protection; Spacecraft Thermal Control Systems"
Topic X3,X3.01; X3.02,Oxygen Production from Lunar Regolith; Lunar ISRU Development and Precursor Activities
Topic X4,X4.01; X4.02; X4.03,Advanced Radiation Shielding Materials and Structures; Expandable Structures; Low Temperature Mechanisms
Topic X5,X5.01; X5.02; X5.03,Composite Structures - Practical Monitoring and NDE for Composite Structures; Composite Structures - Cryotanks; Composite Structures - Manufacturing
Topic X6,X6.01; X6.02,Robotic Systems for Human Exploration; Surface System Dust Mitigation
Topic X7,X7.01; X7.02; X7.03,Advanced Space Rated Batteries; Surface Nuclear Power Systems; Fuel Cells for Surface Systems
Topic X8,X8.01; X8.02,Cryogenic Fluid Transfer and Handling; Cryogenic Instrumentation for Ground and Flight Systems
Topic X9,X9.01; X9.02,Ablative Thermal Protection Systems; Advanced Integrated Hypersonic Entry Systems
Topic X10,X10.01,Cryogenic and Non-Toxic Storable Propellant Space Engines
Topic X11,X11.01; X11.02,Crew Exercise System; EVA Suit Simulator
Topic X12,X12.01; X12.02,Crew Autonomy Assessment for Exploration; Behavioral Health Monitoring Tools
Topic X13,X13.01; X13.02; X13.03,An Automated Tool for Human Factors Evaluations; Situational Awareness for Multi-Agent Operations; Advanced Food Technologies
Topic X14,X14.01; X14.02,Active Charged Particle and Neutron Radiation Measurement Technologies; Miniature Radiation Pulse Processing Electronics
Topic X15,X15.01,Alternative Methods for Ambient Preservation of Human Biological Samples during Spaceflight and Lunar Operations
