Focus Area Code,Subtopic code,Subtopic name
Focus Area 1,Z10.01; Z10.02; Z10.03,Cryogenic Fluid Management; Propulsion Systems for Robotic Science Missions; Nuclear Thermal Propulsion (NTP)
Focus Area 2,S3.01; S3.03; T3.02; T3.03; Z1.01; Z1.03,"Power Generation and Conversion; Power Electronics and Management, and Energy Storage; Intelligent/Autonomous Electrical Power Systems; Bio-inspired Concepts for the Development of Power, Energy and Storage Technologies for Air and Space; High Power Arrays for Solar Electric Propulsion; Fission Surface Power Generation"
Focus Area 3,H6.02; H6.03; S5.05; T4.03; T13.01,Resilient Autonomous Systems; Spacecraft Autonomous Agent Cognitive Architectures for Human Exploration; Fault Management Technologies; Coordination and Control of Swarms of Space Vehicles; Intelligent Sensor Systems
Focus Area 4,S4.02; T4.01; Z5.01; Z5.02; Z5.03,"Robotic Mobility, Manipulation and Sampling; Information Technologies for Intelligent and Adaptive Space Robotics; Augmented Hybrid and Virtual Reality (XR) Technology for Human & Robotics Exploration; Robotic Systems - Mobile Manipulation; Payload Technologies for Free-Flying Robots"
Focus Area 5,H9.01; H9.03; H9.05; S3.04,"Long Range Optical Telecommunications; Flight Dynamics and Navigation Technology; Transformational/Over-the-Horizon Communications Technology; Guidance, Navigation and Control"
Focus Area 6,H3.01; H3.02; H4.01; H4.02; H4.03; H6.01; H12.04; T6.01; T7.01; T7.02,"Process Technologies for Water Recycling in Space; Waste Management and Resource Recovery; Advanced Space Suit Portable Life Support System (PLSS); Controllable, Tinting, Polycarbonate Compatible Coatings for Advanced EVA Spacesuit Visor; Mass Produced, Minimal Capability, Disposable EVA Life Support System; Integrated System Health Management for Sustainable Habitats; Wash System to Disinfect Fresh Fruit & Vegetables Grown in Spaceflight; Innovative Solutions to Carbon Dioxide Removal for Spacecraft, Surface Systems, and EVA Systems; Advanced Bioreactor Development for In Situ Microbial Manufacturing; Space Exploration Plant Growth"
Focus Area 7,H12.01; H12.03,Radioprotectors and Mitigators of Space Radiation-induced Health Risks; Crew Worn Accelerometers in spaceflight environment
Focus Area 8,H1.01; H2.01,Mars Atmosphere ISRU for Mission Consumables; Lunar Resources
Focus Area 9,S1.01; S1.02; S1.03; S1.04; S1.05; S1.06; S1.07; S1.08; S1.09; S1.10; S1.11; S4.06; T8.02,"Lidar Remote Sensing Technologies; Technologies for Active Microwave Remote Sensing; Technologies for Passive Microwave Remote Sensing; Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; Particles and Field Sensors and Instrument Enabling Technologies; In Situ Instruments/Technologies for Planetary Science; In-situ Sensors and Sensor Systems for Earth Science; Cryogenic Systems for Sensors and Detectors; Atomic Interferometry; In Situ Instruments/Technologies and Sample Processing for Ocean Worlds Life Detection; Sample Collection For Life Detection in Outer Solar System Ocean World Plumes; Photonic Integrated Circuits"
Focus Area 10,S2.01; S2.02; S2.03; S2.04,"Proximity Glare Suppression for Astronomical Direct Detection; Precision Deployable Optical Structures and Metrology; Advanced Optical Systems and Fabrication/Testing/Control Technologies for EUV/Optical and IR Telescope; X-Ray Mirror Systems Technology, Coating Technology for X-Ray-UV-OIR, and Free-Form Optics"
Focus Area 11,S3.05; S3.08; S4.03; S4.04; S4.05,"Terrestrial Balloons and Planetary Aerial Vehicles; Command, Data Handling, and Electronics; Spacecraft Technology for Sample Return Missions; Extreme Environments Technology; Contamination Control and Planetary Protection"
Focus Area 12,H5.02; T9.01; Z7.01; Z7.03,"Hot Structure Technology for Atmospheric Entry Vehicles; Lander Systems Technology; Entry Descent & Landing Sensors for Environment Characterization, Vehicle Performance, and Guidance, Navigation and Control; Deployable Aerodynamic Decelerator Technology"
Focus Area 13,S5.01; S5.02; S5.03; S5.04; S5.06,Technologies for Large-Scale Numerical Simulation; Earth Science Applied Research and Decision Support; Machine Learning and Deep Learning for Science and Engineering; Integrated Science Mission Modeling; Space Weather R2O/O2R Technology Development
Focus Area 14,H7.01; H7.02; H7.03; T12.02; Z3.01,Development of Higher Strength Feedstocks for In-Space Manufacturing; In-situ monitoring and development of in-process quality control for in-space manufacturing (ISM) applications; Plasma Jet Printing Technology for Printable Electronics in Space; Extensible Modeling of Metallurgical Additive Manufacturing Processes; Advanced Metallic Materials and Processes Innovation
Focus Area 15,H5.01; T12.01; Z4.01; Z4.02; Z11.01,Mars Surface Solar Array Structures; Thin-Ply Composite Technology and Applications; MISSE Experiments; In-Space Sub-Modular Assembly; NDE Sensors
Focus Area 16,H10.01; H10.02,Advanced Propulsion Systems Ground Test Technology; Autonomous Control Technologies (ACT) for Ground Operations
Focus Area 17,Z2.01,Thermal Management
Focus Area 18,A1.01; A1.02; A1.03; A1.04; A1.05; A1.06; A1.07; A1.08; A1.09; A1.10; T15.01,"Structural Efficiency - Aeroelasticity and Aeroservoelastic Control; Quiet Performance - Propulsion Noise Reduction Technology; Low Emissions/Clean Power - Combustion Technology/Emissions Measurement Techniques; Supersonic Technology - Reduce Take-off and Landing Noise; Computational Tools and Methods; Vertical Lift Technology and Urban Air Mobility; Electrified Aircraft Propulsion & Concepts; Aeronautics Ground Test and Measurement Technologies; Vehicle Safety - Inflight Icing Hazard Mitigation Technology; Hypersonic Seal Technology Development; Aircraft Design, Optimization, and Scaled Model Test"
Focus Area 19,A2.01; A2.02,Flight Test  and Measurement Technologies; Unmanned Aircraft Systems (UAS) Technologies
Focus Area 20,A3.01; A3.02; A3.03,Advanced Air Traffic Management Systems Concepts; Increasing Autonomy in the National Airspace Systems (NAS) (not vehicles); Future Aviation Systems Safety
Focus Area 21,T1.01; Z8.01; Z8.02; Z8.03; Z9.01,Affordable Nano/Micro Launch Propulsion Stages; Cubesat Propulsion Systems; Communications for Distributed Small Spacecraft Beyond LEO; Low Cost Radiation Hardened Integrated Circuit Technology; Small Launch Vehicle Technologies and Demonstrations
Focus Area 22,H8.01,ISS Utilization and Microgravity Research
