Focus Area Code,Subtopic code,Subtopic name
Focus Area 1,T2.02; T2.03; Z10.01; Z10.02; Z10.03,Advanced Technologies for In-Space Electric Propulsion (EP); Performance Demonstration of High Payoff Propulsion Technology: Rotating Detonation Engine and Dual Mode Ionic Liquid; Cryogenic Fluid Management; In-Space Electric Propulsion Component Technologies; Nuclear Thermal Propulsion
Focus Area 2,S3.01; S3.03; Z1.03; Z1.04,"Power Generation and Conversion; Power Electronics and Management, and Energy Storage; Kilowatt-Class Energy Conversion for Small Fission Reactors; Long Duration Lunar Energy Storage and Discharge"
Focus Area 3,H6.01; H6.03; H6.22; S5.05; T4.03,Integrated Systems Health Management for Sustainable Habitats; Spacecraft Autonomous Agent Cognitive Architectures for Human Exploration; Deep Neural Net and Neuromorphic Processors for In-Space Autonomy and Cognition; Fault Management Technologies; Coordination and Control of Swarms of Space Vehicles
Focus Area 4,S4.02; T4.01; Z5.04; Z5.05,"Robotic Mobility, Manipulation and Sampling; Information Technologies for Intelligent and Adaptive Space Robotics; Technologies for Intra-Vehicular Activity Robotics; Lunar Rover Technologies for In-situ Resource Utilization and Exploration"
Focus Area 5,H9.01; H9.03; H9.05; H9.07; S3.04; T5.02,"Long Range Optical Telecommunications; Flight Dynamics and Navigation Technology; Transformational Communications Technology; Cognitive Communication; Guidance, Navigation and Control; Electric field mapping and prediction methods within spacecraft enclosures"
Focus Area 6,H3.02; H3.03; H4.01; H4.04; H6.04; T6.05; T6.06,Spacecraft Solid Waste Management; Microbial Monitoring and Control for Spacecraft Cabins; Exploration Portable Life Support System (xPLSS) for deep space and surface missions; Exploration Pressure Garment System (xPGS) for deep space and surface missions; Model Based Systems Engineering for Distributed Development; Testing of COTS Systems in Space Radiation Environments; Spacecraft Water Sustainability through Nanotechnology
Focus Area 7,H12.01; H12.05; H12.06,Radioprotectors and Mitigators of Space Radiation-induced Health Risks; Reduced Oxygen Usage for Medical Events; Continuous Crew Health Monitoring
Focus Area 8,Z12.01; Z12.02,Extraction of Oxygen from Lunar Regolith; Payloads for Lunar Resources: Volatiles
Focus Area 9,S1.01; S1.02; S1.03; S1.04; S1.05; S1.06; S1.07; S1.08; S1.09; S1.10; S1.11; S4.06; T8.02; T8.04,"Lidar Remote Sensing Technologies; Technologies for Active Microwave Remote Sensing; Technologies for Passive Microwave Remote Sensing; Sensor and Detector Technologies for Visible, IR, Far-IR, and Submillimeter; Detector Technologies for UV, X-Ray, Gamma-Ray Instruments; Particles and Fields Sensors & Instrument Enabling Technologies; In Situ Instruments/Technologies for Lunar and Planetary Science; Suborbital Instruments and Sensor Systems for Earth Science Measurements; Cryogenic Systems for Sensors and Detectors; Atomic Interferometry; In Situ Instruments/Technologies for Ocean Worlds Life Detection; Sample Collection For Life Detection in Outer Solar System Ocean World Plumes; Photonic Integrated Circuits; Metamaterials and Metasurfaces Technology  for Remote Sensing Applications"
Focus Area 10,S2.01; S2.02; S2.03; S2.04,"Proximity Glare Suppression for Astronomical Direct Detection of Exoplanets; Precision Deployable Optical Structures and Metrology; Advanced Optical Systems and Fabrication/Testing/Control Technologies for EUV/Optical and IR Telescope; X-Ray Mirror Systems Technology, Coating Technology for X-Ray-UV-OIR, and Free-Form Optics"
Focus Area 11,S3.05; S3.08; S4.03; S4.04; Z6.01,"Terrestrial Balloons and Planetary Aerial Vehicles; Command, Data Handling, and Electronics; Spacecraft Technology for Sample Return Missions; Extreme Environments Technology; High Performance Space Computing Technology"
Focus Area 12,H5.02; Z7.01; Z7.03; Z7.04,"Hot Structure Technology for Aerospace Vehicles; Entry Descent & Landing Sensors for Environment Characterization, Vehicle Performance, and Guidance, Navigation and Control; Deployable Aerodynamic Decelerator and Weave Diagnostic Technology; Lander Systems Technologies"
Focus Area 13,S5.01; S5.02; S5.03; S5.04; S5.06,Technologies for Large-Scale Numerical Simulation; Commercial Geospatial Analysis Platforms for Earth Science Applications; Bridging the Gap of Applying Machine Learning to Earth Science; Integrated Science Mission Modeling; Space Weather R2O/O2R Technology Development
Focus Area 14,T12.05; Z3.01; Z3.02,In-situ Curing of Thermoset Resin Mixtures; Advanced Metallic Materials and Processes Innovation; Development of Mobile Welding Capabilities for In-Space Manufacturing
