Focus Area Code,Subtopic code,Subtopic name
Focus Area 1,S3.02; Z10.01; Z10.02; Z10.03,Propulsion Systems for Robotic Science Missions; Cryogenic Fluid Management; Methane In-Space Propulsion; Nuclear Thermal Propulsion (NTP)
Focus Area 2,S3.01; S3.03; Z1.01; Z1.02; Z1.03,"Power Generation and Conversion; Power Electronics and Management, and Energy Storage; High Power, High Voltage Electronics; Surface Energy Storage; Surface Power Generation"
Focus Area 3,H6.02; H6.03,Resilient Autonomous Systems; Spacecraft Autonomous Agent Cognitive Architectures for Human Exploration
Focus Area 4,S4.02; Z5.01; Z5.02,"Robotic Mobility, Manipulation and Sampling; Payload Technologies for Free-Flying Robots; Robotic Systems - Mobility Subsystems"
Focus Area 5,H9.01; H9.02; H9.03; H9.04; H9.05; S3.04,"Long Range Optical Telecommunications; Intelligent Communication Systems; Flight Dynamics and Navigation Technology; Advanced RF Communications; Transformational/Over-the-Horizon Communications Technology; Guidance, Navigation and Control"
Focus Area 6,H3.01; H3.02; H3.03; H3.04; H4.01; H4.02; H4.03; H6.01; H11.01,"Habitat Outfitting; Environmental Monitoring for Spacecraft Cabins; Environmental Control and Life Support; Logistics Reduction; Damage Tolerant Lightweight Pressure Structures; Small, Accurate Oxygen Compatible Gas Flow Meter for Suit Operations; Sensors to Measure Space Suit Interactions with the Human Body; Integrated System Health Management for Sustainable Habitats; Radiation Shielding Technologies for Human Protection"
Focus Area 7,H12.01; H12.02,Radioprotectors and Mitigators of Space Radiation-induced Health Risks; Advanced Model-based Adaptive Interfaces and Augmented Reality
Focus Area 8,H1.01; H1.02; H2.01,"Mars Atmosphere Acquisition, Separation, and Conditioning for ISRU; Mars Soil Acquisition and Processing for In Situ Water; Lunar Resources"
Focus Area 9,S1.01; S1.02; S1.03; S1.04; S1.05; S1.06; S1.07; S1.08; S1.09; S1.10; S1.11; S1.12; S4.06,"Lidar Remote Sensing Technologies; Technologies for Active Microwave Remote Sensing; Technologies for Passive Microwave Remote Sensing; Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; Particles and Field Sensors and Instrument Enabling Technologies; In Situ Instruments/Technologies for Planetary Science; Surface & Sub-surface Measurement Systems; Cryogenic Systems for Sensors and Detectors; Atomic Interferometry; In Situ Instruments/Technologies for Ocean Worlds Life Detection; Sample Processing For Life Detection Investigations for Ocean Worlds; Sample Collection For Life Detection in Outer Solar System Ocean World Plumes"
Focus Area 10,S2.01; S2.02; S2.03; S2.04,"Proximity Glare Suppression for Astronomical Coronagraphy; Precision Deployable Optical Structures and Metrology; Advanced Optical Systems and Fabrication/Testing/Control Technologies for EUV/Optical and IR Telescope; X-Ray Mirror Systems Technology, Coating Technology for X-Ray-UV-OIR, and Free-Form Optics"
Focus Area 11,S3.05; S3.07; S3.08; S4.03; S4.04; S4.05; Z6.01,"Terrestrial and Planetary Balloons; Slow and Fast Light; Command, Data Handling, and Electronics; Spacecraft Technology for Sample Return Missions; Extreme Environments Technology; Contamination Control and Planetary Protection; High Performance Space Computing Technology"
Focus Area 12,H5.02; S4.01; Z7.01; Z7.02; Z7.03,"Hot Structure Entry Control Surface Technology; Planetary Entry, Descent and Landing and Small Body Proximity Operation Technology; Supersonic Parachute Inflation Materials Testing, And Instrumentation; Deployable 3D Woven Thermal Protection Materials; Deployable Aerodynamic Decelerator Technology"
Focus Area 13,S5.01; S5.02; S5.03; S5.04,Technologies for Large-Scale Numerical Simulation; Earth Science Applied Research and Decision Support; Enabling NASA Science through Large-Scale Data Processing and Analysis; Integrated Science Mission Modeling
Focus Area 14,H7.01; H7.02; Z3.01; Z3.02,In-Space Manufacturing of Electronics and Avionics; In-Space Manufacturing of Precision Parts; In-Situ Sensing of Additive Manufacturing Processes for Safety-Critical Aerospace Applications; Advanced Metallic Materials and Processes Innovation
Focus Area 15,H5.01; Z4.01; Z11.01; Z11.02,Mars Surface Solar Array Structures; In-Space Structural Assembly and Construction; NDE Sensors; NDE Simulation and Analysis
Focus Area 16,H10.01; H10.02; H10.03,Advanced Propulsion Systems Ground Test Technology; Improved Operations via Interface Design; Cryogenic Purge Gas Recovery and Reclamation
Focus Area 17,S3.06; Z2.01,Thermal Control Systems; Thermal Management
Focus Area 18,A1.01; A1.02; A1.03; A1.04; A1.05; A1.06; A1.07; A1.08; A1.09; A1.10,Structural Efficiency-Tailored Airframe & Structures; Quiet Performance - Airframe Noise Reduction; Low Emissions Propulsion and Power-Turboelectric and Hybrid Electric Aircraft Propulsion; Aerodynamic Efficiency-Active Flow Control Actuators and Design Tools; Computational Methods & Tools - High Fidelity Mesh and Geometry Tools; Vertical Lift Technology; Propulsion Efficiency-Propulsion Materials and Structures; Aeronautics Ground Test and Measurements Technologies; Vehicle Safety- Internal Situational Awareness and Response; Hypersonic Technology-Improvement in Solar Operability Predictions using Computational Algorithms
Focus Area 19,A2.01; A2.02,Flight Test and Measurements Technologies; Unmanned Aircraft Systems Technology
Focus Area 20,A3.01; A3.02; A3.03,Advanced Air Traffic Management Systems Concepts; Autonomy of the National Airspace Systems (NAS); Future Aviation Systems Safety
Focus Area 21,Z8.01; Z8.02; Z8.03; Z8.04; Z8.05; Z9.01,"Small Spacecraft Propulsion Systems; Small Spacecraft Communication Systems; Small Spacecraft Power and Thermal Control; Small Spacecraft Structures, Mechanisms, and Manufacturing; Small Spacecraft Avionics and Control; Small Launch Vehicle Technologies and Demonstrations"
Focus Area 22,H8.01,ISS Utilization and Microgravity Research
