Focus Area Code,Subtopic code,Subtopic name
Topic O1,O1.01; O1.02; O1.03; O1.04; O1.05; O1.06; O1.07; O1.08; O1.09; O1.10; O1.11,"Coding, Modulation, and Compression; Precision Spacecraft and Lunar/Planetary Surface Navigation and Tracking; Communication for Space-Based Range; Antenna Technology; Reconfigurable/Reprogrammable Communication Systems; Miniaturized Digital EVA Radio; Transformational Communications Technology; Long Range Optical Telecommunications; Long Range Space  RF Telecommunications; Surface Networks and Orbit Access Links; Software for Space Communications Infrastructure Operations"
Topic O2,O2.01; O2.02; O2.03,Optical Tracking and Image Analysis; Space Transportation Propulsion System and Test Facility Requirements and Instrumentation; Automated Collection and Transfer of Launch Range Surveillance/Intrusion Data
Topic O3,O3.01; O3.02; O3.03; O3.04,Crew Health and Safety Including Medical Operations; In-helmet Speech Audio Systems and Technologies; Vehicle Integration and Ground Processing; Mission Operations
Topic A1,A1.01; A1.02; A1.03; A1.04; A1.05; A1.06; A1.07; A1.08; A1.09; A1.10; A1.11; A1.12; A1.13,"Mitigation of Aircraft Aging and Durability-related Hazards; Crew Systems Technologies for Improved Aviation Safety; Aviation External Hazard Sensor Technologies; Adaptive Flight Control; Data Mining for Integrated Vehicle Health Management; Sensing and Diagnostic Capability; Advanced Health Management for Aircraft Subsystems; Prediction of Aging Effects; Integrated Avionics Systems for Small Scale Remotely Operated Vechicles; Adaptive Structural Mode Suppression; Universal Enabling IVHM Technologies in Architecture, System Integration, Databases, and Verification and Validation; Technologies for Improvement Design and Analysis of Flight Deck Automation; On-Board Flight Envelope Estimation for Unimpaired and Impaired Aircraft"
Topic A2,A2.01; A2.02; A2.03; A2.04; A2.05; A2.06; A2.07; A2.08; A2.09; A2.10,"Materials and Structures for Future Aircraft; Combustion for Aerospace Vehicles; Aero-Acoustics; Aeroelasticity; Aerodynamics; Aerothermodynamics; Flight and Propulsion Control and Dynamics; Experimental Capabilities and Flight Research; Aircraft Systems Analysis, Design and Optimization; Rotorcraft"
Topic A3,A3.01; A3.02,Next Generation Air Transportation System - Airspace; Next Generation Air Transportation - Airportal
Topic A4,A4.01; A4.02,Test Measurement Technology; Test Techniques and Facility Development
Topic S1,S1.01; S1.02; S1.03; S1.04; S1.05; S1.06; S1.07; S1.08; S1.09,"Lidar System Components; Active Microwave Technologies; Passive Microwave Technologies; Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; Particles and Field Sensors and Instrument Enabling Technologies; Cryogenic Systems for Sensors and Detectors; in situ Airborne, Surface, and Submersible Instruments for Earth Science; In Situ Sensors and Sensor Systems for Planetary  Science"
Topic S2,S2.01; S2.02; S2.03; S2.04; S2.05,Precision Spacecraft Formations for Telescope Systems; Proximity Glare Suppression for Astronomical Coronagraphy; Precision Deployable Optical Structures and Metrology; Optical Devices for Starlight Detection and Wavefront Analysis; Optics Manufacturing and Metrology for Telescope Optical Surfaces
Topic S3,S3.01; S3.02; S3.03; S3.04; S3.05,Avionics and Electronics; Thermal Control Systems; Power Generation and Storage; Propulsion Systems; Terrestrial Balloon Technology
