Focus Area Code,Subtopic code,Subtopic name
TA1.3,A3.03,Low Emissions/Clean Power
TA2.1,H2.02; S4.03,In-Space Chemical Propulsion; Spacecraft Technology for Sample Return Missions
TA2.2,Z1.03; H2.01; H2.03; S3.02,Integrated Nuclear Power & Propulsion; High Power Electric Propulsion; Nuclear Thermal Propulsion (NTP); Propulsion Systems for Robotic Science Missions
TA2.4,H2.04,Nuclear Thermal Propulsion (NTP) Ground Test Technologies
TA3.1,Z1.01; H8.02,Advanced Photovoltaic Systems; Space Nuclear Power Systems
TA3.2,Z1.02,Advanced Space Battery Technology
TA3.3,S3.03,"Power Electronics and Management, and Energy Storage"
TA3.4,H8.01; S3.01; S3.06,Solid Oxide Fuel Cells and Electrolyzers; Power Generation and Conversion; Terrestrial and Planetary Balloons
TA4.3,S4.02,"Robotic Mobility, Manipulation and Sampling"
TA4.5,A1.03; H6.01,Real-Time Safety Assurance under Unanticipated and Hazardous Conditions; Spacecraft Autonomy and Space Mission Automation
TA5.1,H9.02; H9.05,Long Range Optical Telecommunications; Advanced Celestial Navigation Techniques and Systems for Deep-Space Applications
TA5.2,H9.01; H9.03,SCaN Testbed (CoNNeCT) Experiments; Long Range Space RF Telecommunications
TA5.4,H9.04; S3.05,"Flight Dynamics GNC Technologies and Software; Guidance, Navigation and Control"
TA6.1,H3.03; H3.04,Human Accommodations and Habitation Systems for Future Exploration Missions; Development of Treatment Technologies and Process Monitoring for Water Recovery
TA6.2,H4.01,Space Suit Pressure Garment and Airlock Technologies
TA6.3,H12.01; H12.02; H12.03; H12.04,Next Generation Oxygen Concentrator for Medical Scenarios; Inflight Calcium Isotope Measurement Device; Objective Sleep Measures for Spaceflight Operations; Advanced Food Technology
TA6.5,H11.01,Radiation Shielding Systems
TA7.1,H1.01; H10.02,In-Situ Resource Utilization - Mars Atmosphere/Gas Chemical Processing; International Space Station (ISS) Utilization
TA7.4,H3.02,Atmosphere Revitalization and Fire Recovery for Future Exploration Missions
TA8.1,S1.06; S1.07; S1.08; S2.01; S2.02; S2.03; S4.04,In Situ Sensors and Sensor Systems for Lunar and Planetary Science; Airborne Measurement Systems; Surface and Sub-surface Measurement Systems; Proximity Glare Suppression for Astronomical Coronagraphy; Precision Deployable Optical Structures and Metrology; Advanced Optical Systems; Extreme Environments Technology
TA8.3,A1.01; S1.01; S1.02; S1.03; S1.04; S1.05; S1.09; S3.04,"Aviation External Hazard Sensor Technologies; Lidar Remote Sensing Technologies; Microwave Technologies for Remote Sensing; Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; Particles and Field Sensors and Instrument Enabling Technologies; Atomic Interferometry; Unmanned Aircraft and Sounding Rocket Technologies"
TA9.1,H7.01,Advanced Thermal Protection Systems Technologies
TA9.4,S4.01,"Planetary Entry, Descent and Landing Technology"
TA11.1,S5.01,Technologies for Large-Scale Numerical Simulation
TA11.2,A3.02; A3.05; Z1.04; S5.04; S5.05,Quiet Performance; Physics-Based Conceptual Design Tools; Modeling and Measurements for Propulsion and Power; Integrated Science Mission Modeling; Fault Management Technologies
TA11.4,A1.04; A1.05; S5.02; S5.03,"Prognostics and Decision Making; Identification of Sequences of Atypical Occurrences in Massive Heterogeneous Datasets Representing the Operation of a System of Systems; Earth Science Applied Research and Decision Support; Algorithms and Tools for Science Data Processing, Discovery and Analysis, in State-of-the-Art Data Environments"
TA12.1,Z2.01; H5.04,Cross Cutting Advanced Manufacturing Process for Large Scale Bulk Metallic Glass Systems for Aerospace Applications; Hot Structures
TA12.2,A3.01; H5.02; H13.02,Structural Efficiency-Aeroservoelasticity; Deployable Structures; Advanced Structural Health Monitoring
TA12.3,A3.04; A3.06,Aerodynamic Efficiency; Rotorcraft
TA12.4,H5.01; H10.01,Additive Manufacturing of Lightweight Metallic Structures; Recycling/Reclamation of 3-D Printer Plastic for Reuse
TA12.5,A3.07; H5.03; H13.01; S2.04,Propulsion Efficiency - Propulsion Materials and Structures; Advanced Fabrication and Manufacturing of Polymer Matrix Composite (PMC) Structures; Advanced NDE Techniques for Complex Built Up Structures; Optics Manufacturing and Metrology for Telescope Optical Surfaces
TA14.2,H3.01; S3.07,Thermal Control for Future Human Exploration Vehicles; Thermal Control Systems
TA15.1,A1.02; A2.01; A4.01,Inflight Icing Hazard Mitigation Technology; Unmanned Aircraft Systems (UAS) Integration in the National Airspace System (NAS) Research; Ground Test Techniques and Measurement Technologies
