Focus Area Code,Subtopic code,Subtopic name
Topic B5,B5.01; B5.02; B5.03,"Telescience and Flight Payload Operations; Flight Payload Logistics, Integration, Processing, and Crew Activities; Development of Improved Outreach Planning and Implementation Products"
Topic A1,A1.01; A1.02; A1.03; A1.04,"Crew Systems Technologies for Improved Aviation Safety; Aviation Safety and Security: Fire, Icing and Propulsion-Safe and Secure CNS Aircraft Systems; Technologies for Improved Aviation Security; Automated On-Line Health Management and Data Analysis"
Topic A2,A2.01; A2.02; A2.03; A2.04; A2.05; A2.06; A2.07; A2.08; A2.09,"Propulsion System Emissions and Noise Prediction and Reduction; Electric and Intelligent Propulsion Technologies for Environmentally Harmonious Aircraft; Revolutionary Technologies and Components for Propulsion Systems; Airframe Systems Noise Prediction and Reduction; Revolutionary Materials and Structures Technology for Propulsion  and Power Components; Smart, Adaptive Aerospace Vehicles With Intelligence; Revolutionary Flight Concepts; Modeling, Identification, and Simulation for Control of Aerospace Vehicles in Flight Test; Flight Sensors and Airborne Instruments for Flight Research"
Topic A3,A3.01,Next Generation Air-Traffic Management Systems
Topic B1,B1.01; B1.02; B1.03; B1.04,"Exploiting Gravitational Effects for Combustion, Fluids, Synthesis, and Vibration Technology; Gravitational Effects on Biotechnology; Materials Science for In-Space Fabrication and Radiation Protection; Bioscience and Engineering"
Topic B2,B2.01; B2.02; B2.03,Understanding and Utilizing Gravitational Effects on Plants and Animals; Biological Instrumentation; Understanding and Utilizing Gravitational Effects on Molecular Biology and for Medical Applications
Topic B3,B3.01; B3.02; B3.03; B3.04; B3.05; B3.06; B3.07; B3.08; B3.09; B3.10,"Environmental Control of Spacecraft Cabin Atmosphere; Space Human Factors and Human Performance; Human Adaptation and Countermeasures; Food and Galley; Biomedical R&D of Noninvasive, Unobtrusive Medical Devices for Future Flight Crews; Waste and Water Processing for Spacecraft Advanced Life Support; Biomass Production for Planetary Missions; Software Architectures and Integrated Control Strategies for Advanced Life Support Systems; Radiation Shielding to Protect Humans; Sensors for Advanced Human Support Technology"
Topic B4,B4.01; B4.02; B4.03; B4.04,Space Market Driven Research; Market Driven Space Exploration Payloads; Market Driven Space Infrastructure; Partnering Innovations for Security and Safety
Topic E1,E1.01; E1.02; E1.03; E1.04; E1.05; E1.06; E1.07,Passive Optics; Lidar Remote Sensing; In Situ Sensors; Passive Microwave; Active Microwave; Passive Infrared - Sub Millimeter; Thermal Control for Instruments
Topic E2,E2.01; E2.02; E2.03; E2.04; E2.05; E2.06; E2.07,"Guidance, Navigation and Control; Command and Data Handling; Advanced Communication Technologies for Near-Earth Missions; Onboard Propulsion; Energy Storage Technologies; Energy Conversion for Space Applications; Platform Power Management and Distribution"
Topic E3,E3.01; E3.02; E3.03; E3.04; E3.05,Automation and Planning; Distributed Information Systems and Numerical Simulation; Geospatial Data Analysis Processing and Visualization Technologies; Data Management and Visualization; On-Board Science for Decisions and Actions
Topic E4,E4.01; E4.02; E4.03,"Innovative Tools and Techniques Supporting the Practical Uses of Earth Science Observations; Advanced Educational Processes and Tools; Wireless Technologies for  Spatial Data, Input, Manipulation and Distribution"
Topic S1,S1.01; S1.02; S1.03; S1.04; S1.05; S1.06,Technologies for Particles and Fields Measurements; Deep Space Propulsion; Multifunctional Autonomous Robust Sensor Systems; Spacecraft Technology for Micro- and Nanosats; Information Technology for Sun-Earth Connection Missions; UV and EUV Optics
Topic S2,S2.01; S2.02; S2.03; S2.04; S2.05; S2.06,Sensors and Detectors for Astrophysics; Terrestrial and Extra-Terrestrial Balloons and Aerobots; Cryogenic Systems; Optical Technologies; Advanced Photon Detectors; Technologies for Gravity Wave Detection
Topic S3,S3.01; S3.02; S3.03; S3.04,Precision Constellations for Interferometry; High Contrast Astrophysical Imaging; Precision Deployable Lightweight Cryogenic Structures for Large Space Telescopes; Large-Aperture Lightweight Cryogenic Telescope Components & Systems
Topic S4,S4.01; S4.02; S4.03; S4.04; S4.05,Science Instruments for Conducting Solar System Exploration; Extreme Environment & Aerial Mobility; Advanced Flexible Electronics and Nanosensors; Deep Space Power Systems; Astrobiology
Topic S5,S5.01; S5.02; S5.03,Detection and Reduction of Biological Contamination on Flight Hardware and in Return Sample Handling; Mars In Situ Robotics Technology; Mars and Deep Space Telecommunications
